ILOC_CODE_2016,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,Cntd_CN_Ewre_Aus_Indig_M,Cntd_CN_Ewre_Aus_Indig_F,Cntd_CN_Ewre_Aus_Indig_P,Ctd_CN_Ewh_Aus_No_Indi_M,Ctd_CN_Ewh_Aus_No_Indi_F,Ctd_CN_Ewh_Aus_No_Indi_P,Ct_CN_Ew_Au_IndSt_nsM,Ct_CN_Ew_Au_IndSt_nsF,Ct_CN_Ew_Au_IndSt_nsP,Ctd_CN_Ewh_Aus_TotM,Ctd_CN_Ewh_Aus_TotF,Ctd_CN_Ewh_Aus_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF
ILOC10100101,210,235,443,982,962,1938,161,138,296,1345,1336,2679,30,39,66,40,55,99,15,18,32,91,115,205,53,57,109,118,96,207,16,14,32,181,164,345,40,41,82,101,104,204,21,14,34,166,160,323,44,58,101,230,208,438,35,35,68,308,302,611,30,33,60,286,252,533,38,35,81,354,314,671,16,13,28,202,248,452,25,21,45,249,278,528,190,220,411,907,880,1793,132,123,254,1229,1225,2456,18,16,36,69,80,148,25,15,40,115,110,222,0,0,3,6,3,4,0,0,0,6,6,7,10,3,16,90,42,131,19,17,31,121,66,179,0,0,0,4,5,8,5,0,3,10,8,15,3,0,0,12,3,12,5,3,5,16,6,18,0,0,0,6,0,5,0,0,3,3,3,7,0,0,0,3,3,5,0,0,5,5,5,8,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0
ILOC10100201,1165,1293,2457,5323,5925,11253,453,536,988,6944,7754,14704,167,152,322,383,377,765,29,26,58,584,557,1141,318,292,608,727,683,1404,48,58,102,1088,1035,2116,242,241,482,661,677,1333,63,63,121,961,976,1936,234,334,568,1414,1570,2978,131,125,261,1779,2028,3804,164,226,381,1356,1562,2919,112,144,262,1626,1936,3563,44,49,91,794,1060,1856,76,115,190,911,1222,2135,1078,1227,2306,4993,5620,10612,358,472,830,6437,7318,13754,85,70,156,333,307,640,94,64,159,514,440,945,8,4,8,0,3,3,0,0,0,8,6,16,55,46,101,181,166,350,34,20,55,271,233,501,0,0,0,4,7,14,3,0,5,13,12,20,0,0,3,13,9,22,5,0,5,12,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,3,6,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0
ILOC10100202,228,247,470,1213,1291,2507,139,139,283,1576,1678,3257,22,24,52,64,64,131,7,4,11,95,98,190,23,43,66,91,89,181,9,11,24,131,142,268,51,51,99,140,149,288,24,25,43,209,225,435,57,49,108,353,365,721,50,44,94,456,465,919,50,46,99,319,334,659,26,36,61,398,422,818,21,26,48,246,282,529,30,26,53,292,329,620,204,235,441,1133,1226,2356,122,117,239,1458,1578,3040,21,15,32,82,61,145,13,24,40,115,99,216,3,0,3,0,0,0,0,0,0,3,0,8,44,29,72,254,231,483,89,57,147,387,318,705,0,0,3,35,36,71,11,6,14,49,41,91,0,0,0,6,11,21,0,3,3,8,16,26,0,0,0,7,5,11,0,0,0,7,8,10,0,0,0,0,3,4,3,0,3,7,3,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0
ILOC10100203,447,475,918,3062,3469,6529,209,170,386,3714,4123,7837,63,54,116,198,218,413,20,10,32,281,278,561,115,99,212,381,361,739,27,14,41,517,473,992,73,95,172,340,388,726,18,14,34,436,497,931,88,116,200,880,956,1838,66,55,120,1040,1125,2166,77,83,158,730,836,1564,49,45,90,854,957,1813,23,35,57,524,720,1242,35,34,65,586,782,1371,430,446,882,2923,3301,6227,177,140,315,3534,3888,7421,16,25,42,132,171,299,39,31,72,183,226,413,0,0,0,4,3,7,0,0,0,4,5,4,25,25,47,169,132,302,76,48,121,269,204,477,0,0,0,17,14,35,18,8,24,34,21,60,0,0,0,22,18,43,7,5,13,33,25,56,0,0,0,0,3,4,4,0,4,8,3,6,0,0,0,0,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC10100204,284,262,547,3327,3156,6482,335,298,633,3953,3719,7671,23,39,57,191,183,378,16,13,27,229,237,462,73,59,134,530,447,979,57,47,101,662,551,1212,54,47,103,370,326,696,36,26,64,459,403,866,56,52,109,679,730,1405,63,74,136,804,850,1658,59,60,114,1023,1019,2045,105,102,208,1192,1181,2372,20,5,25,537,440,979,59,37,96,609,489,1102,256,243,502,3137,3016,6146,288,270,557,3686,3522,7205,26,23,48,192,141,335,45,31,76,266,196,463,3,0,3,6,6,9,0,0,0,9,6,16,33,20,49,97,99,190,10,21,38,138,137,279,0,0,0,7,7,15,0,0,0,11,12,18,0,0,3,10,11,18,0,3,3,10,18,29,0,0,0,7,3,14,0,0,0,7,3,14,0,0,0,0,0,0,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC10100205,724,741,1468,2869,3086,5948,288,311,601,3883,4143,8024,108,100,211,199,219,415,16,25,44,326,343,668,199,159,359,400,350,758,36,33,71,634,547,1180,131,146,277,354,336,688,38,46,80,521,520,1046,164,182,345,760,856,1621,87,86,179,1014,1128,2135,97,126,223,645,700,1343,69,66,136,808,891,1704,27,31,53,506,625,1131,42,60,98,573,713,1289,679,700,1380,2695,2926,5622,233,264,492,3602,3885,7495,46,45,94,175,159,332,59,53,108,276,250,531,0,0,0,11,4,17,0,0,0,16,4,22,53,57,106,236,187,421,99,65,170,388,307,699,0,0,0,61,53,114,21,20,36,85,75,153,4,3,8,42,25,63,18,3,21,58,38,93,0,0,0,20,22,39,3,9,11,24,27,51,0,0,0,9,5,13,0,0,0,10,8,18,0,0,0,9,10,14,4,5,4,14,12,20,0,0,0,0,0,0,0,0
ILOC10100301,291,301,594,1597,1658,3259,165,138,303,2048,2105,4155,43,27,68,84,84,165,3,6,6,131,115,241,69,68,134,182,189,368,13,16,29,260,269,535,51,58,108,154,135,292,19,18,34,222,214,435,48,68,114,303,335,639,36,24,61,388,429,816,52,68,119,460,467,924,54,37,90,572,564,1133,25,27,46,414,449,862,38,37,81,479,519,995,257,291,545,1499,1560,3055,132,116,245,1891,1963,3848,31,19,42,98,100,197,40,24,56,165,137,301,0,0,3,3,7,9,0,0,0,4,4,17,14,8,21,53,55,105,10,4,18,78,76,151,0,0,0,16,15,36,0,0,0,17,16,35,0,0,0,13,11,22,0,0,0,15,16,24,0,0,0,9,7,11,0,0,0,9,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC10100401,400,487,889,1183,1258,2434,151,175,327,1738,1913,3648,65,66,134,48,71,118,12,7,20,127,149,277,110,107,219,139,131,273,13,20,35,271,263,528,73,95,162,125,105,228,18,17,34,209,218,422,73,105,176,245,263,510,33,28,62,348,393,740,55,86,141,324,323,648,47,54,95,427,463,887,28,28,52,299,367,665,30,41,73,357,433,797,386,468,858,1104,1183,2295,130,159,287,1630,1812,3440,11,19,30,73,69,148,25,14,37,114,104,213,0,0,0,0,6,4,0,0,0,3,6,7,19,13,28,43,46,92,8,14,19,72,65,137,0,0,0,5,4,8,0,0,0,5,4,8,3,3,4,4,6,7,0,3,3,3,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ILOC10100402,103,86,193,909,786,1692,124,101,223,1135,971,2109,11,7,20,67,54,121,11,4,15,91,65,155,30,18,51,143,110,255,19,14,28,183,143,330,24,14,30,77,52,127,18,13,26,115,75,190,20,17,39,186,201,385,26,21,50,226,240,471,17,24,44,275,249,517,36,36,72,322,309,633,3,3,7,169,120,286,19,14,36,198,131,328,94,88,183,842,728,1575,113,93,197,1053,906,1960,10,0,10,61,56,122,15,10,20,81,66,147,0,0,0,4,10,12,0,0,0,4,10,11,0,0,3,21,21,42,7,5,13,38,23,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,4,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC10100403,109,104,208,254,249,501,35,31,69,393,380,774,12,12,26,8,3,9,0,0,0,23,19,44,27,16,45,16,22,37,0,0,0,44,39,77,20,16,36,22,19,42,3,0,5,47,39,89,16,20,40,45,46,89,7,4,8,72,66,136,16,19,35,67,59,129,7,6,19,91,89,180,14,11,28,94,96,195,12,20,35,124,124,253,101,96,198,238,228,464,30,26,60,364,357,723,10,5,10,15,16,34,3,3,10,27,21,51,0,0,0,0,0,0,0,0,0,0,0,3,10,4,9,10,13,23,3,0,5,24,18,41,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
