ILOC_CODE_2016,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_Indig_M,VfDif_SA2_T_Indig_F,VfDif_SA2_T_Indig_P,VfDif_SA2_T_NonInd_M,VfDif_SA2_T_NonInd_F,VfDif_SA2_T_NonInd_P,VfDif_SA2_T_IndSt_nsM,VfDif_SA2_T_IndSt_nsF,VfDif_SA2_T_IndSt_nsP,VfDif_SA2_T_TotM,VfDif_SA2_T_TotF,VfDif_SA2_T_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LSaH_Eng_onl_Indig_M,LSaH_Eng_onl_Indig_F,LSaH_Eng_onl_Indig_P,LSaH_Eng_onl_NonInd_M,LSaH_Eng_onl_NonInd_F,LSaH_Eng_onl_NonInd_P,LSaH_Eng_on_Ind_sta_nsM,LSaH_Eng_on_Ind_sta_nsF,LSaH_Eng_on_Ind_sta_nsP,LSaH_Eng_only_TotM,LSaH_Eng_only_TotF,LSaH_Eng_only_TotP,LSaH_Aus_Ind_Lang_Ind_M,LSaH_Aus_Ind_Lang_Ind_F,LSaH_Aus_Ind_Lang_Ind_P,LSaH_Aus_Ind_Lan_No_Ind_M,LSaH_Aus_Ind_Lan_No_Ind_F,LSaH_Aus_Ind_Lan_No_Ind_P,Lsh_Aus_Ind_Lan_IndSt_nsM,Lsh_Aus_Ind_Lan_IndSt_nsF,Lsh_Aus_Ind_Lan_IndSt_nsP,Lsh_Austn_Indig_Lang_TotM,Lsh_Austn_Indig_Lang_TotF,Lsh_Austn_Indig_Lang_TotP,SAIndL_SE_Nw_Na_In_M,SAIndL_SE_Nw_Na_In_F,SAIndL_SE_Nw_Na_In_P,SAIndL_SE_Nw_Na_No_In_M,SAIndL_SE_Nw_Na_No_In_F,SAIndL_SE_Nw_Na_No_In_P,SAIndL_SE_Nw_Na_In_st_nsM,SAIndL_SE_Nw_Na_In_st_nsF,SAIndL_SE_Nw_Na_In_st_nsP,SAIndL_SE_Nw_Na_TotM,SAIndL_SE_Nw_Na_TotF,SAIndL_SE_Nw_Na_TotP,SAIndL_SE_Vw_wel_In_M,SAIndL_SE_Vw_wel_In_F,SAIndL_SE_Vw_wel_In_P,SAIndL_SE_Vw_we_No_In_M,SAIndL_SE_Vw_we_No_In_F,SAIndL_SE_Vw_we_No_In_P,SAIndL_SE_Vw_we_I_st_nsM,SAIndL_SE_Vw_we_I_st_nsF,SAIndL_SE_Vw_we_I_st_nsP,SAIndL_SE_Vw_we_TotM,SAIndL_SE_Vw_we_TotF,SAIndL_SE_Vw_we_TotP,AuAbrigTrRl_Indig_M,AuAbrigTrRl_Indig_F,AuAbrigTrRl_Indig_P,AuAbrigTrRl_No_Ind_M,AuAbrigTrRl_No_Ind_F,AuAbrigTrRl_No_Ind_P,AuAbrigTrRl_IndSt_nsM,AuAbrigTrRl_IndSt_nsF,AuAbrigTrRl_IndSt_nsP,AuAbrigTrRl_TotM,AuAbrigTrRl_TotF,AuAbrigTrRl_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M
ILOC10100101,0,0,0,0,0,0,0,3,0,3,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,8,17,111,57,170,26,21,49,152,84,240,15,8,24,120,58,178,26,21,49,161,87,248,201,229,429,938,918,1856,20,11,34,1160,1160,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,23,6,16,26,0,0,0,19,36,50,42,47,96,112,90,200,3,4,7,159,141,299,12,16,29,34,42,73,0,0,0,47,54,104,0,5,10,6,11,20,0,0,0,9,18,26,0,5,10,11,27,39,0,0,0,13,39,50,26,42,74,249,306,563,3,8,7,282,361,642,13,17,29,74,51,126,0,0,0,83,74,158,40,46,88,301
ILOC10100201,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,58,46,107,211,180,389,40,22,64,305,258,560,64,52,122,211,187,394,40,22,64,310,262,575,1138,1268,2405,4860,5423,10286,43,74,120,6033,6765,12805,6,13,18,0,0,0,0,0,0,7,13,22,0,0,0,0,0,0,0,0,0,0,0,0,6,9,14,0,0,0,0,0,0,6,9,14,6,12,11,0,0,0,0,0,0,6,12,11,47,41,85,104,95,202,0,0,3,147,145,292,289,269,555,697,654,1350,10,14,24,995,937,1929,76,80,155,236,234,473,3,3,7,320,319,636,11,20,36,62,86,146,0,0,0,71,112,184,16,43,58,125,234,364,0,7,3,142,288,432,176,249,421,1731,2284,4017,8,26,34,1912,2557,4472,89,116,202,315,364,676,3,0,7,405,484,882,239,270,503,1487
ILOC10100202,0,0,0,3,0,0,0,3,6,5,0,3,3,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,43,29,75,309,293,602,104,70,172,457,391,846,47,32,79,312,293,601,104,70,172,457,393,849,214,229,445,1088,1151,2237,14,18,30,1317,1397,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,0,6,8,10,14,15,10,32,0,0,0,26,22,40,22,41,62,89,83,166,0,4,3,108,124,233,12,17,27,27,43,69,0,0,3,38,57,102,8,3,11,24,33,53,0,0,0,29,33,64,4,14,16,40,69,104,0,0,0,41,83,124,36,42,83,422,511,939,0,0,0,459,555,1020,15,13,30,64,68,135,0,0,0,81,82,164,63,62,126,312
ILOC10100203,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,25,48,215,168,388,109,60,173,353,258,605,25,23,50,221,170,394,109,62,172,355,263,614,435,468,902,2748,3167,5922,31,33,61,3213,3665,6883,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,8,27,45,60,106,0,0,0,62,69,135,104,91,196,372,353,722,3,4,5,479,447,922,20,34,55,101,138,239,3,0,3,124,178,300,3,8,11,32,57,87,0,0,0,32,61,97,9,19,31,87,159,243,0,0,0,96,183,279,71,92,171,1153,1435,2585,3,6,8,1227,1530,2760,26,38,64,160,187,348,5,0,8,191,225,413,94,100,197,774
ILOC10100204,0,0,0,0,0,0,0,3,3,4,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,33,22,49,118,125,246,16,31,48,173,178,343,34,22,54,123,134,260,16,31,48,180,184,362,283,259,540,3275,3081,6358,52,43,89,3607,3381,6991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,52,43,90,0,3,3,57,57,110,63,58,120,504,435,938,12,6,16,576,501,1077,29,23,43,156,148,306,3,0,5,186,173,362,3,6,7,36,35,71,0,0,0,37,39,78,4,18,27,50,128,181,3,0,0,57,146,207,35,55,95,934,1233,2165,14,14,25,987,1301,2283,22,22,36,176,179,360,3,3,6,197,207,403,82,65,143,1023
ILOC10100205,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,53,61,114,378,302,674,149,109,256,575,467,1046,53,61,115,388,305,695,148,109,260,591,472,1064,700,725,1430,2647,2844,5494,39,33,76,3390,3610,6999,3,3,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,0,10,13,0,0,0,0,0,0,0,11,9,20,19,37,49,61,110,0,0,0,73,81,149,179,145,318,383,340,728,4,4,7,565,485,1050,53,49,100,113,114,223,0,0,0,168,162,326,4,9,17,34,39,74,0,0,0,42,47,89,13,36,50,74,133,205,0,0,3,96,166,263,95,119,218,904,1091,1993,7,9,16,1010,1215,2227,49,62,106,183,203,381,0,0,0,231,262,485,148,176,324,789
ILOC10100301,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,7,24,87,93,182,11,8,23,116,109,227,17,10,25,91,95,193,15,8,22,127,116,242,279,289,568,1534,1586,3119,28,22,51,1839,1896,3739,5,3,4,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,7,0,0,0,0,0,0,3,0,7,7,3,9,39,33,68,3,0,4,45,35,85,54,56,111,175,181,355,3,5,8,233,239,467,21,10,28,53,53,103,3,3,4,73,68,134,3,5,9,9,11,24,0,0,0,12,13,27,3,3,7,12,38,53,0,0,0,12,42,61,28,27,57,347,505,853,0,9,8,378,537,922,29,30,51,76,92,162,3,3,8,102,121,225,52,71,122,508
ILOC10100401,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,33,57,57,113,8,16,21,85,80,168,21,10,33,61,55,113,9,16,28,86,88,172,389,470,866,1151,1213,2364,19,26,41,1565,1706,3265,0,3,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,5,0,3,3,0,0,0,0,0,0,0,3,3,18,19,37,10,13,24,0,0,0,31,30,60,97,104,201,132,122,259,0,7,8,236,231,468,24,30,54,37,40,79,0,4,3,66,73,141,3,10,10,5,13,20,0,0,0,11,24,32,8,12,18,19,35,47,0,0,0,26,50,75,48,94,140,289,369,666,4,3,8,344,465,806,15,28,48,73,93,168,0,4,4,87,126,214,77,110,189,383
ILOC10100402,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,28,28,53,12,8,18,37,32,75,0,3,3,32,33,64,10,8,20,46,38,88,104,89,191,890,768,1654,10,16,26,1003,868,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,13,35,0,0,0,24,18,41,29,21,45,131,105,236,0,0,3,160,122,286,6,3,13,29,18,46,0,3,3,33,26,63,0,0,3,8,3,9,0,0,0,6,5,12,0,3,3,5,26,30,0,0,0,5,35,36,5,24,36,271,343,613,3,6,10,287,376,661,7,6,13,47,39,93,0,0,0,60,43,105,31,12,43,252
ILOC10100403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,9,9,11,25,5,0,7,27,15,46,10,4,9,9,11,25,5,3,6,23,20,45,107,100,203,246,238,483,3,3,4,349,341,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,3,6,11,23,13,39,14,21,35,0,0,0,34,34,72,8,8,16,5,8,16,0,0,0,16,19,34,3,0,7,3,0,3,0,0,0,9,0,11,4,6,6,4,5,12,0,0,0,5,15,21,18,25,38,57,75,134,0,0,0,76,101,179,10,4,13,15,14,27,0,0,0,26,12,37,20,19,40,77
