ILOC_CODE_2016,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
ILOC10100101,271,573,4,3,7,350,317,670,18,17,31,94,78,175,3,0,3,113,97,217,14,11,28,62,52,110,5,0,3,83,61,146,0,0,0,0,3,6,0,0,0,4,3,3,178,214,395,831,811,1644,115,108,221,1125,1128,2258,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,50,43,93,14,12,21,67,66,128,182,220,409,877,857,1732,129,115,246,1193,1191,2388,0,0,0,18,17,31,3,9,10,23,20,43
ILOC10100201,1473,2960,17,25,38,1740,1766,3501,88,115,205,335,344,672,4,3,9,422,458,887,55,59,116,227,213,436,4,0,3,283,265,552,0,3,3,21,12,36,0,0,0,23,15,36,1016,1133,2150,4459,4838,9301,269,340,600,5738,6311,12047,0,0,0,0,0,0,0,0,0,0,0,0,63,78,141,413,604,1017,71,104,170,539,787,1330,1078,1216,2287,4871,5446,10319,331,440,772,6282,7097,13380,4,12,17,118,148,264,22,37,56,146,195,341
ILOC10100202,307,621,3,3,6,382,368,750,23,18,44,101,107,215,0,4,4,124,131,256,26,13,42,104,82,184,3,0,3,136,96,232,0,6,6,9,9,19,0,0,0,5,11,23,137,167,302,797,841,1640,62,57,120,997,1065,2057,0,0,0,0,0,0,0,0,0,0,0,0,51,44,98,202,246,445,35,43,75,286,328,616,187,210,397,996,1092,2087,95,95,198,1282,1398,2675,23,20,38,128,131,264,26,19,47,175,176,353
ILOC10100203,807,1580,5,4,11,877,910,1786,38,34,68,199,204,405,3,3,5,234,247,481,20,30,52,121,154,269,0,3,3,141,182,323,0,7,11,10,7,13,0,0,0,7,18,24,348,376,720,2429,2781,5208,110,105,219,2885,3263,6150,0,0,0,0,0,0,0,0,0,0,0,0,75,73,148,442,463,911,46,28,76,568,565,1134,421,447,870,2876,3247,6122,163,131,294,3456,3831,7284,9,0,8,36,38,77,16,3,20,58,42,102
ILOC10100204,797,1821,11,13,26,1117,872,1986,26,17,41,251,168,415,6,3,9,281,189,466,18,8,21,149,76,230,3,0,3,172,84,253,0,0,0,7,3,11,0,0,0,7,5,11,253,235,489,3101,2984,6081,279,262,544,3634,3480,7118,0,0,0,3,3,3,0,0,0,3,3,3,4,5,7,9,15,24,3,3,7,19,20,35,256,241,496,3112,2996,6108,287,262,550,3654,3502,7161,0,0,0,4,6,15,4,3,4,8,11,18
ILOC10100205,794,1582,14,11,26,952,981,1928,66,61,128,195,222,417,6,3,11,271,292,563,31,35,64,124,115,242,6,3,8,159,150,311,3,3,6,8,13,20,0,0,0,9,15,23,622,651,1273,2381,2530,4909,168,193,361,3172,3370,6539,0,0,0,0,0,0,0,0,0,0,0,0,60,49,106,294,383,676,60,65,125,407,498,904,679,700,1377,2673,2910,5586,222,260,478,3577,3867,7441,3,0,3,11,11,19,6,3,10,14,10,26
ILOC10100301,463,970,14,3,14,567,537,1111,31,41,71,177,149,329,3,4,6,211,192,408,28,26,57,159,103,264,3,3,5,189,134,321,3,0,5,0,3,9,0,0,0,3,9,9,245,274,517,1425,1463,2888,121,104,225,1789,1842,3630,0,0,0,0,0,0,0,0,0,0,0,0,6,18,22,26,21,48,6,3,8,43,37,78,255,289,538,1450,1487,2932,126,106,234,1827,1880,3711,0,0,3,33,59,93,3,5,15,42,71,113
ILOC10100401,341,724,6,3,12,469,457,924,41,31,71,115,131,241,0,0,5,162,161,319,20,21,46,93,74,165,0,0,0,111,96,208,7,0,7,0,8,9,0,0,0,7,8,11,375,450,818,1025,1093,2121,113,141,254,1514,1686,3197,0,0,0,0,0,0,0,0,0,0,0,0,9,17,28,45,47,85,15,10,25,67,70,140,382,463,849,1067,1140,2211,127,148,277,1583,1751,3333,0,0,0,23,29,57,5,6,12,24,41,65
ILOC10100402,190,439,4,0,4,285,201,488,11,9,14,66,29,98,3,0,3,74,37,110,10,6,19,45,11,55,0,0,0,50,19,69,0,0,0,0,0,0,0,0,0,0,0,0,97,87,182,833,720,1561,111,93,197,1037,897,1942,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,4,13,0,0,0,12,11,20,98,88,182,842,728,1575,111,93,197,1053,906,1959,0,0,0,0,0,0,0,0,0,0,0,0
ILOC10100403,74,155,0,0,0,105,98,199,9,9,19,34,27,65,0,0,0,45,40,84,9,12,17,24,15,41,0,0,3,34,27,61,0,0,0,5,0,3,0,0,0,4,0,3,93,89,185,213,201,416,20,10,26,323,300,627,0,0,0,0,0,0,0,0,0,0,0,0,6,10,14,15,16,35,6,0,7,30,30,60,97,96,197,235,215,450,28,10,39,357,326,686,0,0,0,3,8,16,3,12,23,10,25,36
