ILOC_CODE_2016,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
ILOC10100101,205,232,442,0,3,5,0,3,3,210,235,443,982,962,1938,161,138,296,1345,1336,2679
ILOC10100201,1148,1265,2411,6,14,18,5,16,23,1165,1293,2457,5323,5925,11253,453,536,988,6944,7754,14704
ILOC10100202,222,239,467,0,0,0,0,3,3,228,247,470,1213,1291,2507,139,139,283,1576,1678,3257
ILOC10100203,431,464,897,6,6,17,6,4,9,447,475,918,3062,3469,6529,209,170,386,3714,4123,7837
ILOC10100204,282,246,525,3,4,10,4,7,10,284,262,547,3327,3156,6482,335,298,633,3953,3719,7671
ILOC10100205,696,708,1408,11,12,25,14,22,40,724,741,1468,2869,3086,5948,288,311,601,3883,4143,8024
ILOC10100301,284,295,578,3,3,3,5,5,9,291,301,594,1597,1658,3259,165,138,303,2048,2105,4155
ILOC10100401,384,472,853,7,7,11,8,13,20,400,487,889,1183,1258,2434,151,175,327,1738,1913,3648
ILOC10100402,98,79,185,0,0,0,5,5,8,103,86,193,909,786,1692,124,101,223,1135,971,2109
ILOC10100403,103,97,197,4,4,4,0,4,6,109,104,208,254,249,501,35,31,69,393,380,774
ILOC10100501,500,513,1007,5,3,8,6,3,5,502,517,1020,3902,4230,8136,388,424,806,4790,5168,9964
ILOC10100502,104,102,201,0,0,0,0,0,0,103,102,203,1617,1508,3126,178,167,344,1906,1771,3679
ILOC10100503,108,116,225,0,0,0,0,0,0,111,120,227,207,222,427,40,33,70,354,369,722
ILOC10100601,190,195,382,3,3,5,3,3,10,196,199,393,1021,1014,2033,135,151,287,1348,1363,2712
ILOC10100701,195,208,401,0,0,0,0,0,3,193,209,399,884,1012,1892,110,134,247,1186,1348,2537
ILOC10100702,192,197,396,7,10,13,3,3,3,208,214,419,2317,2178,4492,251,246,503,2776,2632,5408
ILOC10100801,572,583,1157,0,3,5,7,6,16,581,592,1179,1345,1498,2845,244,258,501,2174,2344,4519
ILOC10100802,507,216,716,7,0,7,7,5,15,519,216,738,1809,1552,3359,220,236,456,2549,2000,4550
ILOC10200101,818,878,1696,19,16,31,14,12,20,847,902,1753,10422,11325,21748,871,917,1790,12146,13141,25288
ILOC10200201,279,222,502,3,3,7,8,16,21,290,245,534,3702,3773,7471,390,438,824,4380,4453,8836
ILOC10200301,578,589,1168,11,9,13,8,9,14,598,601,1198,3026,3185,6207,278,295,575,3897,4078,7984
ILOC10200302,187,169,353,3,3,8,0,4,6,193,179,369,1836,1692,3535,176,155,333,2204,2030,4233
ILOC10200401,147,143,290,0,0,0,3,0,8,152,147,299,1790,1824,3610,152,144,299,2088,2113,4199
ILOC10200402,81,71,152,0,0,0,0,0,0,81,71,152,130,136,264,30,28,61,242,232,476
ILOC10200501,145,134,275,8,6,16,0,8,6,156,141,300,2162,2162,4330,273,221,497,2593,2533,5120
ILOC10200502,661,694,1359,8,8,14,15,15,36,691,721,1408,6750,7028,13775,634,676,1312,8071,8431,16503
ILOC10200601,84,75,156,5,5,10,3,0,3,90,77,173,1532,1404,2936,182,190,371,1804,1666,3472
ILOC10200602,196,207,404,3,3,3,0,0,0,197,214,414,1024,1093,2117,65,91,156,1285,1397,2680
ILOC10200603,42,42,79,0,0,0,4,0,3,42,44,87,3,0,3,0,0,0,43,46,90
ILOC10200604,150,129,276,4,7,7,3,0,3,155,142,295,485,501,987,89,70,157,729,709,1442
ILOC10200701,171,186,352,3,7,6,0,6,3,175,188,365,1024,1048,2069,134,144,273,1332,1381,2708
ILOC10200702,503,587,1087,0,0,0,9,6,18,511,590,1105,868,817,1681,204,185,388,1579,1599,3179
ILOC10200703,89,102,194,0,0,0,0,0,0,89,102,194,589,582,1167,57,56,117,732,747,1479
ILOC10200704,112,133,246,0,0,0,0,0,6,114,135,250,31,35,68,27,35,64,174,205,378
ILOC10200801,157,180,336,0,0,0,6,8,10,161,185,347,94,75,169,26,11,37,283,273,551
ILOC10200802,134,123,250,5,4,9,3,0,3,137,128,266,1786,1603,3389,303,253,555,2223,1985,4211
ILOC10200803,54,64,114,0,0,0,0,0,0,52,64,119,142,138,273,29,25,53,218,227,443
ILOC10200804,93,112,204,0,0,0,0,0,0,93,113,204,52,41,85,14,12,24,149,162,315
ILOC10200901,479,478,954,4,4,9,8,3,11,495,485,976,4403,4381,8786,325,320,644,5224,5185,10404
ILOC10200902,180,171,354,3,3,9,3,0,5,185,179,361,2621,2295,4914,215,188,403,3025,2654,5682
ILOC10201001,323,364,684,8,8,17,11,20,29,340,390,728,1969,2049,4017,236,279,514,2542,2716,5264
ILOC10201002,256,265,522,3,3,11,5,10,17,270,274,545,2528,2428,4948,360,336,695,3154,3033,6186
ILOC10201003,158,153,312,4,3,4,0,3,7,164,157,322,572,562,1136,90,86,177,826,807,1632
ILOC10201101,2189,2286,4472,38,38,81,50,41,93,2271,2366,4640,16099,17348,33446,1435,1484,2920,19809,21197,41006
