ILOC_CODE_2016,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC10100101,56,133,9,7,20,88,91,176,6,17,23,72,73,148,9,4,15,86,94,181,12,7,13,99,67,173,14,13,23,123,87,210,9,8,13,65,63,121,12,12,19,83,77,157,7,5,5,49,49,101,5,7,14,64,63,118,16,13,28,202,248,452,25,21,45,249,278,528,210,235,443,982,962,1938,161,138,296,1345,1336,2679
ILOC10100201,356,689,26,30,55,400,476,873,49,72,118,331,361,690,30,41,66,400,470,877,49,67,115,355,407,759,26,38,67,429,511,940,39,44,87,367,457,820,35,41,72,442,545,986,23,36,61,306,336,644,27,31,58,352,405,761,44,49,91,794,1060,1856,76,115,190,911,1222,2135,1165,1293,2457,5323,5925,11253,453,536,988,6944,7754,14704
ILOC10100202,63,146,19,18,33,114,92,202,17,11,24,78,68,141,5,6,12,95,81,178,12,8,22,77,83,154,7,5,15,99,102,193,14,14,31,94,108,201,3,9,16,109,136,242,9,9,21,77,85,158,11,10,25,97,109,204,21,26,48,246,282,529,30,26,53,292,329,620,228,247,470,1213,1291,2507,139,139,283,1576,1678,3257
ILOC10100203,189,392,20,5,26,231,219,443,27,26,51,200,221,423,7,9,20,229,257,493,27,8,39,173,208,382,16,9,25,216,227,440,14,28,44,190,217,407,8,17,27,221,259,478,15,16,31,167,181,353,10,13,23,195,210,401,23,35,57,524,720,1242,35,34,65,586,782,1371,447,475,918,3062,3469,6529,209,170,386,3714,4123,7837
ILOC10100204,219,431,19,25,45,246,258,508,18,17,40,255,268,525,26,23,49,305,309,611,17,16,34,241,268,512,23,26,51,290,310,602,11,12,23,273,245,517,32,21,52,313,275,584,12,13,29,254,241,498,23,27,57,294,282,577,20,5,25,537,440,979,59,37,96,609,489,1102,284,262,547,3327,3156,6482,335,298,633,3953,3719,7671
ILOC10100205,219,418,21,17,40,255,274,533,33,40,67,180,193,374,16,16,36,232,247,475,30,34,61,182,168,350,24,23,43,233,228,458,20,31,50,154,163,321,20,13,36,199,213,405,15,20,39,124,180,297,8,11,17,150,211,358,27,31,53,506,625,1131,42,60,98,573,713,1289,724,741,1468,2869,3086,5948,288,311,601,3883,4143,8024
ILOC10100301,88,169,4,7,16,103,121,220,13,13,29,106,100,204,14,11,18,134,122,257,12,12,25,119,121,236,17,6,19,146,138,285,12,16,32,113,129,246,16,6,22,143,158,303,13,17,32,121,112,236,15,7,22,148,146,296,25,27,46,414,449,862,38,37,81,479,519,995,291,301,594,1597,1658,3259,165,138,303,2048,2105,4155
ILOC10100401,55,131,9,4,15,92,86,178,16,25,35,59,63,117,6,12,17,79,100,176,14,19,34,80,75,161,5,7,15,105,106,210,14,25,43,106,91,194,21,16,36,140,129,269,13,18,30,86,87,178,8,22,28,106,127,235,28,28,52,299,367,665,30,41,73,357,433,797,400,487,889,1183,1258,2434,151,175,327,1738,1913,3648
ILOC10100402,56,124,10,4,20,84,67,149,9,16,16,70,74,143,9,6,19,81,96,177,7,3,10,74,63,132,10,9,21,88,74,164,3,7,10,69,54,121,6,5,16,75,69,143,4,3,8,59,65,123,9,14,25,75,78,155,3,3,7,169,120,286,19,14,36,198,131,328,103,86,193,909,786,1692,124,101,223,1135,971,2109
ILOC10100403,15,22,3,0,3,21,16,32,3,4,9,11,13,21,0,3,3,13,20,36,4,5,5,17,15,32,3,3,5,21,18,44,4,4,9,22,27,46,3,6,4,27,30,56,7,6,9,17,9,27,0,3,3,28,20,41,14,11,28,94,96,195,12,20,35,124,124,253,109,104,208,254,249,501,35,31,69,393,380,774
