ILOC_CODE_2016,Med_ag_pe_In_pe_hh_In_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_ps,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_w_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC10100101,19,44,40,507,670,635,929,1229,1153,1127,1083,1083,180,150,160,0.9,0.7,0.8,3,2.2,2.4,8.7,1.1,2.5
ILOC10100201,20,39,35,492,723,693,1283,1430,1403,1584,1569,1582,290,290,290,1,0.7,0.8,3.3,2.5,2.6,8.4,1.4,2.7
ILOC10100202,26,42,40,450,632,599,919,1126,1084,1257,1300,1300,233,245,240,0.9,0.8,0.8,2.5,2.1,2.2,8.4,3.3,4.2
ILOC10100203,22,39,36,507,718,697,1068,1250,1226,1394,1415,1413,260,240,250,1,0.7,0.8,2.9,2.2,2.3,5.4,1.7,2.2
ILOC10100204,22,42,41,555,736,728,1625,1631,1631,1744,1733,1733,230,200,200,0.9,0.8,0.8,3.2,2.8,2.8,5.8,1.7,2.1
ILOC10100205,19,38,34,478,712,676,1163,1294,1260,1300,1517,1473,260,280,270,1,0.7,0.8,3.3,2.4,2.6,10.5,1.5,3.2
ILOC10100301,23,49,46,414,555,533,888,1010,986,1083,1083,1083,175,152,163,1,0.7,0.7,2.9,2.3,2.3,9.4,1.4,2.6
ILOC10100401,19,48,41,459,575,550,978,979,978,1291,1083,1127,230,200,220,1,0.7,0.8,3.2,2.2,2.4,8.8,1.1,3.1
ILOC10100402,22,43,42,612,726,716,1687,1438,1461,1322,1229,1261,150,28,83,0.9,0.7,0.8,3.1,2.6,2.7,4.9,1.7,2.1
ILOC10100403,23,57,51,463,502,493,954,762,804,650,823,743,168,150,150,0.9,0.6,0.7,2.7,1.8,2,7.2,0,3
ILOC10100501,19,41,38,413,588,570,974,1105,1090,1300,1300,1300,210,200,205,1,0.7,0.8,3.1,2.3,2.4,8.6,1.8,2.6
ILOC10100502,28,45,44,438,590,577,989,1312,1290,992,1408,1315,132,105,115,0.9,0.7,0.8,2.9,2.6,2.6,8.3,1.6,2.2
ILOC10100503,22,55,48,356,434,416,612,656,641,750,665,680,120,145,130,0.9,0.6,0.7,2.9,1.8,2.2,12.2,0,4.7
ILOC10100601,22,46,43,386,700,646,850,1158,1112,867,920,900,150,123,144,0.9,0.7,0.7,2.9,2.2,2.3,9.6,1.7,3
ILOC10100701,23,52,48,391,495,481,777,863,844,1062,954,986,182,175,175,0.9,0.7,0.7,3,2,2.2,5.7,1.3,2
