ILOC_CODE_2016,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC10100101,231,167,165,327,79,110,193,192,230,426,128,107,240,401,449,852
ILOC10100201,841,522,582,1104,480,506,990,1302,1400,2707,412,467,878,2194,2383,4578
ILOC10100202,251,169,178,351,55,100,158,230,267,497,127,130,259,411,497,909
ILOC10100203,306,234,222,453,169,176,348,683,836,1518,175,143,322,1029,1158,2183
ILOC10100204,536,364,322,686,119,115,234,866,849,1720,295,268,561,1281,1232,2516
ILOC10100205,510,330,364,696,301,292,594,719,743,1463,246,272,519,1271,1304,2577
ILOC10100301,248,211,202,416,109,97,211,330,382,712,142,118,262,587,601,1188
ILOC10100401,278,181,214,393,172,198,367,236,259,501,134,159,293,543,615,1164
ILOC10100402,188,138,98,237,46,30,80,213,191,403,108,83,189,366,306,675
ILOC10100403,59,49,46,94,43,43,86,39,49,89,28,33,61,114,122,237
ILOC10100501,708,447,539,985,209,183,395,924,1077,2004,346,389,734,1479,1645,3130
ILOC10100502,306,191,197,387,37,42,74,370,457,833,161,152,316,569,653,1225
ILOC10100503,61,43,49,93,38,47,89,29,48,80,36,30,61,102,125,221
ILOC10100601,223,145,170,320,73,76,148,198,258,448,112,127,238,381,457,837
ILOC10100701,211,130,158,280,67,88,155,180,185,368,98,119,216,342,395,738
ILOC10100702,425,303,292,601,87,79,168,498,544,1040,217,220,445,802,851,1650
ILOC10100801,399,276,294,565,221,207,427,260,296,553,200,215,423,683,717,1402
ILOC10100802,387,834,337,1168,402,116,519,590,417,1011,189,209,399,1189,740,1928
ILOC10200101,1569,966,1080,2044,376,402,773,3592,4043,7630,780,837,1616,4745,5281,10024
ILOC10200201,707,631,524,1154,128,103,232,882,861,1738,341,387,730,1356,1347,2699
ILOC10200301,502,355,406,762,242,249,489,617,714,1323,244,264,511,1098,1227,2322
ILOC10200302,252,183,167,352,70,73,143,393,459,854,147,127,278,612,659,1269
ILOC10200401,251,199,174,373,50,45,99,418,470,896,140,121,260,611,638,1251
ILOC10200402,48,34,36,67,34,33,66,29,20,50,29,22,49,91,80,167
ILOC10200501,417,298,261,562,54,70,122,439,443,884,236,191,429,728,703,1434
ILOC10200502,1098,738,793,1529,286,259,542,1556,1697,3250,560,599,1155,2402,2552,4949
ILOC10200601,314,190,202,393,35,32,65,322,349,672,161,167,322,519,546,1061
ILOC10200602,136,103,128,237,68,81,145,225,223,450,60,82,140,345,392,734
ILOC10200603,0,0,0,5,14,16,27,0,0,0,0,0,0,11,16,28
ILOC10200604,127,94,90,184,50,48,103,79,107,188,70,60,128,204,217,421
ILOC10200701,238,162,163,326,61,61,118,192,225,412,115,128,246,367,412,777
ILOC10200702,342,246,241,485,171,202,372,177,164,335,181,168,347,528,527,1058
ILOC10200703,97,76,74,149,30,38,68,143,150,296,51,53,99,223,240,463
ILOC10200704,64,38,43,86,39,53,97,9,4,16,27,35,64,81,93,178
ILOC10200801,22,30,19,44,63,63,125,7,8,13,20,11,24,94,77,172
ILOC10200802,495,324,268,593,46,51,91,399,441,841,274,229,507,717,715,1438
ILOC10200803,45,32,40,66,25,35,64,30,31,64,20,28,51,77,95,173
ILOC10200804,14,10,12,23,35,27,65,9,4,16,12,7,20,50,44,92
ILOC10200901,524,366,376,743,196,183,377,1038,1121,2164,276,270,547,1507,1577,3086
ILOC10200902,330,498,211,705,86,67,155,834,606,1442,198,164,353,1115,831,1947
ILOC10201001,442,270,338,610,131,141,268,419,485,898,205,247,453,751,871,1623
ILOC10201002,586,371,363,731,108,102,210,533,603,1136,323,296,614,962,1001,1969
ILOC10201003,151,110,106,219,59,49,105,139,145,287,80,71,151,282,269,546
ILOC10201101,2463,1766,1767,3528,929,935,1856,3919,4214,8125,1242,1309,2550,6083,6448,12532
ILOC10201102,1173,822,836,1660,309,279,587,1823,1979,3800,610,606,1216,2741,2865,5601
ILOC10201201,0,3,0,7,17,20,41,0,0,0,0,0,0,17,20,41
ILOC10201202,631,404,447,846,61,56,113,539,624,1164,303,342,644,902,1025,1923
ILOC10201301,1039,680,727,1411,156,167,322,1403,1574,2978,519,579,1096,2081,2312,4396
ILOC10201401,313,226,244,468,72,94,167,544,643,1191,165,173,334,781,909,1691
ILOC10201402,279,190,195,388,40,26,70,272,324,591,141,142,285,455,497,950
ILOC10300101,257,158,182,340,106,144,249,83,97,173,128,128,258,317,366,683
ILOC10300102,183,106,88,194,30,30,56,48,43,91,100,85,185,172,160,331
ILOC10300201,44,84,41,123,117,82,198,28,20,49,20,22,39,165,120,288
ILOC10300202,42,34,23,59,43,57,99,18,30,49,27,19,42,89,99,190
ILOC10300203,0,3,10,17,19,33,49,3,3,7,0,0,0,18,40,54
ILOC10300301,448,307,266,581,88,107,197,386,435,820,252,208,465,726,753,1482
ILOC10300302,0,10,5,17,19,13,33,0,0,0,0,0,0,19,13,33
ILOC10300401,343,221,225,441,164,172,331,64,87,150,175,172,342,400,429,835
ILOC10300402,113,76,73,145,15,26,37,94,99,187,59,60,123,167,184,350
ILOC10300403,49,39,36,74,45,36,80,9,9,23,21,27,50,76,73,151
ILOC10300501,964,822,810,1634,327,309,642,1546,1717,3261,495,518,1010,2369,2544,4914
ILOC10300502,225,169,114,287,31,14,49,118,109,228,125,103,233,278,229,509
ILOC10300503,33,25,30,52,35,31,65,13,16,29,14,14,33,62,63,123
ILOC10300504,17,37,40,73,44,83,127,12,8,18,14,10,17,64,95,159
ILOC10300601,14,16,13,27,40,36,79,12,21,30,9,5,14,58,60,121
ILOC10300602,0,3,3,8,8,13,18,0,0,0,0,0,0,8,13,18
ILOC10300603,152,115,103,225,73,83,154,73,72,146,86,72,157,231,227,462
ILOC10300605,152,111,133,242,124,143,263,70,64,137,75,86,164,265,298,562
ILOC10300607,277,209,153,365,51,49,101,199,184,379,167,128,296,417,360,779
ILOC10400101,190,130,103,228,32,30,60,138,135,272,110,87,200,277,255,531
ILOC10400102,1019,691,847,1545,122,152,276,1427,1557,2988,477,569,1043,2033,2274,4309
ILOC10400103,1072,746,779,1523,111,114,229,2669,2901,5567,568,551,1117,3345,3572,6916
ILOC10400201,3487,2051,2084,4135,101,114,215,3058,3415,6472,1788,1825,3611,4949,5354,10300
ILOC10400301,966,651,760,1412,253,279,527,1747,2009,3758,477,529,1008,2471,2824,5292
ILOC10400302,1504,1829,978,2804,529,284,812,2975,2581,5555,794,765,1558,4294,3632,7929
ILOC10400303,634,455,543,1003,222,193,412,1248,1357,2603,304,349,656,1771,1895,3667
ILOC10400401,45,29,28,60,9,9,15,20,26,46,29,15,45,53,50,101
ILOC10400402,447,322,276,597,58,84,146,504,503,1002,254,215,468,823,794,1618
ILOC10400403,1181,1123,924,2042,457,368,823,2387,2468,4857,646,611,1254,3481,3449,6932
ILOC10400404,358,260,257,520,40,50,94,440,460,905,189,185,376,674,703,1376
ILOC10400405,935,677,662,1339,150,128,276,1290,1364,2653,499,493,987,1937,1980,3921
ILOC10400501,702,482,535,1017,82,96,179,1228,1442,2670,375,390,769,1687,1926,3617
ILOC10400502,46,34,45,78,53,60,108,81,70,152,26,31,58,153,159,313
ILOC10400503,3454,2348,2548,4900,531,605,1138,5898,6726,12629,1763,1806,3576,8194,9143,17334
ILOC10400504,178,155,174,324,57,52,106,283,314,594,94,94,185,433,458,886
ILOC10400505,529,386,360,748,87,93,177,851,964,1818,297,278,567,1230,1335,2565
ILOC10400506,325,280,334,614,124,124,247,440,510,949,163,171,339,728,812,1538
ILOC10400507,602,474,506,977,217,204,419,1556,1743,3300,319,315,638,2099,2254,4349
ILOC10400601,510,376,374,753,99,98,198,916,965,1881,284,268,553,1303,1335,2636
ILOC10400602,277,181,217,395,64,76,142,392,445,837,140,161,297,600,674,1277
