ILOC_CODE_2016,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC10100101,22,243,3,275,11,72,0,82,40,298,4,342,18,94,0,106,15,56,5,77,0,0,0,4,10,37,108,153,115,802,124,1039,41,299,8,346,17,46,0,64,48,262,3,309,16,74,0,88,7,51,0,55,0,3,0,3,7,46,94,146,135,774,100,1011,70,547,7,624,25,116,0,138,84,559,7,653,33,164,4,196,24,108,3,135,0,6,0,3,15,81,200,296,245,1577,228,2053
ILOC10100201,170,1716,6,1893,78,266,0,338,219,1433,17,1667,72,281,4,360,49,201,4,256,0,21,0,23,25,105,347,481,619,4020,379,5017,246,2262,26,2532,93,303,0,401,250,1435,17,1701,97,287,3,392,53,198,0,251,3,12,0,15,42,165,399,608,780,4672,447,5900,413,3985,36,4428,166,567,5,741,474,2862,34,3369,168,575,9,752,100,402,3,503,3,36,0,36,67,273,741,1089,1397,8694,827,10914
ILOC10100202,34,420,0,459,18,58,0,73,61,308,3,373,23,96,0,122,26,98,3,132,0,9,0,5,8,41,117,167,172,1036,121,1330,42,513,0,554,7,58,0,69,61,304,0,360,14,103,4,121,13,82,0,100,6,9,0,11,17,46,120,188,161,1109,124,1397,78,936,0,1011,25,115,0,143,121,615,3,738,36,195,4,236,42,180,3,229,6,19,0,23,25,89,239,347,338,2147,248,2730
ILOC10100203,70,1141,3,1216,16,147,3,162,95,747,5,854,30,167,3,198,20,112,0,132,0,10,0,7,13,68,151,230,254,2390,168,2806,90,1424,6,1522,27,158,0,185,92,769,5,872,29,173,3,202,27,139,3,171,7,7,0,18,16,101,124,248,296,2771,141,3216,163,2572,8,2743,43,300,4,353,187,1518,14,1718,58,333,5,406,52,250,3,302,11,13,0,24,29,172,276,481,549,5162,308,6023
ILOC10100204,36,930,14,981,17,149,3,167,77,1005,11,1093,23,220,3,246,9,131,0,142,0,7,0,7,13,52,228,295,171,2486,263,2920,57,1224,14,1290,13,144,3,166,57,762,13,834,15,128,3,146,5,71,0,80,0,3,0,5,0,51,212,265,148,2392,238,2781,88,2152,25,2267,29,293,7,331,129,1767,26,1924,34,350,6,392,16,199,5,223,0,11,0,11,12,108,440,559,320,4879,508,5703
ILOC10100205,92,898,7,999,34,154,0,191,130,769,14,914,64,165,6,231,29,117,6,146,3,8,0,9,18,59,201,287,377,2166,235,2775,114,1085,9,1202,54,174,0,229,163,766,11,941,53,193,3,252,36,107,3,146,3,13,0,15,21,83,227,340,447,2421,252,3124,211,1980,16,2203,88,328,0,419,297,1535,26,1854,119,361,11,481,60,225,8,296,6,20,0,23,43,143,432,623,824,4591,486,5900
ILOC10100301,28,346,0,378,18,59,3,82,50,501,9,554,23,165,3,194,28,154,3,184,3,0,0,3,11,57,120,197,168,1283,144,1593,27,497,9,535,27,75,3,103,73,446,4,520,37,137,0,181,19,103,3,132,0,3,0,9,16,71,104,185,201,1341,116,1666,57,843,8,913,42,136,8,183,119,950,14,1077,67,307,3,370,52,259,5,316,5,9,0,9,24,130,222,382,367,2627,264,3258
ILOC10100401,46,293,3,335,15,61,0,80,68,374,6,450,36,100,0,140,19,90,0,107,7,0,0,7,9,37,109,159,196,956,123,1279,91,371,3,463,20,84,0,102,105,330,3,437,25,120,0,148,21,73,0,99,0,8,0,8,20,49,126,192,277,1025,136,1443,134,660,5,800,34,142,0,179,178,711,11,893,59,223,5,286,41,162,0,200,7,9,0,11,33,81,237,353,480,1986,260,2726
ILOC10100402,5,269,3,282,5,49,0,56,24,242,4,273,9,57,3,66,6,41,0,49,0,0,0,0,0,17,84,104,54,674,95,830,23,345,6,371,3,34,0,44,12,178,0,194,5,25,0,34,9,8,0,18,0,0,0,0,3,6,74,80,58,603,77,740,31,616,10,655,7,82,0,94,36,423,4,468,15,82,3,103,15,47,0,62,0,0,0,0,4,26,156,184,109,1278,175,1565
ILOC10100403,18,58,0,76,3,15,0,18,21,76,0,98,4,36,0,37,9,24,0,34,0,5,0,4,3,6,32,48,58,222,32,313,25,73,0,100,4,9,0,12,15,72,0,93,8,27,0,37,12,16,0,24,0,0,0,0,0,8,26,38,63,213,28,311,38,135,0,175,9,24,0,30,40,148,0,188,15,66,0,75,17,43,3,66,0,3,0,3,4,22,56,85,124,434,64,625
