ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC10100101,10,18,24,3,3,11,16,17,30,13,10,28,12,24,32,13,20,30,8,16,22,14,17,27,36,15,49,7,5,18,127,145,269
ILOC10100201,82,77,158,47,42,84,77,98,176,64,107,173,57,86,143,50,101,152,49,87,138,61,75,144,147,136,282,39,46,84,680,845,1528
ILOC10100202,15,14,31,6,15,20,25,23,40,26,19,46,26,20,47,15,20,39,13,15,30,15,16,27,27,20,39,11,12,25,177,176,356
ILOC10100203,21,18,43,16,27,47,28,45,75,26,33,57,24,30,52,21,54,73,29,26,53,21,15,44,65,47,108,20,20,39,269,324,593
ILOC10100204,19,25,50,7,8,17,17,19,34,25,12,35,11,15,26,9,12,22,15,9,23,25,15,44,54,34,90,11,7,21,191,167,354
ILOC10100205,64,47,107,17,24,38,42,52,95,25,50,80,41,76,111,30,39,75,49,59,107,39,28,63,80,63,142,36,45,83,419,484,897
ILOC10100301,26,19,47,10,8,17,26,28,53,26,30,57,8,35,43,12,24,34,18,17,31,17,16,36,29,16,46,18,20,33,184,208,392
ILOC10100401,34,31,62,12,15,29,40,38,80,16,28,49,10,32,38,15,41,55,18,41,65,21,13,37,37,41,74,16,18,42,224,307,537
ILOC10100402,5,4,15,3,3,4,8,11,13,3,0,4,6,3,10,3,9,11,7,4,16,6,7,12,15,11,32,7,4,8,62,62,122
ILOC10100403,12,11,23,3,3,6,3,8,8,9,6,14,4,8,13,7,8,13,5,3,11,12,5,18,9,9,15,9,4,14,66,69,137
ILOC10100501,34,33,75,17,23,36,38,53,88,35,52,89,25,26,49,30,37,67,19,40,61,22,22,45,57,36,89,21,14,37,292,336,630
ILOC10100502,8,6,14,3,7,11,7,13,14,6,6,19,13,6,19,6,8,18,0,4,4,3,3,6,13,12,21,4,12,10,71,73,146
ILOC10100503,4,10,13,12,3,14,18,16,32,13,10,22,7,15,15,3,8,15,4,3,10,5,5,12,7,6,14,9,3,18,75,79,156
ILOC10100601,18,25,40,9,4,16,17,17,39,19,21,40,13,16,36,3,10,18,6,18,24,11,3,13,15,8,28,18,17,34,131,139,272
ILOC10100701,11,6,19,3,11,16,31,20,48,19,26,47,13,19,31,11,22,29,13,4,21,9,5,21,7,13,21,14,7,23,136,134,267
ILOC10100702,16,18,37,3,3,4,16,12,34,20,23,47,12,28,42,7,19,30,9,4,12,9,5,15,17,11,32,9,8,14,130,137,270
ILOC10100801,28,34,56,22,20,37,63,60,122,50,67,117,31,40,71,31,42,73,23,41,66,26,22,45,64,42,108,35,28,67,368,398,769
ILOC10100802,13,13,22,6,7,11,27,25,49,8,15,20,9,19,22,9,9,25,10,6,16,14,7,20,24,17,35,329,53,379,446,171,616
ILOC10200101,51,64,117,28,32,60,116,82,196,67,69,138,51,72,125,40,67,106,41,42,82,38,29,69,64,61,123,53,66,115,544,592,1137
ILOC10200201,14,15,29,4,13,17,31,21,54,26,24,45,16,26,48,8,20,25,16,13,27,12,7,15,20,7,31,50,12,62,198,153,357
ILOC10200301,42,36,75,15,22,33,49,43,93,25,53,79,28,52,76,27,56,85,27,27,52,36,28,68,65,44,104,27,33,60,337,394,724
ILOC10200302,13,13,28,3,10,20,5,7,17,13,17,27,7,14,22,10,11,18,17,11,27,11,8,23,32,13,49,12,10,21,123,123,240
ILOC10200401,7,8,19,3,4,10,14,15,27,10,9,18,9,14,19,10,15,19,13,6,23,3,7,12,6,14,17,13,15,26,91,98,186
ILOC10200402,8,6,15,4,0,4,12,3,12,4,11,15,0,4,3,4,9,9,3,0,6,3,7,7,3,0,6,6,3,14,58,46,100
ILOC10200501,6,10,14,3,11,17,8,13,21,9,8,18,10,15,28,3,12,13,8,6,17,11,3,12,20,7,23,10,3,10,94,86,178
ILOC10200502,43,55,93,18,28,50,74,94,168,53,64,115,49,69,119,25,52,76,31,35,69,27,24,50,49,34,87,31,27,55,416,483,894
ILOC10200601,7,3,9,0,3,3,4,5,7,3,11,8,6,15,19,3,9,6,3,4,9,6,4,10,15,3,19,3,3,6,53,54,103
ILOC10200602,12,14,25,4,7,17,19,18,31,17,22,40,11,22,29,4,11,15,13,17,26,14,12,28,27,16,44,24,10,36,144,155,294
ILOC10200603,4,3,10,0,0,0,11,0,10,7,9,11,3,4,3,0,3,6,0,3,4,0,3,8,0,0,4,0,0,0,29,27,60
ILOC10200604,8,8,19,8,7,15,10,12,27,25,17,43,7,17,30,5,4,15,5,6,16,7,3,12,19,10,25,10,9,11,106,100,209
ILOC10200701,8,8,19,5,7,16,16,18,39,14,18,31,13,20,29,4,10,20,5,16,23,13,8,22,25,15,39,16,9,24,122,140,259
ILOC10200702,37,20,62,23,25,46,55,55,116,37,62,96,30,44,69,19,38,54,30,43,73,14,17,34,49,45,96,57,52,113,343,400,745
ILOC10200703,0,3,4,3,7,9,20,9,25,11,11,18,4,8,12,3,6,7,6,3,8,6,3,6,6,14,18,10,8,15,59,72,129
ILOC10200704,14,12,23,7,3,8,18,20,36,11,13,29,5,6,16,3,9,11,12,10,19,6,3,11,4,3,7,4,11,17,85,96,174
