ILOC_CODE_2016,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
ILOC10100101,0,32,0,30,5,47,5,53,0,20,3,22,0,17,0,19,0,31,0,29,0,12,0,12,0,13,0,17,0,11,0,10,4,10,0,16,11,188,6,210,0,36,4,39,0,49,3,57,0,32,0,32,0,11,0,15,0,27,0,27,0,29,0,31,0,21,0,23,0,10,0,7,0,12,0,13,3,223,6,235,0,60,7,66,5,100,9,109,0,45,3,53,3,30,0,36,0,56,0,57,0,39,0,38,0,34,3,35,3,17,0,25,4,24,0,28,16,411,18,443
ILOC10100201,8,150,11,167,27,275,11,318,7,131,4,141,4,92,3,99,3,136,0,141,8,84,6,94,4,88,4,98,14,54,3,66,13,27,3,44,89,1030,46,1165,0,148,3,152,15,275,5,292,3,116,5,123,0,114,3,114,11,154,3,170,11,155,0,166,10,122,5,135,15,64,7,88,20,25,3,49,75,1176,38,1293,5,298,20,322,41,557,18,608,16,244,11,268,4,207,6,218,17,293,3,309,11,238,5,257,19,207,10,233,27,116,6,151,34,57,3,91,164,2213,84,2457
ILOC10100202,0,22,0,22,0,21,0,23,0,20,0,23,3,25,0,28,3,22,0,26,0,29,0,30,8,17,0,28,5,19,0,26,8,12,0,21,26,188,5,228,0,22,3,24,3,35,5,43,0,29,0,29,0,18,0,21,0,31,0,34,4,14,4,18,0,22,0,24,8,16,0,23,5,18,3,26,25,208,14,247,0,47,0,52,4,64,5,66,3,46,0,52,3,40,3,51,3,55,4,65,4,36,0,42,7,37,4,50,14,36,0,50,9,30,3,48,49,397,21,470
ILOC10100203,0,66,0,63,11,97,3,115,0,31,0,27,0,42,5,47,3,54,0,58,3,32,0,30,10,40,0,50,3,22,0,26,8,15,0,23,40,388,18,447,0,46,4,54,5,93,3,99,3,39,0,46,0,52,0,51,0,59,3,64,0,49,0,45,4,36,0,35,5,42,0,41,5,19,4,35,29,434,18,475,0,114,6,116,16,186,10,212,3,68,3,74,0,90,7,100,4,115,0,125,3,77,3,79,9,73,4,83,12,64,0,73,16,36,4,57,67,820,35,918
ILOC10100204,0,23,0,23,0,66,0,73,0,32,3,34,0,20,3,20,4,30,0,35,0,21,0,21,0,35,0,37,3,19,3,20,3,14,0,20,12,262,12,284,0,39,0,39,7,57,0,59,0,29,0,29,0,17,0,17,0,26,0,25,0,21,0,22,3,31,0,32,0,23,0,21,3,5,0,5,13,240,4,262,0,57,0,57,5,127,3,134,0,54,3,62,0,37,3,41,5,60,3,66,0,45,0,47,3,66,0,69,10,39,3,47,9,22,0,25,31,506,13,547
ILOC10100205,0,99,4,108,18,166,12,199,8,76,0,87,0,42,3,51,5,79,0,92,4,62,3,71,4,53,0,63,10,28,0,37,11,11,0,27,63,632,29,724,0,93,7,100,12,145,9,159,4,75,3,83,3,54,0,60,3,115,0,114,3,66,0,65,6,62,3,67,14,41,3,60,9,17,3,31,47,670,23,741,3,197,13,211,29,314,17,359,12,156,4,171,4,100,3,106,9,195,7,207,8,129,3,137,7,116,7,133,19,66,0,96,21,33,3,53,107,1304,57,1468
ILOC10100301,0,35,3,43,7,59,0,69,0,30,0,35,0,21,0,21,0,20,0,22,0,28,0,32,0,22,0,22,4,25,0,26,4,16,0,25,23,256,9,291,0,19,4,27,0,60,0,68,0,17,0,19,0,27,4,37,0,27,0,30,0,35,0,38,7,27,0,28,3,32,3,34,4,21,0,27,19,267,16,301,0,60,9,68,6,124,4,134,3,52,0,51,0,50,4,52,0,42,0,50,3,61,3,71,6,45,0,52,13,53,0,67,12,32,0,46,41,525,26,594
ILOC10100401,3,58,3,65,10,98,4,110,0,47,0,47,0,24,0,24,0,41,0,45,0,24,0,23,0,25,0,24,3,25,0,32,4,22,0,28,25,373,6,400,0,68,3,66,3,106,8,107,0,46,4,50,0,43,0,46,0,57,0,58,0,40,0,42,0,45,0,48,5,35,3,38,5,20,0,28,19,450,22,487,3,121,6,134,6,206,5,219,0,86,5,94,0,68,0,71,0,102,3,105,3,67,0,70,3,69,0,71,14,55,3,71,8,43,0,52,43,821,31,889
ILOC10100402,0,9,0,11,4,25,0,30,3,9,0,14,0,5,0,5,0,11,0,11,0,7,0,7,3,9,4,10,0,3,0,5,0,3,0,3,6,89,5,103,0,7,0,7,0,18,0,18,0,6,0,6,0,6,0,6,0,4,0,4,0,12,3,18,0,15,0,15,3,4,0,11,0,3,0,3,3,85,3,86,0,23,0,20,4,47,0,51,3,13,0,15,0,17,0,17,0,14,0,12,0,20,3,24,3,25,4,27,4,10,0,15,0,7,0,7,10,175,12,193
ILOC10100403,0,11,0,12,5,22,0,27,0,8,0,9,0,8,0,11,0,8,0,8,0,11,0,11,0,4,0,6,0,5,0,6,8,11,0,14,15,90,3,109,0,12,0,12,0,14,0,16,0,14,0,14,0,5,0,5,0,12,0,12,0,8,0,8,0,9,0,10,0,11,0,10,4,5,0,11,7,92,3,104,0,29,0,26,6,34,0,45,0,18,0,23,0,15,0,14,0,19,0,19,0,18,0,18,3,15,0,15,4,15,0,15,6,15,0,28,19,184,3,208
