ILOC_CODE_2016,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC10100101,0,14,4,22,0,19,0,19,0,27,3,29,0,8,0,12,0,17,0,17,0,10,3,10,0,10,3,16,3,109,16,127,0,27,3,32,0,12,0,15,3,26,0,27,3,23,0,31,4,19,0,23,0,7,0,7,0,13,3,13,13,123,10,145,0,38,8,53,0,28,0,36,3,53,3,57,8,34,3,38,4,35,0,35,0,17,3,25,0,28,3,28,13,235,23,269
ILOC10100201,6,122,18,141,8,85,4,99,17,117,5,141,7,78,6,94,15,79,3,98,11,57,0,66,9,28,9,44,70,570,41,680,9,106,13,123,9,102,4,114,21,145,9,170,47,109,5,166,19,114,5,135,22,62,3,88,3,40,7,49,123,681,43,845,11,229,26,268,17,192,8,218,35,265,8,309,56,188,9,257,29,191,10,233,28,120,3,151,8,68,14,91,193,1247,90,1528
ILOC10100202,0,18,0,23,0,28,3,28,3,22,3,26,0,29,0,30,3,19,3,28,0,18,3,26,0,19,0,21,15,154,11,177,4,27,3,29,3,19,0,21,5,26,0,34,5,12,3,18,4,13,0,24,6,14,0,23,0,19,3,26,29,137,13,176,3,43,3,52,4,45,5,51,14,49,3,65,4,40,3,42,6,40,7,50,8,40,5,50,0,41,6,48,44,286,21,356
ILOC10100203,3,22,3,27,3,38,4,47,3,51,0,58,9,25,3,30,12,37,3,50,3,24,3,26,0,18,6,23,33,212,25,269,3,37,5,46,0,49,6,51,18,48,4,64,11,41,3,45,7,25,5,35,11,27,3,41,3,25,0,35,50,252,26,324,7,66,12,74,3,90,7,100,17,101,3,125,16,63,4,79,17,60,8,83,10,49,4,73,9,40,10,57,79,463,51,593
ILOC10100204,0,32,3,34,3,21,0,20,3,34,0,35,0,20,0,21,5,29,0,37,0,17,0,20,0,11,0,20,23,164,11,191,0,24,0,29,0,19,0,17,7,24,0,25,4,19,0,22,11,24,0,32,3,17,3,21,3,8,0,5,26,130,3,167,0,56,6,62,3,39,0,41,7,55,0,66,6,42,0,47,21,49,0,69,8,32,6,47,4,18,0,25,49,296,12,354
ILOC10100205,6,69,13,87,6,43,4,51,18,70,3,92,14,52,8,71,10,48,0,63,4,33,0,37,3,17,7,27,55,329,36,419,0,76,5,83,9,50,5,60,14,96,8,114,16,48,3,65,19,50,0,67,14,35,4,60,3,22,3,31,69,384,35,484,4,143,18,171,9,93,8,106,32,163,12,207,27,104,12,137,23,103,5,133,16,65,7,96,3,45,10,53,115,717,65,897
ILOC10100301,0,28,3,35,3,19,0,21,3,15,0,22,6,25,0,32,3,16,0,22,0,30,0,26,6,13,3,25,20,150,15,184,0,14,4,19,0,32,3,37,7,25,0,30,14,23,3,38,6,24,0,28,8,27,3,34,7,15,6,27,38,157,12,208,0,43,4,51,4,44,4,52,6,40,0,50,18,49,4,71,12,44,0,52,9,55,3,67,9,33,7,46,55,306,31,392
ILOC10100401,4,33,6,47,0,25,0,24,5,38,0,45,5,18,0,23,3,15,3,24,5,22,0,32,0,24,0,28,31,176,16,224,6,30,11,50,4,36,3,46,5,51,0,58,9,35,0,42,9,29,0,48,6,30,0,38,5,15,5,28,48,232,28,307,12,63,21,94,8,63,0,71,9,88,3,105,16,49,4,70,16,47,6,71,16,54,0,71,6,41,7,52,80,409,43,537
ILOC10100402,0,9,3,14,0,6,0,5,0,6,0,11,0,5,0,7,6,9,0,10,0,3,0,5,0,0,0,3,7,49,3,62,0,5,0,6,0,3,0,6,0,4,0,4,5,11,0,18,7,10,0,15,0,9,0,11,0,3,0,3,10,45,4,62,0,16,3,15,3,11,0,17,0,16,0,12,7,19,0,24,7,20,0,27,0,12,0,15,0,7,0,7,14,99,10,122
ILOC10100403,0,11,0,9,0,11,0,11,0,9,0,8,3,8,0,11,0,3,0,6,0,3,0,6,0,14,4,14,3,61,6,66,0,10,0,14,0,5,0,5,4,9,0,12,4,4,0,8,0,10,0,10,0,3,0,10,0,6,0,11,16,50,3,69,0,18,3,23,0,12,0,14,4,16,3,19,3,16,0,18,4,14,0,15,4,9,3,15,0,22,3,28,20,111,13,137
ILOC10100501,3,55,3,59,3,41,0,47,11,49,0,64,9,22,0,33,6,34,3,44,6,26,0,34,0,17,0,15,35,245,15,292,3,54,7,64,4,37,0,47,16,49,0,65,13,35,0,49,4,30,3,39,13,28,0,42,10,19,0,25,65,258,15,336,3,107,10,126,14,78,3,97,25,99,7,128,25,60,0,81,11,65,4,82,20,56,0,73,9,34,0,41,103,498,27,630
ILOC10100502,0,6,0,7,0,3,0,10,0,8,0,11,0,7,0,7,0,19,3,24,0,7,0,7,0,3,0,10,7,60,3,71,0,12,0,14,3,3,0,10,0,8,0,8,0,7,0,6,4,11,3,12,0,4,0,8,7,8,0,14,13,47,11,73,0,16,0,21,4,15,0,13,0,18,0,23,3,12,0,16,7,29,3,39,0,16,0,17,3,8,0,15,23,108,9,146
ILOC10100503,0,11,3,16,0,11,0,13,0,3,0,3,0,11,0,15,0,15,0,16,0,7,0,7,0,3,3,9,5,63,9,75,0,7,0,9,0,8,0,12,3,11,0,11,6,7,0,17,3,7,0,13,4,13,0,13,5,7,0,7,20,59,0,79,0,25,5,30,0,20,0,28,3,11,0,14,10,16,0,29,0,22,3,22,4,16,0,19,5,16,3,20,27,123,13,156
ILOC10100601,0,16,11,25,0,18,4,21,0,18,3,17,0,15,3,19,3,10,0,12,3,13,3,14,5,11,3,18,13,93,28,131,0,19,10,24,3,10,0,15,5,16,3,21,8,20,3,29,6,15,3,25,3,8,0,14,7,11,0,12,20,101,16,139,0,28,20,49,3,27,3,34,7,34,3,40,10,37,3,43,7,21,0,34,4,22,4,30,4,24,6,31,35,194,42,272
ILOC10100701,0,14,4,20,0,22,0,28,0,20,0,22,0,12,0,9,3,19,0,29,0,16,0,16,0,12,0,9,17,113,11,136,0,13,4,16,0,11,0,11,11,12,0,25,0,15,0,17,12,15,0,32,0,14,0,20,8,16,0,19,27,93,12,134,4,28,8,32,0,36,0,36,10,28,7,43,4,24,0,28,14,34,4,53,3,27,3,35,6,23,0,33,45,208,19,267
ILOC10100702,0,22,4,28,0,9,0,9,3,15,0,20,6,10,0,15,0,13,3,18,6,21,3,27,0,10,4,15,14,107,12,130,0,12,0,14,0,9,0,9,3,22,0,22,0,15,5,23,6,19,0,25,6,11,0,21,0,13,0,14,21,109,6,137,0,36,4,43,0,18,0,18,6,35,0,45,11,29,5,39,5,33,0,43,16,30,4,49,3,21,4,27,41,208,16,270
