ILOC_CODE_2016,H_w_In_ps_OO_DS_SH,H_w_In_ps_OO_DS_SDRTHT,H_w_In_ps_OO_DS_FA,H_w_In_ps_OO_DS_OD_C,H_w_In_ps_OO_DS_OD_CH,H_w_In_ps_OO_DS_OD_IH_t_SO,H_w_In_ps_OO_OD_HF_a_SO,H_w_In_ps_OO_DS_OD_Tot,H_w_In_ps_OO_DS_NS,H_w_In_ps_OO_Tot,H_w_In_ps_M_DS_SH,H_w_In_ps_M_DS_SDRTHT,H_w_In_ps_M_DS_FA,H_w_In_ps_M_DS_OD_C,H_w_In_ps_M_DS_OD_CH,H_w_In_ps_M_DS_OD_IH_t_SO,H_w_In_ps_M_OD_HF_a_SO,H_w_In_ps_M_DS_OD_Tot,H_w_In_ps_M_DS_NS,H_w_In_ps_M_Tot,H_w_In_ps_RREA_DS_SH,H_w_In_ps_RREA_DS_SDRTHT,H_w_In_ps_RREA_DS_FA,H_w_In_ps_RREA_DS_OD_C,H_w_In_ps_RREA_DS_OD_CH,H_w_In_ps_RREA_DS_OD_IH_t_SO,H_w_In_ps_RREA_OD_HF_a_SO,H_w_In_ps_RREA_DS_OD_Tot,H_w_In_ps_RREA_DS_NS,H_w_In_ps_RREA_Tot,H_w_In_ps_RHA_DS_SH,H_w_In_ps_RHA_DS_SDRTHT,H_w_In_ps_RHA_DS_FA,H_w_In_ps_RHA_DS_OD_C,H_w_In_ps_RHA_DS_OD_CH,H_w_In_ps_RHA_DS_OD_IH_t_SO,H_w_In_ps_RHA_OD_HF_a_SO,H_w_In_ps_RHA_DS_OD_Tot,H_w_In_ps_RHA_DS_NS,H_w_In_ps_RHA_Tot,H_w_In_ps_R_PSH_DS_SH,H_w_In_ps_R_PSH_DS_SDRTHT,H_w_In_ps_R_PSH_DS_FA,H_w_In_ps_R_PSH_DS_OD_C,H_w_In_ps_R_PSH_DS_OD_CH,H_w_In_ps_R_PSH_DS_OD_IH_t_SO,H_w_In_ps_R_PSH_OD_HF_a_SO,H_w_In_ps_R_PSH_DS_OD_Tot,H_w_In_ps_R_PSH_DS_NS,H_w_In_ps_R_PSH_Tot,H_w_In_ps_R_HCC_DS_SH,H_w_In_ps_R_HCC_DS_SDRTHT,H_w_In_ps_R_HCC_DS_FA,H_w_In_ps_R_HCC_DS_OD_C,H_w_In_ps_R_HCC_DS_OD_CH,H_w_In_ps_R_HCC_DS_OD_IH_t_SO,H_w_In_ps_R_HCC_OD_HF_a_SO,H_w_In_ps_R_HCC_DS_OD_Tot,H_w_In_ps_R_HCC_DS_NS,H_w_In_ps_R_HCC_Tot,H_w_In_ps_R_OLT_DS_SH,H_w_In_ps_R_OLT_DS_SDRTHT,H_w_In_ps_R_OLT_DS_FA,H_w_In_ps_R_OLT_DS_OD_C,H_w_In_ps_R_OLT_DS_OD_CH,H_w_In_ps_R_OLT_DS_OD_IH_t_SO,H_w_In_ps_R_OLT_OD_HF_a_SO,H_w_In_ps_R_OLT_DS_OD_Tot,H_w_In_ps_R_OLT_DS_NS,H_w_In_ps_R_OLT_Tot,H_w_In_ps_R_LNS_DS_SH,H_w_In_ps_R_LNS_DS_SDRTHT,H_w_In_ps_R_LNS_DS_FA,H_w_In_ps_R_LNS_DS_OD_C,H_w_In_ps_R_LNS_DS_OD_CH,H_w_In_ps_R_LNS_DS_OD_IH_t_SO,H_w_In_ps_R_LNS_OD_HF_a_SO,H_w_In_ps_R_LNS_DS_OD_Tot,H_w_In_ps_R_LNS_DS_NS,H_w_In_ps_R_LNS_Tot,H_w_In_ps_R_Tot_DS_SH,H_w_In_ps_R_Tot_DS_SDRTHT,H_w_In_ps_R_Tot_DS_FA,H_w_In_ps_R_Tot_DS_OD_C,H_w_In_ps_R_Tot_DS_OD_CH,H_w_In_ps_R_Tot_DS_OD_IH_t_SO,H_w_In_ps_R_Tot_OD_HF_a_SO,H_w_In_ps_R_Tot_DS_OD_Tot,H_w_In_ps_R_Tot_DS_NS,H_w_In_ps_R_Tot_Tot,H_w_In_ps_OTT_DS_SH,H_w_In_ps_OTT_DS_SDRTHT,H_w_In_ps_OTT_DS_FA,H_w_In_ps_OTT_DS_OD_C,H_w_In_ps_OTT_DS_OD_CH,H_w_In_ps_OTT_DS_OD_IH_t_SO,H_w_In_ps_OTT_OD_HF_a_SO,H_w_In_ps_OTT_DS_OD_Tot,H_w_In_ps_OTT_DS_NS,H_w_In_ps_OTT_Tot,H_w_In_ps_T_NS_DS_SH,H_w_In_ps_T_NS_DS_SDRTHT,H_w_In_ps_T_NS_DS_FA,H_w_In_ps_T_NS_DS_OD_C,H_w_In_ps_T_NS_DS_OD_CH,H_w_In_ps_T_NS_DS_OD_IH_t_SO,H_w_In_ps_T_NS_OD_HF_a_SO,H_w_In_ps_T_NS_DS_OD_Tot,H_w_In_ps_T_NS_DS_NS,H_w_In_ps_T_NS_Tot,H_w_In_ps_Tot_DS_SH,H_w_In_ps_Tot_DS_SDRTHT,H_w_In_ps_Tot_DS_FA,H_w_In_ps_Tot_DS_OD_C,H_w_In_ps_Tot_DS_OD_CH,H_w_In_ps_Tot_DS_OD_IH_t_SO,H_w_In_ps_Tot_OD_HF_a_SO,H_w_In_ps_Tot_DS_OD_Tot,H_w_In_ps_Tot_DS_NS,H_w_In_ps_Tot_Tot,OH_OO_DS_SH,OH_OO_DS_SDRTHT,OH_OO_DS_FA,OH_OO_DS_OD_C,OH_OO_DS_OD_CH,OH_OO_DS_OD_IH_t_SO,OH_OO_OD_HF_a_SO,OH_OO_DS_OD_Tot,OH_OO_DS_NS,OH_OO_DS_Tot,OH_M_DS_SH,OH_M_DS_SDRTHT,OH_M_DS_FA,OH_M_DS_OD_C,OH_M_DS_OD_CH,OH_M_DS_OD_IH_t_SO,OH_M_OD_HF_a_SO,OH_M_DS_OD_Tot,OH_M_DS_NS,OH_M_DS_Tot,OH_RREA_DS_SH,OH_RREA_DS_SDRTHT,OH_RREA_DS_FA,OH_RREA_DS_OD_C,OH_RREA_DS_OD_CH,OH_RREA_DS_OD_IH_t_SO,OH_RREA_OD_HF_a_SO,OH_RREA_DS_OD_Tot,OH_RREA_DS_NS,OH_RREA_DS_Tot,OH_RHA_DS_SH,OH_RHA_DS_SDRTHT,OH_RHA_DS_FA,OH_RHA_DS_OD_C,OH_RHA_DS_OD_CH,OH_RHA_DS_OD_IH_t_SO,OH_RHA_OD_HF_a_SO,OH_RHA_DS_OD_Tot,OH_RHA_DS_NS,OH_RHA_DS_Tot,OH_R_PSH_DS_SH,OH_R_PSH_DS_SDRTHT,OH_R_PSH_DS_FA,OH_R_PSH_DS_OD_C,OH_R_PSH_DS_OD_CH,OH_R_PSH_DS_OD_IH_t_SO,OH_R_PSH_OD_HF_a_SO,OH_R_PSH_DS_OD_Tot,OH_R_PSH_DS_NS,OH_R_PSH_DS_Tot,OH_R_HCC_DS_SH,OH_R_HCC_DS_SDRTHT,OH_R_HCC_DS_FA,OH_R_HCC_DS_OD_C,OH_R_HCC_DS_OD_CH,OH_R_HCC_DS_OD_IH_t_SO,OH_R_HCC_OD_HF_a_SO,OH_R_HCC_DS_OD_Tot,OH_R_HCC_DS_NS,OH_R_HCC_DS_Tot,OH_R_OLT_DS_SH,OH_R_OLT_DS_SDRTHT,OH_R_OLT_DS_FA,OH_R_OLT_DS_OD_C,OH_R_OLT_DS_OD_CH,OH_R_OLT_DS_OD_IH_t_SO,OH_R_OLT_OD_HF_a_SO,OH_R_OLT_DS_OD_Tot,OH_R_OLT_DS_NS,OH_R_OLT_DS_Tot,OH_R_LNS_DS_SH,OH_R_LNS_DS_SDRTHT,OH_R_LNS_DS_FA,OH_R_LNS_DS_OD_C,OH_R_LNS_DS_OD_CH,OH_R_LNS_DS_OD_IH_t_SO,OH_R_LNS_OD_HF_a_SO,OH_R_LNS_DS_OD_Tot,OH_R_LNS_DS_NS,OH_R_LNS_DS_Tot
ILOC10100101,35,0,0,0,0,0,0,0,0,32,45,0,0,0,0,0,0,0,0,45,10,0,0,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,0,29,26,0,0,0,0,0,0,0,0,24,4,4,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,80,4,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,164,4,7,0,0,0,0,0,0,177,343,3,0,0,0,0,0,0,4,354,177,0,0,0,0,0,0,0,0,178,31,3,0,0,0,0,0,0,0,39,17,0,3,0,0,0,0,0,0,21,60,3,3,0,0,0,3,3,0,76,3,0,3,0,0,0,0,0,0,3,37,10,7,0,0,0,3,3,0,59,20,0,0,0,0,0,0,0,0,21
ILOC10100201,77,3,0,0,0,0,0,0,0,83,236,3,0,0,0,0,0,0,0,238,237,63,3,0,0,0,0,0,0,302,139,3,0,0,0,0,0,0,0,143,73,6,0,0,0,0,0,0,0,76,15,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,471,69,3,0,0,0,0,0,3,552,4,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,32,817,82,9,0,0,0,0,0,3,910,1178,79,53,0,0,0,0,0,0,1315,1440,56,11,0,0,0,0,0,0,1508,494,270,14,0,0,0,0,0,10,784,48,9,4,0,0,0,0,0,0,56,174,39,4,0,0,0,0,0,0,219,0,14,8,0,0,0,0,0,0,23,11,3,0,0,0,0,0,0,0,16,14,10,3,0,0,0,0,0,0,20
ILOC10100202,18,0,0,0,0,0,0,0,0,16,46,0,0,0,0,0,0,0,0,44,40,8,10,0,0,0,0,0,0,63,5,27,19,0,0,0,0,0,0,47,25,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,76,32,33,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,7,142,41,30,0,0,0,0,0,0,211,229,3,9,11,0,0,3,12,0,254,235,4,7,0,0,0,3,3,0,259,131,25,100,0,0,0,6,6,0,258,5,22,36,0,0,0,0,0,0,65,67,6,12,0,0,0,0,0,0,92,0,4,9,0,0,0,0,0,0,8,9,3,0,3,0,0,0,3,3,15,5,0,0,0,0,0,0,0,0,5
ILOC10100203,27,0,0,0,0,0,0,0,0,28,77,0,0,0,0,0,0,0,0,79,106,13,25,0,0,0,0,0,0,148,45,4,32,0,0,0,0,0,0,83,31,3,5,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,185,27,62,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,21,306,27,71,0,0,0,0,0,0,408,802,43,22,0,0,0,0,0,3,866,792,17,16,0,0,0,0,0,3,820,303,64,266,0,0,0,0,0,0,635,45,5,83,0,0,0,0,0,0,132,113,8,21,0,0,0,0,0,3,145,8,6,0,0,0,0,0,0,0,15,11,0,5,0,0,0,0,0,3,17,3,0,3,0,0,0,0,0,0,5
ILOC10100204,49,0,0,3,0,0,0,3,0,50,120,0,0,0,0,0,0,0,0,125,11,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,48,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,223,0,0,3,0,0,0,3,0,233,909,3,0,5,0,0,0,5,6,919,1056,0,0,0,0,0,0,0,8,1059,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,95,0,0,3,0,0,0,4,0,97,8,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,17,23,0,0,0,0,0,0,0,0,23
ILOC10100205,60,0,0,0,0,0,0,0,0,57,172,0,3,0,0,0,6,6,0,174,123,5,25,0,0,0,0,0,0,154,87,7,4,0,0,0,3,3,0,97,33,0,0,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,251,14,31,0,0,0,4,4,0,303,4,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,3,0,17,502,14,33,0,0,0,10,14,0,556,636,6,78,0,0,0,8,8,0,728,751,7,17,0,0,0,12,12,0,793,250,44,76,0,0,0,12,12,0,380,24,9,12,0,0,0,0,0,0,45,115,3,7,0,0,0,5,5,0,130,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,5,0,20,4,0,0,0,0,0,0,0,3,11
ILOC10100301,38,0,0,0,0,0,0,0,0,38,48,0,0,0,0,0,0,0,0,49,42,3,15,0,0,0,0,0,0,60,36,0,0,0,0,0,0,0,0,36,34,0,0,0,0,0,0,0,0,34,10,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,130,3,15,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,224,3,15,0,0,0,0,0,3,241,614,0,0,0,0,0,0,0,3,617,334,0,0,0,0,0,0,0,0,339,72,0,23,0,0,0,0,0,0,98,22,0,0,0,0,0,0,0,0,22,97,0,4,0,0,0,0,0,0,104,8,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,27
ILOC10100401,65,0,0,0,0,0,0,0,0,65,95,0,0,0,0,0,0,0,0,95,80,0,6,0,0,0,0,0,0,91,38,3,0,0,0,0,0,0,0,43,31,0,0,0,0,0,0,0,3,32,3,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,157,3,15,0,0,0,0,0,3,178,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,14,330,3,11,0,0,0,0,0,3,352,398,3,3,0,0,0,0,0,7,412,296,4,0,0,0,0,0,0,4,305,75,8,14,0,0,0,0,0,4,104,23,0,3,0,0,0,0,0,0,25,55,0,6,0,0,0,0,0,0,62,0,0,11,0,0,0,0,0,0,18,9,0,6,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,5
ILOC10100402,16,0,0,0,0,0,0,0,0,16,34,0,0,0,0,0,0,0,0,34,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,84,0,0,0,0,0,0,0,0,82,294,0,0,0,0,0,0,0,0,295,175,0,0,0,0,0,0,0,0,175,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,28,0,3,0,0,0,0,0,0,30,21,0,0,0,0,0,0,0,0,21
ILOC10100403,19,0,0,0,0,0,0,0,0,19,22,0,0,0,0,0,0,0,0,23,11,3,3,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,3,3,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,77,3,3,0,0,0,0,0,0,89,103,0,0,0,0,0,0,0,0,108,46,0,0,0,0,0,0,0,0,51,6,4,3,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,8,20,0,4,0,0,0,0,0,0,22,0,0,8,0,0,0,0,0,0,6,7,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
