ILOC_CODE_2016,OH_R_Tot_DS_SH,OH_R_Tot_DS_SDRTHT,OH_R_Tot_DS_FA,OH_R_Tot_DS_OD_C,OH_R_Tot_DS_OD_CH,OH_R_Tot_DS_OD_IH_t_SO,OH_R_Tot_OD_HF_a_SO,OH_R_Tot_DS_OD_Tot,OH_R_Tot_DS_NS,OH_R_Tot_DS_Tot,OH_OTT_DS_SH,OH_OTT_DS_SDRTHT,OH_OTT_DS_FA,OH_OTT_DS_OD_C,OH_OTT_DS_OD_CH,OH_OTT_DS_OD_IH_t_SO,OH_OTT_OD_HF_a_SO,OH_OTT_DS_OD_Tot,OH_OTT_DS_NS,OH_OTT_DS_Tot,OH_T_NS_DS_SH,OH_T_NS_DS_SDRTHT,OH_T_NS_DS_FA,OH_T_NS_DS_OD_C,OH_T_NS_DS_OD_CH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_C,OH_Tot_DS_OD_CH,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FA,T_h_OO_DS_OD_C,T_h_OO_DS_OD_CH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FA,T_h_M_DS_OD_C,T_h_M_DS_OD_CH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FA,T_h_RREA_DS_OD_C,T_h_RREA_DS_OD_CH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FA,T_h_RHA_DS_OD_C,T_h_RHA_DS_OD_CH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FA,T_h_R_PSH_DS_OD_C,T_h_R_PSH_DS_OD_CH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FA,T_h_R_HCC_DS_OD_C,T_h_R_HCC_DS_OD_CH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FA,T_h_R_OLT_DS_OD_C,T_h_R_OLT_DS_OD_CH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FA,T_h_R_LNS_DS_OD_C,T_h_R_LNS_DS_OD_CH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FA,T_h_R_Tot_DS_OD_C,T_h_R_Tot_DS_OD_CH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FA,T_h_OTT_DS_OD_C,T_h_OTT_DS_OD_CH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FA,T_h_T_NS_DS_OD_C,T_h_T_NS_DS_OD_CH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FA,T_h_Tot_DS_OD_C,T_h_Tot_DS_OD_CH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
ILOC10100101,164,21,21,0,0,0,3,5,0,212,3,0,0,0,0,0,0,0,0,5,30,0,3,3,0,0,0,3,0,37,712,28,24,6,0,0,7,12,10,788,378,4,0,0,0,0,0,0,4,389,221,0,0,0,0,0,0,0,0,221,47,3,0,0,0,0,0,0,0,50,46,0,4,0,0,0,0,0,0,47,84,4,4,0,0,0,4,4,3,97,12,4,3,0,0,0,0,0,0,16,46,17,7,0,0,0,3,3,0,74,20,0,0,0,0,0,0,0,0,21,246,26,20,0,0,0,3,9,4,306,3,0,0,0,0,0,0,0,0,6,35,0,0,3,0,0,0,3,0,45,878,33,28,6,0,0,8,14,9,968
ILOC10100201,738,342,33,0,0,0,0,0,5,1124,8,11,43,0,0,0,0,0,3,63,67,14,16,0,0,0,0,0,0,94,3433,497,155,0,0,0,0,3,13,4101,1253,88,56,0,0,0,0,0,0,1395,1679,58,11,0,0,0,0,0,0,1744,731,331,16,0,0,0,0,3,6,1081,184,16,3,0,0,0,0,0,0,206,247,41,4,0,0,0,0,0,0,294,20,16,8,0,0,0,0,0,0,42,19,3,0,0,0,0,0,0,0,19,20,10,3,0,0,0,0,0,0,29,1209,413,40,0,0,0,0,3,7,1674,12,11,43,0,0,0,0,0,3,72,96,9,13,0,0,0,0,0,0,123,4253,579,160,3,0,0,0,5,13,5009
ILOC10100202,219,66,152,3,0,0,6,9,3,441,6,0,5,0,0,0,0,0,0,11,17,0,6,0,0,0,0,0,0,22,699,75,177,18,0,0,8,26,9,990,244,5,9,11,0,0,3,12,0,271,287,7,7,0,0,0,3,3,0,306,170,37,111,0,0,0,6,6,3,322,11,46,48,0,0,0,0,0,0,111,96,9,12,0,0,0,0,0,0,116,0,4,9,0,0,0,0,0,0,16,13,3,0,4,0,0,0,3,3,22,5,0,0,0,0,0,0,0,0,5,290,101,180,4,0,0,6,10,9,583,6,0,5,0,0,0,0,0,0,11,18,8,7,0,0,0,0,0,0,35,842,114,215,19,0,0,8,29,11,1202
ILOC10100203,481,83,373,0,0,0,0,3,5,954,10,9,3,0,0,0,0,0,0,18,61,3,18,0,0,0,0,0,0,83,2138,155,434,0,0,0,3,3,19,2741,826,42,22,0,0,0,0,0,3,899,862,14,13,0,0,0,0,0,3,894,408,81,295,0,0,0,3,3,0,787,87,17,115,0,0,0,0,0,0,216,144,7,23,0,0,0,0,0,3,185,8,6,0,0,0,0,0,0,0,14,15,0,5,0,0,0,0,0,3,22,3,0,3,0,0,0,0,0,0,5,670,113,439,0,0,0,3,0,11,1229,6,9,3,0,0,0,0,0,0,19,77,4,26,0,0,0,0,0,0,108,2445,178,505,0,0,0,4,5,17,3146
ILOC10100204,180,0,0,3,0,0,0,4,0,183,8,0,0,0,0,0,0,0,0,12,41,0,0,0,0,0,0,0,0,45,2197,3,0,7,0,0,0,11,14,2217,959,3,0,5,0,0,0,5,6,972,1174,0,0,0,0,0,0,0,7,1182,44,0,0,0,0,0,0,0,0,44,4,0,0,0,0,0,0,0,0,4,124,0,0,3,0,0,0,4,0,130,10,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,30,229,0,0,3,0,0,0,3,0,235,11,0,0,0,0,0,0,0,0,14,50,0,0,0,0,0,0,0,0,51,2421,3,0,8,0,0,0,13,12,2453
ILOC10100205,410,57,97,0,0,0,14,18,6,588,11,3,58,0,0,0,0,0,3,74,49,3,6,0,0,0,0,3,0,67,1865,76,265,5,0,0,33,36,6,2250,694,6,80,0,0,0,8,8,0,784,918,7,24,0,0,0,17,17,0,970,376,51,96,0,0,0,12,12,0,534,113,18,19,0,0,0,3,3,0,148,146,8,12,0,0,0,3,3,0,164,5,0,0,0,0,0,0,0,0,9,20,0,0,0,0,0,0,5,0,22,7,0,0,0,0,0,0,0,3,10,664,69,133,0,0,0,18,23,6,893,18,3,58,0,0,0,0,0,3,76,68,3,9,3,0,0,0,6,0,87,2359,91,301,4,0,0,45,52,6,2812
ILOC10100301,252,0,28,0,0,0,0,0,3,282,23,0,0,0,0,0,0,0,0,22,38,0,0,0,0,0,0,0,0,42,1258,0,29,3,0,0,0,3,10,1308,643,0,0,0,0,0,0,0,3,652,381,0,0,0,0,0,0,0,3,390,115,0,37,0,0,0,0,0,0,158,54,0,0,0,0,0,0,0,0,54,126,0,4,0,0,0,0,0,0,132,16,0,0,0,0,0,0,0,0,16,34,0,0,0,0,0,0,0,0,35,30,0,0,0,0,0,0,0,0,32,381,0,39,0,0,0,0,0,7,431,20,0,0,0,0,0,0,0,0,26,50,0,0,0,0,0,0,0,0,56,1485,4,43,3,0,0,0,3,16,1555
ILOC10100401,165,17,43,0,0,0,0,0,4,229,9,0,0,0,0,0,0,0,0,10,31,0,3,0,0,0,0,0,0,31,892,16,49,0,0,0,0,0,16,981,462,3,3,0,0,0,0,0,7,473,385,4,0,0,0,0,0,0,4,396,153,14,23,0,0,0,0,0,3,195,60,3,3,0,0,0,0,0,0,68,85,0,6,0,0,0,0,0,3,97,3,0,13,0,0,0,0,0,0,22,12,0,7,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,13,325,17,51,0,0,0,3,3,8,407,5,0,3,0,0,0,0,0,0,8,40,0,3,0,0,0,0,0,0,43,1224,22,61,0,0,0,3,3,14,1329
ILOC10100402,105,0,5,0,0,0,0,0,0,108,14,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,18,609,0,5,0,0,0,0,3,0,614,307,0,0,0,0,0,0,0,0,309,206,0,0,0,0,0,0,0,0,206,20,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,37,0,4,0,0,0,0,0,0,39,22,0,0,0,0,0,0,0,0,22,137,0,3,0,0,0,0,3,0,142,12,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,22,689,0,3,0,0,0,0,3,0,697
ILOC10100403,42,3,14,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,3,17,199,7,18,3,0,0,0,3,3,232,129,0,0,0,0,0,0,0,0,128,72,0,0,0,0,0,0,0,3,72,17,3,3,0,0,0,0,0,0,29,13,0,4,0,0,0,0,0,0,17,27,0,4,0,0,0,0,0,0,31,0,0,7,0,0,0,0,0,0,8,13,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,70,3,24,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,6,3,23,279,11,22,6,0,0,0,6,8,322
