ILOC_CODE_2016,IAD_HHs_with_Ind_p,IAD_Oth_households,IAD_Tot_households,INAD_HHs_with_Ind_p,INAD_Oth_households,INAD_Tot_households,IA_NS_Indig_per,IA_NS_Oth_households,IA_NS_Tot_households,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC10100101,120,528,644,52,227,276,4,35,41,177,788,968
ILOC10100201,653,3309,3960,222,698,919,37,98,135,910,4101,5009
ILOC10100202,134,723,856,73,241,315,11,31,39,211,990,1202
ILOC10100203,264,2073,2339,128,590,715,21,71,94,408,2741,3146
ILOC10100204,180,1875,2048,48,304,347,6,46,55,233,2217,2453
ILOC10100205,387,1781,2172,153,400,556,17,71,89,556,2250,2812
ILOC10100301,129,874,1004,104,406,506,9,35,45,241,1308,1555
ILOC10100401,226,645,871,112,292,403,11,37,52,352,981,1329
ILOC10100402,63,485,551,17,112,131,3,21,19,82,614,697
ILOC10100403,53,135,186,32,85,109,5,17,20,89,232,322
ILOC10100501,313,2288,2603,99,839,938,22,105,125,427,3235,3666
ILOC10100502,60,859,918,34,232,259,3,33,37,96,1122,1225
ILOC10100503,43,119,159,40,88,132,3,9,14,96,214,310
ILOC10100601,78,570,654,77,246,318,5,32,39,166,848,1013
ILOC10100701,92,550,643,67,237,305,7,25,36,167,816,981
ILOC10100702,125,1278,1396,57,521,576,8,65,76,182,1859,2042
ILOC10100801,276,801,1071,176,412,587,22,38,63,473,1250,1720
ILOC10100802,102,854,958,47,270,317,3,37,44,154,1163,1316
ILOC10200101,412,6712,7125,224,1202,1419,37,199,236,667,8110,8779
ILOC10200201,135,2185,2324,87,894,981,12,103,118,240,3188,3427
ILOC10200301,316,1764,2077,167,722,889,25,87,107,503,2575,3075
ILOC10200302,111,1009,1122,38,261,295,7,31,36,155,1297,1454
ILOC10200401,69,941,1009,44,440,483,8,36,39,119,1410,1530
ILOC10200402,37,61,96,17,34,51,3,3,3,58,98,151
ILOC10200501,100,1150,1242,41,587,626,4,71,78,147,1802,1951
ILOC10200502,342,3875,4220,202,1463,1662,26,209,243,575,5549,6124
ILOC10200601,51,914,964,19,228,249,0,24,23,77,1166,1241
ILOC10200602,115,591,705,65,264,329,4,19,28,190,880,1068
ILOC10200603,19,0,19,12,0,12,0,0,0,27,0,27
ILOC10200604,72,262,337,46,179,224,5,17,22,127,456,578
ILOC10200701,87,634,719,62,225,289,15,41,58,165,900,1061
ILOC10200702,166,478,640,222,189,410,40,42,81,422,716,1137
ILOC10200703,39,363,404,19,50,75,0,12,16,59,429,490
ILOC10200704,32,17,41,41,9,45,8,4,14,76,26,107
ILOC10200801,43,42,93,43,33,78,0,0,0,88,79,164
ILOC10200802,72,915,982,49,261,314,6,54,58,128,1230,1350
ILOC10200803,23,75,101,9,37,50,3,12,15,37,134,166
ILOC10200804,11,35,49,36,5,39,0,0,3,51,42,89
ILOC10200901,301,2690,2992,125,690,812,21,99,114,445,3472,3920
ILOC10200902,119,1296,1416,25,335,353,6,67,74,149,1697,1848
ILOC10201001,181,1156,1332,105,423,527,15,63,79,296,1647,1940
ILOC10201002,140,1387,1530,66,432,501,17,44,63,230,1867,2095
ILOC10201003,82,290,371,56,136,186,3,19,26,139,447,589
ILOC10201101,1282,9962,11244,524,2736,3258,90,436,521,1896,13131,15027
ILOC10201102,438,4549,4985,145,1310,1459,22,195,211,604,6055,6656
ILOC10201201,4,0,4,26,0,28,0,0,0,29,0,29
ILOC10201202,96,1694,1794,50,716,767,0,94,97,150,2507,2656
ILOC10201301,262,3548,3807,77,1124,1200,14,142,152,349,4820,5161
ILOC10201401,125,1480,1603,48,390,429,7,56,59,174,1924,2095
ILOC10201402,45,796,843,34,308,346,10,39,46,96,1142,1239
ILOC10300101,110,244,354,117,76,191,15,17,37,241,342,582
ILOC10300102,26,138,165,25,45,74,5,7,12,62,187,248
ILOC10300201,73,70,138,96,20,120,16,14,28,181,101,281
ILOC10300202,69,77,147,34,14,52,0,10,10,102,105,203
ILOC10300203,13,11,21,42,0,39,3,0,3,54,10,64
ILOC10300301,165,984,1149,74,327,405,14,54,73,258,1363,1626
ILOC10300302,3,0,3,23,0,23,0,0,0,23,0,23
ILOC10300401,174,295,466,146,169,316,19,32,48,340,495,830
ILOC10300402,30,269,302,8,65,74,3,9,10,44,343,386
ILOC10300403,15,47,58,45,30,73,8,4,13,64,83,143
ILOC10300501,417,4554,4969,177,1750,1931,34,256,286,629,6556,7184
ILOC10300502,22,315,338,38,79,110,7,28,32,64,420,488
ILOC10300503,29,55,84,38,31,67,6,10,12,71,91,166
ILOC10300504,27,38,65,76,16,90,3,0,3,111,52,160
ILOC10300601,36,46,82,37,26,62,0,6,11,70,78,154
ILOC10300602,0,0,0,16,0,16,0,0,0,16,0,16
ILOC10300603,85,252,342,79,130,204,13,23,33,174,407,583
ILOC10300605,85,175,256,151,56,212,25,9,28,254,240,490
ILOC10300607,61,596,655,64,265,323,11,51,68,133,912,1046
ILOC10400101,26,348,372,30,75,106,4,21,24,56,448,500
ILOC10400102,214,5183,5397,94,1548,1635,17,261,275,323,6985,7309
ILOC10400103,217,7010,7225,36,928,958,5,183,193,255,8121,8378
ILOC10400201,233,9431,9670,48,1282,1329,14,367,384,294,11085,11379
ILOC10400301,481,4715,5194,146,1653,1793,28,208,236,653,6572,7223
ILOC10400302,445,5623,6067,83,1029,1112,16,175,190,545,6822,7369
ILOC10400303,360,3152,3515,92,1091,1186,12,133,147,468,4378,4850
ILOC10400401,3,88,87,29,45,68,0,6,6,31,134,162
ILOC10400402,81,1331,1412,46,396,447,9,49,54,133,1780,1912
ILOC10400403,534,5942,6484,214,1925,2141,30,249,275,776,8121,8896
ILOC10400404,78,1894,1978,24,526,544,3,92,95,103,2513,2618
ILOC10400405,219,4294,4512,84,1235,1318,9,175,183,319,5697,6015
ILOC10400501,160,3761,3919,36,871,911,3,131,140,201,4767,4967
ILOC10400502,47,191,232,33,79,109,6,18,23,82,282,363
ILOC10400503,903,16278,17185,249,3025,3276,52,592,643,1204,19893,21101
ILOC10400504,44,736,776,31,286,312,7,40,46,80,1054,1133
ILOC10400505,130,2654,2783,40,591,623,12,88,95,176,3326,3506
ILOC10400506,151,1619,1768,89,719,805,15,85,97,252,2422,2676
ILOC10400507,279,4422,4695,104,969,1076,15,159,176,401,5545,5942
ILOC10400601,145,2366,2516,38,630,665,3,64,74,192,3065,3257
ILOC10400602,126,1296,1424,49,493,545,9,48,60,186,1845,2029
ILOC10400701,621,20997,21622,69,3216,3283,21,611,629,709,24824,25535
ILOC10400702,1241,28980,30227,263,5895,6159,71,993,1068,1582,35875,37454
ILOC10400801,291,4910,5204,101,1148,1249,20,205,225,411,6267,6678
ILOC10400802,223,3903,4131,89,1234,1324,11,184,195,328,5319,5651
ILOC10400803,95,1717,1814,40,816,855,8,109,115,137,2646,2784
ILOC10400901,266,1350,1609,191,695,886,27,97,126,479,2145,2622
ILOC10400902,243,3196,3443,94,954,1054,17,135,152,355,4295,4650
ILOC10400903,40,209,251,12,82,93,3,13,12,50,301,351
ILOC10400904,87,539,625,94,141,230,12,19,32,193,700,892
ILOC10400905,83,1518,1605,31,458,491,6,49,52,120,2026,2147
ILOC10401001,87,2259,2348,49,811,856,11,84,93,143,3153,3298
ILOC10401002,21,121,139,11,48,59,0,11,11,34,179,205
ILOC10401101,904,17863,18773,250,4112,4363,43,582,626,1192,22562,23756
ILOC10401102,1176,23109,24278,203,4155,4358,30,509,541,1411,27769,29182
ILOC10401103,953,15441,16395,183,3065,3251,42,490,534,1178,19000,20172
ILOC10401201,269,3670,3942,87,794,879,16,115,135,374,4583,4955
ILOC10401202,152,2647,2798,56,602,666,10,116,130,221,3367,3585
ILOC10401203,151,2272,2423,43,627,669,5,100,105,198,3001,3199
ILOC10401204,139,3514,3653,46,660,703,7,122,129,192,4295,4488
ILOC10401301,1460,20956,22415,313,3903,4218,63,618,686,1833,25487,27320
ILOC10401401,690,16767,17456,177,3017,3192,36,532,563,902,20313,21214
ILOC10401402,815,13013,13830,163,2976,3141,32,413,449,1013,16407,17425
ILOC10401403,710,16483,17196,170,3417,3582,32,496,526,910,20397,21305
ILOC10401501,331,7667,7996,93,1849,1939,12,292,303,433,9804,10237
ILOC10401502,689,13641,14333,157,3140,3302,17,523,544,864,17309,18171
ILOC10401503,152,1601,1753,56,581,639,3,66,69,212,2243,2456
ILOC10401601,52,276,326,20,125,142,5,14,14,73,416,489
ILOC10401602,172,2550,2715,13,230,241,11,53,56,189,2831,3020
ILOC10401603,218,5884,6103,39,1212,1250,8,201,208,268,7292,7557
ILOC10401604,369,7334,7700,65,1532,1594,13,260,279,448,9128,9573
ILOC10401605,353,3247,3600,101,892,990,22,246,264,472,4377,4850
ILOC10401701,228,2537,2760,155,1110,1265,20,145,163,400,3794,4194
ILOC10401702,21,229,256,18,86,110,0,11,15,43,332,375
ILOC10401703,139,2797,2932,66,878,940,10,114,122,212,3786,3996
ILOC10401801,436,5859,6292,132,1133,1263,15,161,176,576,7154,7729
ILOC10401901,13,94,115,30,18,44,0,6,6,46,122,165
ILOC10401902,461,4596,5053,212,1647,1867,47,221,265,717,6464,7180
ILOC10401903,399,7457,7854,96,1759,1858,21,218,241,515,9436,9949
ILOC10401904,89,1107,1198,27,491,511,0,48,48,115,1645,1759
ILOC10402001,230,5954,6177,51,1333,1383,12,213,223,293,7500,7790
ILOC10402002,183,3776,3958,19,558,585,13,118,128,214,4457,4668
