ILOC_CODE_2016,HH_IN_P_1_f_hh_C_f_n_c_N_u_1,HH_IN_P_1_f_hh_C_f_n_c_N_u_2,HH_IN_P_1_f_hh_C_f_n_c_N_u_3,HH_IN_P_1_f_hh_C_f_n_c_N_u_4,HH_IN_P_1_f_hh_C_f_n_c_N_u_5,HH_IN_P_1_f_h_C_f_n_c_N_u_6ov,HH_IN_P_1_f_hh_C_f_no_ch_Tot,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_1,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_2,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_3,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_4,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_5,HH_I_P_1_f_h_C_f_ch_Nu_ur_6ov,HH_IN_PE_1_fa_hh_Co_fa_ch_Tot,HH_IN_P_1_f_h_1_pa_f_Nu_ur_1,HH_IN_P_1_f_h_1_pa_f_Nu_ur_2,HH_IN_P_1_f_h_1_pa_f_Nu_ur_3,HH_IN_P_1_f_h_1_pa_f_Nu_ur_4,HH_IN_P_1_f_h_1_pa_f_Nu_ur_5,HH_IN_P_1_f_h_1_pa_f_N_ur_6ov,HH_IN_P_1_f_h_1_pa_f_Tot,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_1,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_2,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_3,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_4,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_5,HH_IN_P_1_fa_hh_Ot_f_N_ur_6ov,HH_IN_PE_1_fa_hh_Other_fa_Tot,HH_IN_PE_1_fa_hh_Tot_Nu_ur_1,HH_IN_PE_1_fa_hh_Tot_Nu_ur_2,HH_IN_PE_1_fa_hh_Tot_Nu_ur_3,HH_IN_PE_1_fa_hh_Tot_Nu_ur_4,HH_IN_PE_1_fa_hh_Tot_Nu_ur_5,HH_IN_PE_1_fa_hh_Tot_N_ur_6ov,HH_IN_PE_1_fa_hh_Tot_Tot,HHD_IN_PE_Mu_fa_hhd_Nu_ur_1,HHD_IN_PE_Mu_fa_hhd_Nu_ur_2,HHD_IN_PE_Mu_fa_hhd_Nu_ur_3,HHD_IN_PE_Mu_fa_hhd_Nu_ur_4,HHD_IN_PE_Mu_fa_hhd_Nu_ur_5,HHD_IN_PE_Mu_fa_hhd_N_ur_6ov,HHD_IN_PE_Mu_fa_hhd_Tot,HHD_IN_PE_TotFa_hhd_Nu_ur_1,HHD_IN_PE_TotFa_hhd_Nu_ur_2,HHD_IN_PE_TotFa_hhd_Nu_ur_3,HHD_IN_PE_TotFa_hhd_Nu_ur_4,HHD_IN_PE_TotFa_hhd_Nu_ur_5,HHD_IN_PE_TotFa_hhd_N_ur_6ov,HHD_IN_PE_TotFa_hhd_Tot,HHD_IN_PE_Lo_per_hhd_Nu_ur_1,HHD_IN_PE_Lo_per_hhd_Nu_ur_2,HHD_IN_PE_Lo_per_hhd_Nu_ur_3,HHD_IN_PE_Lo_per_hhd_Nu_ur_4,HHD_IN_PE_Lo_per_hhd_Nu_ur_5,HHD_IN_PE_Lo_per_hhd_N_ur_6ov,HHD_IN_PE_Lo_per_hhd_Tot,HHD_IN_PE_Gr_hh_Nu_ur_1,HHD_IN_PE_Gr_hh_Nu_ur_2,HHD_IN_PE_Gr_hh_Nu_ur_3,HHD_IN_PE_Gr_hh_Nu_ur_4,HHD_IN_PE_Gr_hh_Nu_ur_5,HHD_IN_PE_Gr_hh_N_ur_6ov,HHD_IN_PE_Gr_hh_Tot,HHD_IN_PE_Tot_Nu_ur_1,HHD_IN_PE_Tot_Nu_ur_2,HHD_IN_PE_Tot_Nu_ur_3,HHD_IN_PE_Tot_Nu_ur_4,HHD_IN_PE_Tot_Nu_ur_5,HHD_IN_PE_Tot_Nu_ur_6_more,HHD_IN_PE_Tot_Tot,OT_HH_1_f_hh_C_f_no_c_Nu_ur_1,OT_HH_1_f_hh_C_f_no_c_Nu_ur_2,OT_HH_1_f_hh_C_f_no_c_Nu_ur_3,OT_HH_1_f_hh_C_f_no_c_Nu_ur_4,OT_HH_1_f_hh_C_f_no_c_Nu_ur_5,OT_HH_1_f_hh_C_f_n_c_N_ur_6ov,OT_HH_1_f_hh_C_f_no_c_Tot,OT_HH_1_f_hh_C_f_ch_Nu_ur_1,OT_HH_1_f_hh_C_f_ch_Nu_ur_2,OT_HH_1_f_hh_C_f_ch_Nu_ur_3,OT_HH_1_f_hh_C_f_ch_Nu_ur_4,OT_HH_1_f_hh_C_f_ch_Nu_ur_5,OT_HH_1_f_hh_C_f_ch_N_ur_6ov,OT_HH_1_f_hh_C_f_with_ch_Tot,OT_HH_1_f_hh_1_pa_f_Nu_ur_1,OT_HH_1_f_hh_1_pa_f_Nu_ur_2,OT_HH_1_f_hh_1_pa_f_Nu_ur_3,OT_HH_1_f_hh_1_pa_f_Nu_ur_4,OT_HH_1_f_hh_1_pa_f_Nu_ur_5,OT_HH_1_f_hh_1_pa_f_N_ur_6ov,OT_HH_1_f_hh_1_parent_f_Tot,OT_HH_One_fa_hh_Ot_fa_Nu_ur_1,OT_HH_One_fa_hh_Ot_fa_Nu_ur_2,OT_HH_One_fa_hh_Ot_fa_Nu_ur_3,OT_HH_One_fa_hh_Ot_fa_Nu_ur_4,OT_HH_One_fa_hh_Ot_fa_Nu_ur_5,OT_HH_1_fa_hh_Ot_fa_N_ur_6ov,OT_HH_One_fa_hhd_Other_fa_Tot,OT_HH_One_fa_hhd_Tot_Nu_ur_1,OT_HH_One_fa_hhd_Tot_Nu_ur_2,OT_HH_One_fa_hhd_Tot_Nu_ur_3,OT_HH_One_fa_hhd_Tot_Nu_ur_4,OT_HH_One_fa_hhd_Tot_Nu_ur_5,OT_HH_One_fa_hhd_Tot_N_ur_6ov,OT_HH_One_fa_hhd_Tot_Tot,OT_HH_Multiple_fa_hhd_Nu_ur_1,OT_HH_Multiple_fa_hhd_Nu_ur_2,OT_HH_Multiple_fa_hhd_Nu_ur_3,OT_HH_Multiple_fa_hhd_Nu_ur_4,OT_HH_Multiple_fa_hhd_Nu_ur_5,OT_HH_Multiple_fa_hh_Nu_u_6ov,OT_HH_Multiple_fa_hhd_Tot,OT_HH_TotFa_hhd_Nu_ur_1,OT_HH_TotFa_hhd_Nu_ur_2,OT_HH_TotFa_hhd_Nu_ur_3,OT_HH_TotFa_hhd_Nu_ur_4,OT_HH_TotFa_hhd_Nu_ur_5,OT_HH_TotFa_hhd_Nu_ur_6_more,OT_HH_TotFa_hhd_Tot,OT_HH_Lo_per_hhd_Nu_ur_1,OT_HH_Lo_per_hhd_Nu_ur_2,OT_HH_Lo_per_hhd_Nu_ur_3,OT_HH_Lo_per_hhd_Nu_ur_4,OT_HH_Lo_per_hhd_Nu_ur_5,OT_HH_Lo_per_hh_Nu_ur_6ov,OT_HH_Lo_per_hhd_Tot,OT_HH_Gr_hh_Nu_ur_1,OT_HH_Gr_hh_Nu_ur_2,OT_HH_Gr_hh_Nu_ur_3,OT_HH_Gr_hh_Nu_ur_4,OT_HH_Gr_hh_Nu_ur_5,OT_HH_Gr_hh_Nu_u_6ov,OT_HH_Gr_hh_Tot,OT_HH_Tot_Nu_ur_1,OT_HH_Tot_Nu_ur_2,OT_HH_Tot_Nu_ur_3,OT_HH_Tot_Nu_ur_4,OT_HH_Tot_Nu_ur_5,OT_HH_Tot_Nu_ur_6_more,OT_HH_Tot_Tot
ILOC10100101,..,22,4,0,0,0,29,..,..,14,20,17,13,58,..,16,17,9,3,0,54,..,3,0,0,0,0,3,..,44,35,30,20,16,142,..,..,..,0,0,0,0,..,44,35,30,20,18,142,28,..,..,..,..,..,28,..,4,0,0,0,0,4,28,53,35,30,20,18,177,..,240,3,0,0,0,243,..,..,69,75,38,20,201,..,35,10,3,0,0,44,..,9,0,0,0,0,9,..,280,87,83,38,20,501,..,..,..,0,0,3,8,..,280,87,81,42,20,503,266,..,..,..,..,..,266,..,16,3,0,0,0,17,266,290,86,81,42,20,788
ILOC10100201,..,98,17,4,0,0,117,..,..,84,85,61,48,281,..,65,98,66,37,25,302,..,17,7,0,0,0,18,..,175,208,153,98,73,715,..,..,..,10,6,29,41,..,175,208,164,109,105,756,116,..,..,..,..,..,116,..,28,3,4,0,0,39,116,210,214,161,109,105,910,..,1128,41,3,3,0,1173,..,..,438,458,226,89,1205,..,182,165,67,13,9,433,..,34,10,3,0,0,45,..,1343,653,527,241,94,2862,..,..,..,14,12,16,44,..,1343,653,539,258,108,2907,1077,..,..,..,..,..,1077,..,97,21,0,0,0,119,1077,1439,674,541,262,110,4101
ILOC10100202,..,24,6,0,0,0,31,..,..,8,14,5,3,40,..,19,21,8,4,0,50,..,3,0,0,0,0,3,..,50,39,28,12,10,124,..,..,..,3,0,3,9,..,50,39,30,16,10,136,68,..,..,..,..,..,68,..,9,0,0,0,0,10,68,55,39,30,13,10,211,..,239,13,0,0,0,252,..,..,82,71,31,6,192,..,54,34,11,0,0,98,..,13,3,0,0,0,15,..,307,126,83,31,6,556,..,..,..,4,3,0,14,..,307,126,92,36,6,572,381,..,..,..,..,..,381,..,31,6,4,0,0,34,381,336,131,97,36,6,990
ILOC10100203,..,49,3,0,0,0,55,..,..,38,30,19,13,108,..,40,48,21,10,10,129,..,3,0,0,0,0,3,..,95,99,50,32,20,295,..,..,..,9,3,4,13,..,95,99,58,32,27,308,85,..,..,..,..,..,85,..,9,3,0,0,0,14,85,106,96,58,32,27,408,..,688,22,4,0,0,708,..,..,249,239,129,39,659,..,149,87,23,7,0,266,..,31,4,0,0,0,37,..,870,356,265,141,43,1671,..,..,..,7,6,7,16,..,870,356,269,147,53,1688,942,..,..,..,..,..,942,..,80,23,6,0,0,110,942,950,381,269,147,53,2741
ILOC10100204,..,46,5,0,0,0,48,..,..,28,38,16,12,88,..,9,11,6,7,7,34,..,0,0,0,0,0,0,..,56,38,41,17,18,176,..,..,..,6,6,5,15,..,56,38,43,28,23,188,28,..,..,..,..,..,28,..,12,4,0,0,0,13,28,64,39,49,28,23,233,..,712,30,0,0,0,737,..,..,282,352,176,86,892,..,72,51,20,3,0,151,..,6,0,0,0,0,13,..,794,362,373,176,86,1795,..,..,..,21,6,19,44,..,794,362,392,191,101,1840,351,..,..,..,..,..,351,..,26,0,0,0,0,24,351,822,363,392,191,101,2217
ILOC10100205,..,60,10,3,0,0,67,..,..,50,60,46,28,184,..,41,65,36,23,14,176,..,11,8,0,0,0,16,..,107,129,102,67,39,446,..,..,..,3,10,10,20,..,107,129,103,74,48,468,67,..,..,..,..,..,67,..,19,6,0,0,0,21,67,121,135,103,74,48,556,..,643,15,4,0,0,665,..,..,221,260,108,44,638,..,118,70,33,4,5,226,..,13,3,0,0,0,16,..,772,307,304,113,52,1551,..,..,..,9,10,0,19,..,772,307,308,127,53,1569,615,..,..,..,..,..,615,..,53,14,6,0,0,73,615,833,317,310,127,53,2250
ILOC10100301,..,35,0,0,0,0,39,..,..,12,25,14,9,52,..,19,27,13,3,4,74,..,4,4,0,0,0,9,..,62,39,40,18,14,172,..,..,..,3,5,8,11,..,62,39,44,19,22,190,48,..,..,..,..,..,48,..,10,0,0,0,0,10,48,75,39,44,19,22,241,..,434,12,3,0,0,448,..,..,96,109,70,24,301,..,57,24,16,7,0,103,..,7,0,0,0,0,8,..,504,132,125,83,25,866,..,..,..,0,5,0,4,..,504,132,127,88,25,872,416,..,..,..,..,..,416,..,22,0,0,0,0,18,416,522,132,127,90,25,1308
ILOC10100401,..,61,3,4,0,0,64,..,..,26,36,25,20,106,..,30,37,19,10,10,115,..,7,3,0,0,0,4,..,94,60,55,36,35,289,..,..,..,0,0,3,7,..,94,60,60,39,37,290,50,..,..,..,..,..,50,..,11,0,0,0,0,8,50,105,61,60,39,37,352,..,268,12,0,0,0,275,..,..,74,77,43,19,213,..,64,29,14,0,0,101,..,11,0,0,0,0,11,..,337,113,85,44,19,600,..,..,..,4,4,3,8,..,337,113,90,50,22,609,353,..,..,..,..,..,353,..,14,0,0,0,0,16,353,360,111,90,50,22,981
ILOC10100402,..,23,0,0,0,0,23,..,..,16,5,9,7,37,..,3,7,0,3,0,10,..,0,0,0,0,0,0,..,25,19,5,8,8,73,..,..,..,0,0,0,0,..,25,19,5,8,11,73,10,..,..,..,..,..,10,..,0,0,0,0,0,4,10,26,19,5,8,11,82,..,225,6,0,0,0,229,..,..,71,73,61,15,218,..,21,8,5,0,0,38,..,4,0,0,0,0,4,..,244,81,74,61,15,486,..,..,..,0,0,3,6,..,244,81,79,58,22,487,121,..,..,..,..,..,121,..,5,0,0,0,0,5,121,254,85,79,58,22,614
ILOC10100403,..,21,0,0,0,0,21,..,..,0,12,3,5,21,..,3,3,4,4,3,22,..,5,0,0,0,0,5,..,25,10,15,8,8,67,..,..,..,0,0,0,0,..,25,10,15,8,8,67,25,..,..,..,..,..,25,..,0,0,0,0,0,0,25,30,10,15,8,8,89,..,63,0,0,0,0,64,..,..,10,4,3,0,19,..,8,9,0,3,0,20,..,3,0,0,0,0,3,..,75,20,7,7,4,107,..,..,..,0,0,0,0,..,75,20,10,7,4,108,115,..,..,..,..,..,115,..,9,0,0,0,0,9,115,80,20,10,7,4,232
ILOC10100501,..,61,6,0,0,0,73,..,..,35,51,30,27,146,..,36,40,21,9,8,121,..,3,0,0,0,0,6,..,103,80,78,42,39,342,..,..,..,3,0,3,9,..,103,80,80,45,46,357,65,..,..,..,..,..,65,..,6,0,0,3,0,8,65,117,80,80,48,46,427,..,841,25,0,0,0,875,..,..,264,288,172,71,789,..,187,115,51,12,8,384,..,20,3,0,0,0,23,..,1048,409,340,180,77,2063,..,..,..,3,9,12,27,..,1048,409,348,193,90,2088,1083,..,..,..,..,..,1083,..,45,9,5,0,0,60,1083,1098,421,352,193,90,3235
ILOC10100502,..,25,0,0,0,0,23,..,..,7,3,10,8,30,..,10,3,3,5,0,18,..,0,0,0,0,0,0,..,31,18,12,10,8,74,..,..,..,0,3,0,3,..,31,18,12,15,8,75,21,..,..,..,..,..,21,..,0,0,0,0,0,6,21,36,17,12,15,8,96,..,364,5,0,0,0,368,..,..,120,138,92,42,386,..,35,19,6,3,3,62,..,12,0,0,0,0,11,..,414,148,139,90,47,835,..,..,..,4,0,9,15,..,414,148,149,90,54,851,256,..,..,..,..,..,256,..,19,0,0,0,0,19,256,434,148,149,90,54,1122
ILOC10100503,..,3,0,0,0,0,3,..,..,10,4,3,9,18,..,23,10,3,4,0,36,..,5,0,0,0,0,5,..,31,16,5,5,9,69,..,..,..,0,0,0,5,..,31,16,5,11,7,66,19,..,..,..,..,..,19,..,4,0,0,0,0,6,19,37,19,5,11,7,96,..,60,0,0,0,0,55,..,..,15,15,3,0,31,..,11,3,0,0,0,20,..,4,0,0,0,0,4,..,77,24,11,3,0,113,..,..,..,0,0,0,0,..,77,24,11,3,0,113,99,..,..,..,..,..,99,..,3,0,0,0,0,5,99,81,23,11,3,0,214
