ILOC_CODE_2016,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_149_Hhd_with_Indig_psns,HI1_149_Other_households,HI1_149_Tot_hhlds,HI150_299_Hhd_with_Indig_psns,HI150_299_Other_households,HI150_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_499_Hhd_with_Indig_psns,HI400_499_Other_households,HI400_499_Tot_hhlds,HI500_649_Hhd_with_Indig_psns,HI500_649_Other_households,HI500_649_Tot_hhlds,HI650_799_Hhd_with_Indig_psns,HI650_799_Other_households,HI650_799_Tot_hhlds,HI800_999_Hh_with_Indig_psn,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC10100101,3,6,11,0,3,3,4,23,23,4,31,37,17,80,99,13,19,35,15,60,74,15,62,76,16,51,62,7,43,52,13,84,97,15,80,92,9,35,42,8,86,93,17,81,103,3,37,45,177,788,968
ILOC10100201,8,31,39,3,13,18,27,60,83,35,103,137,41,266,312,50,154,205,67,329,402,67,283,352,91,351,441,76,334,406,121,542,664,100,478,577,63,271,336,56,453,511,77,333,415,22,94,121,910,4101,5009
ILOC10100202,0,18,21,4,3,6,8,17,27,11,39,48,23,100,124,15,61,76,15,78,96,23,77,98,22,87,111,12,89,105,20,119,142,15,86,99,15,38,52,10,56,62,14,75,94,5,36,43,211,990,1202
ILOC10100203,4,26,30,7,17,29,26,61,85,18,114,132,22,213,233,38,135,169,30,225,260,29,209,244,31,230,265,43,203,243,44,360,400,41,251,296,21,151,168,13,264,274,28,189,212,18,99,113,408,2741,3146
ILOC10100204,3,27,35,0,13,13,3,32,34,4,40,48,7,106,118,4,72,79,12,129,145,14,131,140,20,177,202,17,155,176,29,265,293,26,263,290,19,200,216,26,304,334,29,260,287,4,47,54,233,2217,2453
ILOC10100205,8,21,34,4,12,14,19,34,52,23,57,82,29,175,205,27,105,129,36,186,226,51,162,215,55,213,266,38,159,200,66,244,310,51,221,270,21,131,156,40,278,311,59,160,220,26,90,119,556,2250,2812
ILOC10100301,6,17,19,0,16,14,8,24,38,11,57,74,20,134,157,16,68,82,24,153,179,28,106,127,23,137,162,10,96,101,21,119,145,18,94,108,8,53,62,6,91,99,27,98,122,19,46,64,241,1308,1555
ILOC10100401,4,12,16,4,16,17,16,28,43,12,34,50,27,109,129,29,61,92,34,108,146,30,70,94,32,75,106,30,74,104,37,102,138,29,67,102,13,37,47,13,58,74,33,81,112,12,44,64,352,981,1329
ILOC10100402,0,10,10,3,11,11,3,11,14,0,10,11,0,29,32,3,26,30,3,33,38,3,41,45,4,51,61,8,46,50,13,71,88,9,66,70,6,46,52,7,68,82,4,71,82,4,25,26,82,614,697
ILOC10100403,0,3,3,0,4,3,3,6,11,9,18,24,9,31,37,6,17,18,5,29,40,12,15,24,10,13,24,7,12,22,6,15,24,8,14,27,0,9,11,0,12,12,3,10,12,4,14,21,89,232,322
ILOC10100501,4,40,51,4,26,30,20,85,98,15,166,187,31,336,369,32,159,194,39,275,310,42,235,270,31,261,290,38,228,271,54,354,406,28,272,296,14,167,178,15,258,277,31,245,278,17,130,147,427,3235,3666
ILOC10100502,4,17,17,0,10,6,3,22,24,3,34,35,8,78,89,3,56,58,9,98,107,13,80,93,8,77,86,6,87,98,15,116,130,9,138,144,0,66,68,5,106,114,11,106,115,4,30,38,96,1122,1225
ILOC10100503,4,6,5,3,8,10,3,6,7,8,12,16,19,42,62,9,18,29,6,24,28,7,12,19,5,25,26,4,4,5,4,10,16,9,9,19,5,6,9,0,4,11,12,10,26,4,12,15,96,214,310
ILOC10100601,0,13,15,3,4,4,11,28,42,7,35,42,18,69,86,12,24,39,16,72,90,7,67,81,13,72,89,7,62,74,10,96,105,8,81,95,8,36,51,3,60,60,20,76,94,16,32,47,166,848,1013
ILOC10100701,0,15,15,3,7,8,6,24,32,13,44,56,14,114,130,16,52,68,23,75,101,19,75,95,13,84,91,12,46,56,11,73,86,10,53,65,8,19,25,0,24,24,13,63,82,7,47,51,167,816,981
ILOC10100702,5,27,30,0,31,31,3,45,45,8,88,97,25,215,241,11,100,116,21,216,237,12,162,176,13,165,172,21,130,154,11,136,152,15,133,150,0,60,60,10,105,113,11,152,163,7,93,98,182,1859,2042
ILOC10100801,3,7,18,5,8,12,27,46,75,32,78,111,28,201,231,40,69,111,50,142,191,38,95,135,36,107,146,32,89,123,43,107,148,27,64,85,7,36,50,17,50,65,46,77,131,22,78,104,473,1250,1720
ILOC10100802,4,19,21,0,13,13,4,35,38,3,43,42,6,98,108,7,57,62,18,92,113,11,79,92,19,87,100,10,93,105,15,116,131,7,83,92,5,57,64,11,120,126,25,115,137,7,56,60,154,1163,1316
ILOC10200101,6,100,109,3,56,61,30,214,245,37,261,295,53,634,684,55,448,506,55,683,744,65,610,675,56,690,748,45,614,659,75,961,1036,36,805,841,27,420,449,26,829,854,53,591,642,48,188,231,667,8110,8779
ILOC10200201,0,55,52,3,35,35,11,109,117,21,155,174,25,445,473,19,200,220,32,370,400,34,264,292,17,289,309,13,247,262,19,278,296,7,175,177,8,98,109,5,120,122,18,214,227,13,143,150,240,3188,3427
ILOC10200301,8,30,33,6,7,14,16,64,87,25,113,130,32,261,294,37,135,174,34,232,263,48,172,220,46,187,240,40,170,213,58,279,333,30,256,286,26,134,161,25,285,310,36,145,183,33,98,137,503,2575,3075
ILOC10200302,0,15,20,3,14,14,3,21,25,8,41,47,6,82,95,9,39,47,12,88,101,12,74,88,10,108,121,11,96,106,12,153,164,16,136,156,8,95,100,13,180,190,22,121,145,6,38,47,155,1297,1454
ILOC10200401,5,27,28,0,18,19,0,27,33,3,66,71,5,127,136,5,88,95,14,170,176,5,120,123,11,126,141,11,119,130,14,145,160,8,100,108,0,54,54,0,46,48,9,124,132,10,57,71,119,1410,1530
ILOC10200402,0,0,0,0,0,3,4,9,8,5,9,8,0,12,13,0,6,13,5,19,27,0,15,18,6,7,12,5,11,12,5,8,11,0,3,3,0,0,3,0,3,0,7,3,10,3,3,3,58,98,151
ILOC10200501,3,41,48,3,24,28,8,57,66,3,84,90,11,213,225,10,91,95,12,212,225,11,147,161,13,175,189,10,137,148,13,149,166,19,130,146,4,46,45,0,79,86,11,133,146,5,84,94,147,1802,1951
ILOC10200502,8,82,92,6,48,53,36,147,186,24,245,264,55,609,662,42,318,358,71,622,692,63,497,563,52,490,542,46,444,493,60,540,603,24,398,419,9,208,221,23,283,306,38,388,426,30,222,251,575,5549,6124
ILOC10200601,0,21,27,0,15,15,0,28,28,0,41,45,5,76,80,7,41,46,9,98,105,8,73,85,13,131,146,3,92,96,4,128,131,6,102,108,6,69,71,4,108,111,7,103,106,0,33,31,77,1166,1241
ILOC10200602,0,12,12,0,3,4,5,20,32,16,47,60,11,94,96,17,65,77,12,95,113,27,77,99,20,71,91,12,61,75,18,92,116,17,72,88,8,28,32,3,41,48,16,56,71,11,46,61,190,880,1068
ILOC10200603,0,0,0,0,0,0,3,0,3,4,0,4,3,0,3,3,0,3,7,0,7,3,0,3,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
ILOC10200604,0,3,3,4,0,5,3,17,20,5,38,47,12,70,85,11,31,45,17,68,77,12,28,36,10,34,46,11,26,45,13,34,50,12,23,34,0,14,9,3,13,22,6,24,34,3,29,31,127,456,578
ILOC10200701,3,9,14,0,4,4,11,20,33,12,31,44,9,74,85,11,37,49,17,67,81,14,44,56,10,73,80,12,76,88,15,119,137,10,124,133,3,46,48,9,66,74,19,60,82,13,47,58,165,900,1061
ILOC10200702,11,12,22,10,3,13,31,18,51,29,23,51,29,70,99,28,35,66,38,61,104,35,63,99,24,79,108,28,55,84,32,76,111,20,56,74,8,35,41,13,29,42,37,53,93,51,42,87,422,716,1137
ILOC10200703,0,3,3,0,0,3,3,4,10,0,3,7,4,19,22,5,12,14,5,28,35,0,17,21,10,26,30,3,36,37,3,58,63,3,62,67,3,38,38,5,88,94,5,35,39,3,11,15,59,429,490
ILOC10200704,0,0,0,0,0,0,3,0,5,6,5,7,11,0,12,3,0,4,6,3,12,3,3,7,12,0,12,6,3,8,5,0,5,0,6,3,3,0,3,0,0,0,9,3,11,3,9,11,76,26,107
ILOC10200801,0,0,0,0,0,0,13,6,18,3,3,9,9,10,23,6,4,12,11,13,20,5,11,13,5,4,12,5,11,16,12,6,17,0,4,6,0,3,3,0,0,0,7,6,12,6,4,9,88,79,164
ILOC10200802,3,26,30,0,19,19,0,17,16,3,19,26,4,52,55,9,37,44,5,82,90,10,83,90,16,101,115,13,104,120,16,151,168,13,130,143,8,61,72,8,175,182,12,122,130,0,42,50,128,1230,1350
ILOC10200803,0,0,0,0,0,0,5,3,7,3,8,13,3,17,19,0,8,6,3,14,15,0,10,17,3,12,14,3,13,18,3,17,20,3,11,13,0,8,7,0,3,3,8,9,12,0,8,11,37,134,166
ILOC10200804,0,0,0,0,0,0,4,0,4,3,4,3,11,0,11,3,0,5,0,4,3,9,3,12,4,10,9,3,4,9,5,4,9,0,0,3,0,3,3,0,4,3,7,3,13,0,3,5,51,42,89
ILOC10200901,5,48,51,9,35,48,25,95,120,23,125,147,27,283,302,31,165,199,31,250,282,40,243,278,37,253,288,24,229,254,36,368,407,46,386,431,26,215,241,37,423,457,30,224,261,17,120,135,445,3472,3920
ILOC10200902,5,20,20,3,14,14,3,24,21,3,46,49,4,93,103,10,72,77,16,131,146,11,107,120,17,134,148,3,123,121,16,203,223,20,188,208,10,117,120,10,226,237,15,149,162,0,54,58,149,1697,1848
ILOC10201001,9,20,29,0,12,12,13,37,54,25,70,90,21,149,175,18,67,85,27,113,147,22,126,144,20,133,153,17,119,137,26,185,215,23,172,193,12,88,93,20,165,187,21,118,137,15,81,96,296,1647,1940
ILOC10201002,0,34,30,0,11,11,6,44,55,9,51,59,16,129,144,5,77,85,13,135,151,14,111,128,29,148,185,19,144,160,32,236,269,22,186,204,12,115,128,9,209,220,20,165,192,11,58,72,230,1867,2095
ILOC10201003,0,9,9,4,4,11,8,11,20,9,12,22,17,48,64,10,36,45,7,38,50,17,32,50,15,35,52,8,26,33,17,56,73,7,35,41,5,22,27,3,29,36,11,20,35,6,17,26,139,447,589
ILOC10201101,18,123,144,17,67,83,66,269,334,75,411,491,129,1101,1234,135,722,859,170,1155,1324,179,1059,1236,168,1238,1407,153,1021,1174,210,1546,1758,150,1322,1474,74,695,773,95,1102,1201,163,908,1072,81,391,474,1896,13131,15027
ILOC10201102,8,73,82,3,44,46,14,126,139,22,211,236,31,542,569,33,317,347,45,587,626,37,437,479,61,510,570,73,433,507,79,628,707,50,536,587,24,332,355,39,553,595,57,522,576,20,219,238,604,6055,6656
ILOC10201201,0,0,0,0,0,0,5,0,5,3,0,3,5,0,5,0,0,0,0,0,0,4,0,4,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,29,0,29
ILOC10201202,3,51,51,6,43,46,4,100,108,14,132,144,14,374,387,9,162,174,18,322,337,12,199,217,12,216,232,6,180,184,11,200,207,5,128,136,3,49,51,3,77,84,8,185,193,3,90,95,150,2507,2656
ILOC10201301,3,63,66,3,43,49,11,105,113,8,161,169,21,414,436,19,210,234,35,424,460,29,338,364,25,389,415,35,347,380,34,517,555,27,491,517,18,279,297,35,510,548,39,332,373,6,182,186,349,4820,5161
ILOC10201401,5,17,20,0,15,12,9,55,56,4,69,73,20,191,205,13,101,113,22,185,206,22,156,181,12,170,174,15,155,166,20,225,249,4,181,182,9,89,93,7,130,133,13,143,156,3,51,56,174,1924,2095
ILOC10201402,3,24,23,7,15,20,3,32,37,3,48,50,3,103,101,10,66,74,3,117,114,7,88,99,5,102,107,9,87,99,11,132,140,3,82,84,0,37,38,3,91,92,10,89,95,9,49,57,96,1142,1239
