ILOC_CODE_2016,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC10100101,0,11,17,22,26,22,46,223,83,304,3,0,3,255,105,358,165,197,365,845,803,1645,18,12,34,1036,1009,2042,24,30,55,98,116,218,0,3,3,127,151,272,116,123,233,643,594,1238,15,11,22,772,721,1493,54,67,118,274,281,553,3,5,12,324,359,687
ILOC10100201,6,45,134,182,151,136,280,1356,746,2101,6,10,13,1511,890,2399,843,900,1742,4198,4673,8868,35,65,101,5075,5639,10717,250,300,552,897,951,1842,4,7,14,1151,1263,2408,456,510,963,2632,2976,5603,27,44,71,3109,3527,6641,492,574,1065,2225,2436,4659,11,21,38,2735,3030,5763
ILOC10100202,0,11,23,33,32,28,54,307,153,462,4,0,8,342,182,524,159,175,332,916,980,1898,6,13,19,1080,1167,2248,50,45,95,243,255,501,4,3,3,295,306,594,99,113,209,587,616,1201,0,6,8,687,733,1413,94,98,188,534,582,1119,4,6,11,626,683,1316
ILOC10100203,0,18,62,85,65,63,127,726,374,1105,11,4,12,797,445,1243,308,324,633,2372,2691,5061,28,29,52,2701,3039,5742,112,123,237,546,607,1148,3,5,9,660,731,1389,151,181,333,1590,1852,3435,18,14,33,1761,2045,3805,210,234,445,1211,1320,2530,4,10,15,1425,1557,2986
ILOC10100204,0,16,69,90,54,32,83,907,353,1259,13,6,19,968,390,1363,219,192,410,2943,2753,5695,50,34,88,3208,2986,6195,54,52,104,277,303,580,3,6,9,334,360,695,126,112,238,2186,1978,4162,36,28,68,2350,2119,4471,126,108,233,904,945,1845,15,6,19,1047,1057,2102
ILOC10100205,0,28,68,94,82,63,146,625,380,1005,11,4,19,722,456,1172,524,545,1072,2230,2376,4601,35,36,63,2790,2955,5744,147,147,297,489,556,1044,9,4,12,642,706,1349,307,335,638,1401,1406,2804,28,22,50,1729,1767,3491,274,286,564,1215,1397,2612,15,9,26,1510,1694,3196
ILOC10100301,0,20,27,48,30,31,59,354,196,548,0,0,0,384,227,613,225,234,460,1362,1439,2799,21,23,47,1611,1692,3304,31,36,68,180,177,350,3,4,12,216,212,430,130,125,254,1020,1063,2086,15,15,32,1171,1198,2367,91,129,218,457,482,941,7,12,17,560,614,1174
ILOC10100401,0,15,21,38,46,40,87,301,144,442,0,0,0,343,185,533,303,360,668,1025,1035,2057,14,21,38,1348,1414,2764,72,92,168,120,171,288,0,5,4,200,267,465,172,198,369,746,780,1528,12,15,25,931,988,1922,155,201,356,344,370,714,8,3,10,506,578,1082
ILOC10100402,0,12,17,25,14,11,21,187,87,277,0,0,0,199,99,295,88,70,161,800,695,1495,15,10,20,903,773,1675,12,13,24,68,71,134,0,0,0,75,88,164,46,48,94,650,538,1189,7,7,20,708,596,1302,39,30,69,172,180,357,3,0,3,212,212,426
ILOC10100403,0,0,8,8,13,8,23,57,25,78,0,0,0,69,33,99,81,83,162,220,215,434,3,0,3,306,293,604,18,12,32,25,26,46,0,0,0,36,40,78,61,62,122,180,163,335,0,0,8,239,222,464,32,24,56,59,79,142,0,0,0,92,103,195
