ILOC_CODE_2016,M_Ind_15_19_PD_GD_GCL,M_Ind_15_19_BDL,M_Ind_15_19_ADip_DipL,M_Ind_15_19_Ct_III_IV,M_Ind_15_19_Ct_I_II,M_Ind_15_19_CL_nfd,M_Ind_15_19_LoE_NS,M_Ind_15_19_Tot,M_Ind_20_24_PD_GD_GCL,M_Ind_20_24_BDL,M_Ind_20_24_ADip_DipL,M_Ind_20_24_Ct_III_IV,M_Ind_20_24_Ct_I_II,M_Ind_20_24_CL_nfd,M_Ind_20_24_LoE_NS,M_Ind_20_24_Tot,M_Ind_25_34_PD_GD_GCL,M_Ind_25_34_BDL,M_Ind_25_34_ADip_DipL,M_Ind_25_34_Ct_III_IV,M_Ind_25_34_Ct_I_II,M_Ind_25_34_CL_nfd,M_Ind_25_34_LoE_NS,M_Ind_25_34_Tot,M_Ind_35_44_PD_GD_GCL,M_Ind_35_44_BDL,M_Ind_35_44_ADip_DipL,M_Ind_35_44_Ct_III_IV,M_Ind_35_44_Ct_I_II,M_Ind_35_44_CL_nfd,M_Ind_35_44_LoE_NS,M_Ind_35_44_Tot,M_Ind_45_54_PD_GD_GCL,M_Ind_45_54_BDL,M_Ind_45_54_ADip_DipL,M_Ind_45_54_Ct_III_IV,M_Ind_45_54_Ct_I_II,M_Ind_45_54_CL_nfd,M_Ind_45_54_LoE_NS,M_Ind_45_54_Tot,M_Ind_55_64_PD_GD_GCL,M_Ind_55_64_BDL,M_Ind_55_64_ADip_DipL,M_Ind_55_64_Ct_III_IV,M_Ind_55_64_Ct_I_II,M_Ind_55_64_CL_nfd,M_Ind_55_64_LoE_NS,M_Ind_55_64_Tot,M_Ind_65ov_PtgdDe_GdDp_GdCt,M_Ind_65ov_BDL,M_Ind_65ov_ADip_DipL,M_Ind_65ov_Ct_III_IV,M_Ind_65ov_Ct_I_II,M_Ind_65ov_CL_nfd,M_Ind_65ov_LoE_NS,M_Ind_65ov_Tot,M_Ind_Tot_PD_GD_GCL,M_Ind_Tot_BDL,M_Ind_Tot_ADip_DipL,M_Ind_Tot_Ct_III_IV,M_Ind_Tot_Ct_I_II,M_Ind_tot_CL_nfd,M_Ind_Tot_LoE_NS,M_Ind_Tot_Tot,M_NonI_15_19_PD_GD_GCL,M_NonI_15_19_BDL,M_NonI_15_19_ADip_DipL,M_NonI_15_19_Ct_III_IV,M_NonI_15_19_Ct_I_II,M_NonI_15_19_CL_nfd,M_NonI_15_19_LoE_NS,M_NonI_15_19_Tot,M_NonI_20_24_PD_GD_GCL,M_NonI_20_24_BDL,M_NonI_20_24_ADip_DipL,M_NonI_20_24_Ct_III_IV,M_NonI_20_24_Ct_I_II,M_NonI_20_24_CL_nfd,M_NonI_20_24_LoE_NS,M_NonI_20_24_Tot,M_NonI_25_34_PD_GD_GCL,M_NonI_25_34_BDL,M_NonI_25_34_ADip_DipL,M_NonI_25_34_Ct_III_IV,M_NonI_25_34_Ct_I_II,M_NonI_25_34_CL_nfd,M_NonI_25_34_LoE_NS,M_NonI_25_34_Tot,M_NonI_35_44_PD_GD_GCL,M_NonI_35_44_BDL,M_NonI_35_44_ADip_DipL,M_NonI_35_44_Ct_III_IV,M_NonI_35_44_Ct_I_II,M_NonI_35_44_CL_nfd,M_NonI_35_44_LoE_NS,M_NonI_35_44_Tot,M_NonI_45_54_PD_GD_GCL,M_NonI_45_54_BDL,M_NonI_45_54_ADip_DipL,M_NonI_45_54_Ct_III_IV,M_NonI_45_54_Ct_I_II,M_NonI_45_54_CL_nfd,M_NonI_45_54_LoE_NS,M_NonI_45_54_Tot,M_NonI_55_64_PD_GD_GCL,M_NonI_55_64_BDL,M_NonI_55_64_ADip_DipL,M_NonI_55_64_Ct_III_IV,M_NonI_55_64_Ct_I_II,M_NonI_55_64_CL_nfd,M_NonI_55_64_LoE_NS,M_NonI_55_64_Tot,M_NonI_65ov_PtgdDe_GdDp_GdCt,M_NonI_65ov_BDL,M_NonI_65ov_ADip_DipL,M_NonI_65ov_Ct_III_IV,M_NonI_65ov_Ct_I_II,M_NonI_65ov_CL_nfd,M_NonI_65ov_LoE_NS,M_NonI_65ov_Tot,M_NonI_TotPdDe_GdDp_GdCt,M_NonI_Tot_BDL,M_NonI_Tot_ADip_DipL,M_NonI_Tot_Ct_III_IV,M_NonI_Tot_Ct_I_II,M_NonI_Tot_CL_nfd,M_NonI_Tot_LoE_NS,M_NonI_Tot_Tot,M_IS_NS_15_19_PD_GD_GCLL,M_IS_NS_15_19_BDL,M_IS_NS_15_19_ADip_DipL,M_IS_NS_15_19_Ct_III_IV_L,M_IS_NS_15_19_Ct_I_II,M_IS_NS_15_19_CL_nfd,M_IS_NS_15_19_LoE_NS,M_IS_NS_15_19_Tot,M_IS_NS_20_24_PD_GD_GCLL,M_IS_NS_20_24_BDL,M_IS_NS_20_24_AdDip_and_DipL,M_IS_NS_20_24_Ct_III_IV_L,M_IS_NS_20_24_Ct_I_II,M_IS_NS_20_24_CL_nfd,M_IS_NS_20_24_LoE_NS,M_IS_NS_20_24_Tot,M_IS_NS_25_34_PD_GD_GCLL,M_IS_NS_25_34_BDL,M_IS_NS_25_34_AdDip_and_DipL,M_IS_NS_25_34_Ct_III_IV_L,M_IS_NS_25_34_Ct_I_II_L,M_IS_NS_25_34_CL_nfd,M_IS_NS_25_34_LoE_NS,M_IS_NS_25_34_Tot,M_IS_NS_35_44_PD_GD_GCLL,M_IS_NS_35_44_BDL,M_IS_NS_35_44_ADip_DipL,M_IS_NS_35_44_Ct_III_IV_L,M_IS_NS_35_44_Ct_I_II_L,M_IS_NS_35_44_CL_nfd,M_IS_NS_35_44_LoE_NS,M_IS_NS_35_44_Tot,M_IS_NS_45_54_PdDe_GdDp_GdC,M_IS_NS_45_54_BDL,M_IS_NS_45_54_ADip_DipL,M_IS_NS_45_54_Ct_III_IV_L,M_IS_NS_45_54_Ct_I_II_L,M_IS_NS_45_54_CL_nfd,M_IS_NS_45_54_LoE_NS,M_IS_NS_45_54_Tot,M_IS_NS_55_64_PD_GD_GCL,M_IS_NS_55_64_BDL,M_IS_NS_55_64_ADip_DipL,M_IS_NS_55_64_Ct_III_IV_L,M_IS_NS_55_64_Ct_I_II_L,M_IS_NS_55_64_CL_nfd,M_IS_NS_55_64_LoE_NS,M_IS_NS_55_64_Tot,M_IS_NS_65ov_PD_GD_GCL,M_IS_NS_65ov_BDL,M_IS_NS_65ov_ADip_DipL,M_IS_NS_65ov_Ct_III_IV_L,M_IS_NS_65ov_Ct_I_II,M_IS_NS_65ov_CL_nfd,M_IS_NS_65ov_LoE_NS,M_IS_NS_65ov_Tot,M_IS_NS_TotPdDe_GdDp_GdCt,M_IS_NS_Tot_BDL,M_IS_NS_Tot_ADip_DipL,M_IS_NS_Tot_Ct_III_IV_L,M_IS_NS_Tot_Ct_I_II,M_IS_NS_Tot_CL_nfd,M_IS_NS_Tot_LoE_NS,M_IS_NS_Tot_Tot,M_T_15_19_PD_GD_GCL,M_T_15_19_BDL,M_T_15_19_ADip_DipL,M_T_15_19_Ct_III_IV,M_T_15_19_Ct_I_II,M_T_15_19_CL_nfd,M_T_15_19_LoE_NS,M_T_15_19_Tot
ILOC10100101,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,12,0,0,0,7,0,0,4,15,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,3,0,0,3,26,0,0,14,50,0,0,0,8,0,0,3,5,0,0,0,18,0,0,0,27,4,14,5,34,0,4,3,73,0,17,3,28,0,0,6,63,4,7,20,57,4,0,8,99,3,7,3,38,4,3,5,59,0,3,0,40,0,0,19,72,16,53,36,223,7,15,51,400,0,0,0,0,0,0,7,7,0,0,0,0,0,0,9,9,0,0,0,0,0,0,22,22,0,0,0,0,0,0,15,15,0,0,0,0,0,0,27,24,0,0,0,3,0,0,12,16,0,0,0,0,0,0,21,21,0,0,0,3,0,0,112,110,0,0,0,7,0,0,17,24
ILOC10100201,0,0,0,3,0,0,4,11,0,0,0,23,3,0,3,33,0,4,8,49,3,4,11,73,0,3,7,34,3,4,4,48,0,0,12,22,0,0,3,45,0,0,3,14,0,3,4,24,0,0,0,4,0,0,6,17,5,10,28,151,10,10,45,255,0,0,0,19,3,0,8,35,3,12,7,116,15,6,6,157,36,105,39,332,13,0,18,546,48,79,62,258,3,4,13,471,41,76,60,241,0,7,18,451,41,61,57,199,3,7,21,384,21,41,36,183,0,17,95,394,196,366,256,1356,37,50,176,2441,0,0,0,0,0,0,23,27,0,0,0,0,0,0,31,31,0,0,0,0,0,0,76,78,0,0,0,0,0,0,43,49,0,0,0,0,0,0,50,54,0,0,0,3,0,0,47,54,0,0,0,0,0,0,66,69,0,3,0,6,4,0,351,365,0,0,0,19,3,0,41,73
ILOC10100202,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,8,0,0,3,8,0,0,4,13,0,0,0,5,0,0,0,11,0,0,0,4,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,7,0,0,7,32,3,3,10,57,0,0,0,0,0,0,3,10,0,14,3,31,0,0,3,50,16,49,15,59,0,0,13,150,15,20,9,42,0,5,7,94,4,8,7,55,3,3,11,92,9,17,5,47,0,3,13,90,0,5,5,64,0,3,10,94,43,111,46,307,6,15,51,586,0,0,0,0,0,0,6,6,0,0,0,0,0,0,12,12,0,0,0,0,0,0,20,20,0,0,0,0,0,0,23,23,0,0,0,0,0,0,13,10,0,0,0,0,0,0,10,14,0,0,0,3,0,0,22,30,0,0,0,4,0,0,115,120,0,0,0,6,0,0,9,20
ILOC10100203,0,0,0,0,0,0,3,5,0,0,3,9,0,0,3,23,0,0,3,17,0,0,6,29,0,0,0,16,0,0,5,22,0,0,0,8,0,0,5,16,3,0,3,4,0,0,3,10,0,3,0,4,0,0,5,13,0,8,7,65,3,0,33,117,0,0,0,5,0,3,4,17,0,23,4,58,5,0,3,92,39,127,27,169,5,8,10,387,40,70,43,113,0,7,10,288,14,47,27,134,0,7,14,249,12,42,32,115,4,7,15,227,12,25,21,128,0,8,53,254,118,332,161,726,12,48,105,1506,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,11,0,0,0,5,0,0,31,35,0,0,0,3,0,0,26,30,0,0,0,0,0,0,23,19,0,0,0,0,0,0,23,21,0,0,0,0,0,0,29,33,0,0,0,11,0,0,150,161,0,0,0,10,0,3,13,24
ILOC10100204,0,0,0,0,0,0,3,4,0,0,0,8,3,0,0,10,0,0,0,11,0,0,3,13,0,3,3,11,0,0,0,16,0,0,0,10,0,0,3,16,0,0,3,5,0,0,0,15,0,0,0,5,0,0,3,6,0,3,7,54,3,0,19,84,0,0,0,13,0,0,11,21,0,3,0,60,0,0,0,68,13,29,14,137,0,3,3,207,14,56,32,178,3,8,9,302,14,64,45,195,4,13,20,352,13,52,48,185,6,14,25,337,18,28,25,142,0,5,46,259,71,225,164,907,15,45,120,1555,0,0,0,0,0,0,16,16,0,0,0,0,0,0,16,16,0,0,0,0,0,0,18,23,0,0,0,3,0,0,34,39,0,0,0,3,0,0,49,48,0,0,0,3,0,0,48,55,0,0,0,3,0,0,48,52,0,7,3,13,0,0,228,246,0,0,0,11,0,0,30,43
ILOC10100205,0,0,0,3,0,3,4,14,0,0,0,14,0,0,3,16,0,4,9,27,0,0,6,37,3,0,3,13,0,0,8,34,0,3,0,20,0,3,5,27,0,0,0,9,0,0,5,15,0,0,0,4,0,0,4,6,3,5,10,82,0,7,33,154,0,0,0,6,0,0,8,23,0,3,0,65,8,8,7,87,11,59,35,139,4,9,15,277,32,54,38,109,7,3,7,249,14,26,28,103,3,10,15,202,12,20,29,77,3,10,16,165,7,34,28,115,4,15,41,242,78,193,158,625,29,56,115,1248,0,0,0,0,0,0,12,12,0,0,0,0,0,0,15,20,0,0,0,5,0,0,40,43,0,0,0,0,0,0,35,39,0,0,0,0,0,0,39,39,0,0,0,4,0,0,24,30,0,0,0,3,0,0,35,34,0,0,3,11,0,0,204,216,0,0,0,15,0,3,30,51
ILOC10100301,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,10,0,0,0,12,0,0,7,22,0,0,0,9,0,0,0,11,0,4,0,0,0,0,3,5,0,0,0,0,0,0,5,7,0,3,7,30,6,0,22,67,0,0,0,4,3,0,3,11,0,3,0,24,3,0,0,35,3,10,4,56,3,4,3,99,3,8,9,54,3,4,10,91,3,10,14,72,0,4,11,119,6,9,10,55,0,7,16,111,0,3,10,80,3,8,56,159,20,52,45,354,14,29,102,622,0,0,0,0,0,0,7,7,0,0,0,0,0,0,9,9,0,0,0,0,0,0,14,14,0,0,0,0,0,0,14,20,0,0,0,0,0,0,23,23,0,0,0,0,0,0,26,26,0,0,0,0,0,0,34,40,0,0,0,0,0,0,126,133,0,0,0,4,3,0,18,28
ILOC10100401,0,0,0,0,0,0,3,6,0,0,0,7,0,3,0,13,0,0,0,15,0,0,3,21,0,0,3,10,3,0,0,16,0,0,0,4,0,0,3,7,0,0,0,6,0,0,0,8,0,0,3,0,0,0,7,8,0,0,4,46,9,4,18,75,0,0,0,4,0,0,3,6,0,0,0,21,4,0,0,37,0,10,8,52,3,0,0,79,3,8,12,52,0,0,3,76,9,3,7,50,0,0,10,87,3,6,13,52,3,3,10,91,0,11,14,61,3,5,25,115,17,39,55,301,14,13,54,495,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,8,0,0,0,0,0,0,11,11,0,0,0,0,0,0,14,21,0,0,0,0,0,0,16,16,0,0,0,0,0,0,26,30,0,0,0,0,0,0,25,28,0,0,0,0,0,0,107,111,0,0,0,6,0,0,6,11
ILOC10100402,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,3,24,0,0,0,3,0,0,0,3,0,0,3,14,0,0,0,13,0,10,3,29,0,0,3,52,5,16,5,36,0,4,3,70,3,12,14,36,10,6,3,81,0,12,12,30,0,0,3,56,0,6,5,43,0,3,18,75,5,52,42,187,9,17,36,359,0,0,0,0,0,0,7,7,0,0,0,0,0,0,9,9,0,0,0,0,0,0,6,7,0,0,0,0,0,0,15,18,0,0,0,0,0,0,15,15,0,0,0,0,0,0,15,15,0,0,0,0,0,0,22,19,0,3,0,0,0,0,85,90,0,0,0,4,0,0,12,17
ILOC10100403,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,13,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,4,0,0,0,8,0,0,0,10,0,0,0,13,0,0,0,3,0,0,0,15,0,0,0,7,0,0,3,13,0,4,4,21,0,0,4,29,0,5,11,57,0,3,14,90,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,7,0,0,0,0,0,0,12,12,0,0,0,0,0,0,28,28,0,0,0,0,0,0,4,3
