ILOC_CODE_2016,M_T_20_24_PD_GD_GCL,M_T_20_24_BDL,M_T_20_24_ADip_DipL,M_T_20_24_Ct_III_IV,M_T_20_24_Ct_I_II,M_T_20_24_CL_nfd,M_T_20_24_LoE_NS,M_T_20_24_Tot,M_T_25_34_PD_GD_GCL,M_T_25_34_BDL,M_T_25_34_ADip_DipL,M_T_25_34_Ct_III_IV,M_T_25_34_Ct_I_II,M_T_25_34_CL_nfd,M_T_25_34_LoE_NS,M_T_25_34_Tot,M_T_35_44_PD_GD_GCL,M_T_35_44_BDL,M_T_35_44_ADip_DipL,M_T_35_44_Ct_III_IV,M_T_35_44_Ct_I_II,M_T_35_44_CL_nfd,M_T_35_44_LoE_NS,M_T_35_44_Tot,M_T_45_54_PD_GD_GCL,M_T_45_54_BDL,M_T_45_54_ADip_DipL,M_T_45_54_Ct_III_IV,M_T_45_54_Ct_I_II,M_T_45_54_CL_nfd,M_T_45_54_LoE_NS,M_T_45_54_Tot,M_T_55_64_PD_GD_GCL,M_T_55_64_BDL,M_T_55_64_ADip_DipL,M_T_55_64_Ct_III_IV,M_T_55_64_Ct_I_II,M_T_55_64_CL_nfd,M_T_55_64_LoE_NS,M_T_55_64_Tot,M_T_65ov_PtgdDe_GdDp_GdCt,M_T_65ov_BDL,M_T_65ov_ADip_DipL,M_T_65ov_Ct_III_IV,M_T_65ov_Ct_I_II,M_T_65ov_CL_nfd,M_T_65ov_LoE_NS,M_T_65ov_Tot,M_T_Tot_PD_GD_GCL,M_T_Tot_BDL,M_T_Tot_ADip_DipL,M_T_Tot_Ct_III_IV,M_T_Tot_Ct_I_II,M_T_Tot_CL_nfd,M_T_Tot_LoE_NS,M_T_Tot_Tot,F_Ind_15_19_PD_GD_GCL,F_Ind_15_19_BDL,F_Ind_15_19_ADip_DipL,F_Ind_15_19_Ct_III_IV,F_Ind_15_19_Ct_I_II,F_Ind_15_19_CL_nfd,F_Ind_15_19_LoE_NS,F_Ind_15_19_Tot,F_Ind_20_24_PD_GD_GCL,F_Ind_20_24_BDL,F_Ind_20_24_ADip_DipL,F_Ind_20_24_Ct_III_IV,F_Ind_20_24_Ct_I_II,F_Ind_20_24_CL_nfd,F_Ind_20_24_LoE_NS,F_Ind_20_24_Tot,F_Ind_25_34_PD_GD_GCL,F_Ind_25_34_BDL,F_Ind_25_34_ADip_DipL,F_Ind_25_34_Ct_III_IV,F_Ind_25_34_Ct_I_II,F_Ind_25_34_CL_nfd,F_Ind_25_34_LoE_NS,F_Ind_25_34_Tot,F_Ind_35_44_PD_GD_GCL,F_Ind_35_44_BDL,F_Ind_35_44_ADip_DipL,F_Ind_35_44_Ct_III_IV,F_Ind_35_44_Ct_I_II,F_Ind_35_44_CL_nfd,F_Ind_35_44_LoE_NS,F_Ind_35_44_Tot,F_Ind_45_54_PD_GD_GCL,F_Ind_45_54_BDL,F_Ind_45_54_ADip_DipL,F_Ind_45_54_Ct_III_IV,F_Ind_45_54_Ct_I_II,F_Ind_45_54_CL_nfd,F_Ind_45_54_LoE_NS,F_Ind_45_54_Tot,F_Ind_55_64_PD_GD_GCL,F_Ind_55_64_BDL,F_Ind_55_64_ADip_DipL,F_Ind_55_64_Ct_III_IV,F_Ind_55_64_Ct_I_II,F_Ind_55_64_CL_nfd,F_Ind_55_64_LoE_NS,F_Ind_55_64_Tot,F_Ind_65ov_PtgdDe_GdDp_GdCt,F_Ind_65ov_BDL,F_Ind_65ov_ADip_DipL,F_Ind_65ov_Ct_III_IV,F_Ind_65ov_Ct_I_II,F_Ind_65ov_CL_nfd,F_Ind_65ov_LoE_NS,F_Ind_65ov_Tot,F_Ind_TotPdDe_GdDp_GdCt,F_Ind_Tot_BDL,F_Ind_Tot_ADip_DipL,F_Ind_Tot_Ct_III_IV,F_Ind_Tot_Ct_I_II,F_Ind_Tot_CL_nfd,F_Ind_Tot_LoE_NS,F_Ind_Tot_Tot,F_NonI_15_19_PD_GD_GCL,F_NonI_15_19_BDL,F_NonI_15_19_ADip_DipL,F_NonI_15_19_Ct_III_IV,F_NonI_15_19_Ct_I_II,F_NonI_15_19_CL_nfd,F_NonI_15_19_LoE_NS,F_NonI_15_19_Tot,F_NonI_20_24_PD_GD_GCL,F_NonI_20_24_BDL,F_NonI_20_24_ADip_DipL,F_NonI_20_24_Ct_III_IV,F_NonI_20_24_Ct_I_II,F_NonI_20_24_CL_nfd,F_NonI_20_24_LoE_NS,F_NonI_20_24_Tot,F_NonI_25_34_PD_GD_GCL,F_NonI_25_34_BDL,F_NonI_25_34_ADip_DipL,F_NonI_25_34_Ct_III_IV,F_NonI_25_34_Ct_I_II,F_NonI_25_34_CL_nfd,F_NonI_25_34_LoE_NS,F_NonI_25_34_Tot,F_NonI_35_44_PD_GD_GCL,F_NonI_35_44_BDL,F_NonI_35_44_ADip_DipL,F_NonI_35_44_Ct_III_IV,F_NonI_35_44_Ct_I_II,F_NonI_35_44_CL_nfd,F_NonI_35_44_LoE_NS,F_NonI_35_44_Tot,F_NonI_45_54_PD_GD_GCL,F_NonI_45_54_BDL,F_NonI_45_54_ADip_DipL,F_NonI_45_54_Ct_III_IV,F_NonI_45_54_Ct_I_II,F_NonI_45_54_CL_nfd,F_NonI_45_54_LoE_NS,F_NonI_45_54_Tot,F_NonI_55_64_PD_GD_GCL,F_NonI_55_64_BDL,F_NonI_55_64_ADip_DipL,F_NonI_55_64_Ct_III_IV,F_NonI_55_64_Ct_I_II,F_NonI_55_64_CL_nfd,F_NonI_55_64_LoE_NS,F_NonI_55_64_Tot,F_NonI_65ov_PtgdDe_GdDp_GdCt,F_NonI_65ov_BDL,F_NonI_65ov_ADip_DipL,F_NonI_65ov_Ct_III_IV,F_NonI_65ov_Ct_I_II,F_NonI_65ov_CL_nfd,F_NonI_65ov_LoE_NS,F_NonI_65ov_Tot,F_NonI_Tot_PD_GD_GCL,F_NonI_Tot_BDL,F_NonI_Tot_ADip_DipL,F_NonI_Tot_Ct_III_IV,F_NonI_Tot_Ct_I_II,F_NonI_Tot_CL_nfd,F_NonI_Tot_LoE_NS,F_NonI_Tot_Tot,F_IS_NS_15_19_PD_GD_GCL,F_IS_NS_15_19_BDL,F_IS_NS_15_19_ADip_DipL,F_IS_NS_15_19_Crt_III_an_IV_L,F_IS_NS_15_19_Ct_I_II,F_IS_NS_15_19_CL_nfd,F_IS_NS_15_19_LoE_NS,F_IS_NS_15_19_Tot,F_IS_NS_20_24_PD_GD_GCL,F_IS_NS_20_24_BDL,F_IS_NS_20_24_ADip_DipL,F_IS_NS_20_24_Crt_III_an_IV_L,F_IS_NS_20_24_Ct_I_II,F_IS_NS_20_24_CL_nfd,F_IS_NS_20_24_LoE_NS,F_IS_NS_20_24_Tot
ILOC10100101,0,0,0,28,0,0,12,47,4,14,4,49,0,4,25,108,0,17,5,32,0,0,23,83,4,10,21,55,0,0,34,129,3,7,3,39,4,3,17,73,0,3,0,44,0,0,42,97,11,56,42,255,9,15,176,561,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,10,0,0,0,13,0,3,0,6,0,0,3,10,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,10,22,0,3,8,46,0,0,0,3,0,0,3,8,0,15,3,7,0,3,0,31,6,33,13,10,6,3,0,66,3,19,8,18,4,0,8,69,5,16,12,20,9,4,3,71,3,3,15,7,3,7,6,46,0,14,12,13,0,0,37,70,20,96,66,83,17,24,53,358,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,8
ILOC10100201,3,14,6,137,13,3,43,223,40,110,44,387,17,5,103,708,48,88,70,287,5,6,67,564,46,77,75,269,5,11,75,550,41,58,59,219,3,5,75,463,24,43,35,193,3,22,167,481,196,382,284,1511,54,58,567,3058,0,0,0,5,0,0,11,21,0,3,7,33,10,0,9,58,3,17,20,27,15,3,9,90,5,11,20,33,6,8,5,84,0,9,19,25,3,9,8,79,0,10,6,7,0,0,5,32,0,3,0,0,0,5,7,18,9,44,81,136,30,20,54,376,0,0,4,24,6,4,17,57,7,36,27,78,11,9,9,179,73,218,99,183,20,22,12,625,55,187,87,163,28,16,14,549,53,106,95,152,25,31,25,487,54,99,101,109,11,39,38,456,13,71,45,27,8,39,172,385,256,727,462,746,108,158,285,2742,0,0,0,0,0,0,24,25,0,0,0,0,0,0,31,32
ILOC10100202,0,14,5,34,0,0,15,74,16,49,16,65,0,0,31,190,15,20,8,53,0,5,34,131,4,8,10,60,3,3,19,110,9,17,5,50,0,3,27,114,0,5,5,72,0,3,36,124,43,111,57,342,14,19,174,757,0,0,0,0,0,0,0,3,0,3,0,3,4,0,4,12,0,3,5,11,0,0,0,20,0,0,3,0,0,0,3,11,0,0,3,3,0,0,0,12,0,4,3,0,0,0,0,7,0,0,0,0,0,3,3,3,0,9,16,28,7,3,15,72,0,0,0,8,0,0,3,12,0,19,8,15,0,3,3,50,35,87,24,38,3,3,5,194,21,26,11,27,3,0,3,98,6,9,23,27,3,4,9,81,6,27,14,36,4,5,9,105,5,15,16,10,3,3,29,81,74,190,98,153,16,21,66,616,0,0,0,0,0,0,10,10,0,0,0,0,0,0,11,11
ILOC10100203,0,21,8,73,5,0,24,123,39,127,29,187,5,7,43,447,37,72,43,129,3,11,44,341,14,50,28,145,3,7,35,287,14,40,35,121,4,10,38,261,12,29,21,131,0,8,86,299,123,342,171,797,18,49,288,1785,0,0,0,0,0,0,4,7,0,0,0,22,0,0,3,29,0,4,4,24,3,0,4,35,3,6,3,11,0,3,4,26,0,8,4,5,3,0,3,21,0,6,3,3,0,0,0,17,0,0,0,0,0,0,3,7,3,22,14,63,11,3,22,140,0,0,0,7,6,0,3,17,0,41,22,47,11,0,4,126,59,193,68,94,9,8,11,441,33,134,43,68,11,10,12,305,35,87,54,80,17,18,15,294,31,44,58,49,20,30,20,248,7,50,54,31,3,18,101,261,164,545,293,374,63,80,163,1691,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4
ILOC10100204,0,3,3,63,4,0,21,92,13,31,14,151,0,3,30,240,14,62,38,193,3,8,46,356,14,64,45,206,4,11,70,420,13,52,50,193,6,14,77,406,18,28,30,152,0,5,91,319,72,237,175,968,19,49,361,1882,0,0,0,0,3,0,0,6,0,0,0,7,3,0,0,14,0,3,0,8,3,0,0,17,0,3,3,5,0,0,0,14,3,5,5,3,0,0,0,21,0,3,0,4,0,0,3,8,0,0,0,3,0,0,0,3,3,18,12,32,7,3,6,79,0,0,0,5,8,0,12,28,0,7,16,33,3,5,7,68,18,105,35,69,13,7,4,245,24,131,51,86,16,14,15,331,28,104,81,94,14,26,23,373,32,67,58,62,17,23,48,298,15,25,56,12,6,7,62,184,121,440,292,353,73,79,163,1520,0,0,0,0,0,0,9,9,0,0,0,0,0,0,13,13
ILOC10100205,0,3,0,76,7,8,26,129,14,61,40,170,4,6,62,362,34,54,42,129,7,11,54,322,14,27,29,125,3,7,57,265,12,21,25,91,3,9,41,208,7,34,28,117,4,15,80,284,82,201,172,722,30,61,353,1618,0,0,3,0,3,4,3,16,0,0,3,12,0,4,3,25,0,6,10,29,7,0,4,65,0,0,7,18,3,0,3,32,0,3,11,6,3,3,6,31,0,3,3,3,0,0,14,22,0,0,0,0,0,0,8,9,3,12,43,63,19,13,41,193,0,0,0,8,7,0,7,26,3,22,21,48,6,3,4,107,27,112,56,107,8,12,12,337,31,95,46,92,6,11,14,293,21,47,36,63,9,17,17,201,14,34,35,42,5,23,21,169,6,30,51,29,9,12,77,221,102,338,253,380,52,77,153,1354,0,0,0,0,0,0,21,21,0,0,0,0,0,0,25,24
ILOC10100301,0,7,0,29,3,0,9,45,3,10,4,63,3,4,21,121,3,14,9,69,3,5,26,127,3,10,12,82,4,4,38,149,6,14,14,61,0,7,42,140,0,3,6,81,3,9,94,199,20,59,56,384,20,31,252,818,0,0,0,0,0,0,5,8,0,0,0,3,0,0,3,9,0,0,3,9,0,0,3,20,0,0,5,6,0,0,0,24,0,0,0,3,0,3,4,9,0,3,3,0,0,3,4,13,0,0,0,0,0,0,3,3,0,7,17,31,9,9,19,87,0,0,0,0,0,0,3,5,0,9,4,8,0,4,3,33,8,48,17,40,5,9,6,127,5,35,13,40,7,7,0,106,4,32,30,46,4,8,9,133,3,22,27,40,7,8,17,123,9,21,23,15,3,7,62,139,29,168,118,196,21,34,111,676,0,0,0,0,0,0,10,10,0,0,0,0,0,0,9,9
ILOC10100401,0,0,0,28,8,3,9,58,0,9,12,67,3,3,20,113,3,13,12,57,4,0,18,111,9,3,7,55,0,0,25,110,3,6,13,62,5,3,36,130,5,11,12,63,3,5,57,158,20,42,59,343,25,12,181,687,0,0,0,3,0,0,7,14,0,0,3,8,3,5,3,20,0,5,6,14,0,0,3,34,0,8,3,6,0,4,0,25,0,4,6,8,0,0,3,20,0,3,3,4,0,0,4,14,0,0,0,0,0,0,3,8,3,18,19,40,7,12,29,131,0,0,0,0,0,0,0,3,0,3,3,18,3,0,3,30,6,42,8,33,3,4,5,96,5,30,14,31,0,0,0,82,3,16,10,24,0,3,4,74,4,12,17,27,0,4,9,80,0,19,18,10,0,10,45,107,21,120,80,144,12,25,72,475,0,0,0,0,0,0,9,9,0,0,0,0,0,0,9,9
ILOC10100402,0,0,5,12,3,0,9,26,0,15,8,36,4,0,14,68,5,20,5,36,0,4,22,87,3,12,14,43,10,6,20,106,0,12,12,34,0,0,18,70,0,6,5,44,0,4,37,97,5,60,44,199,12,23,123,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,11,0,0,3,29,0,0,0,0,0,0,0,3,0,3,4,11,0,0,0,22,4,32,6,18,0,0,3,74,3,37,10,22,3,3,3,83,5,32,22,22,5,0,6,90,7,19,18,11,0,4,4,65,3,10,11,8,3,12,14,54,27,133,73,87,17,21,37,392,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3
ILOC10100403,0,0,0,11,0,0,3,13,0,0,0,4,0,0,4,18,0,0,0,12,0,0,3,17,0,0,0,7,0,0,3,17,0,0,0,8,0,0,8,23,0,4,4,17,0,0,23,52,0,5,11,69,0,3,53,139,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,7,8,6,3,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,12,0,3,3,10,0,0,0,13,3,3,4,4,0,0,0,15,0,0,11,4,3,0,0,19,0,8,4,4,0,0,12,33,5,21,16,25,7,0,14,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
