ILOC_CODE_2016,F_IS_NS_25_34_PD_GD_GCL,F_IS_NS_25_34_BDL,F_IS_NS_25_34_ADip_DipL,F_IS_NS_25_34_Crt_III_an_IV_L,F_IS_NS_25_34_Ct_I_II,F_IS_NS_25_34_CL_nfd,F_IS_NS_25_34_LoE_NS,F_IS_NS_25_34_Tot,F_IS_NS_35_44_PD_GD_GCL,F_IS_NS_35_44_BDL,F_IS_NS_35_44_ADip_DipL,F_IS_NS_35_44_Crt_III_an_IV_L,F_IS_NS_35_44_Ct_I_II,F_IS_NS_35_44_CL_nfd,F_IS_NS_35_44_LoE_NS,F_IS_NS_35_44_Tot,F_IS_NS_45_54_PD_GD_GCL,F_IS_NS_45_54_BDL,F_IS_NS_45_54_ADip_DipL,F_IS_NS_45_54_Crt_III_an_IV_L,F_IS_NS_45_54_Ct_I_II,F_IS_NS_45_54_CL_nfd,F_IS_NS_45_54_Lev_of_ed_NS,F_IS_NS_45_54_Tot,F_IS_NS_55_64_PgDe_GdDp_GdC,F_IS_NS_55_64_BachelDegre_L,F_IS_NS_55_64_ADip_DipL,F_IS_NS_55_64_Crt_III_and_IV,F_IS_NS_55_64_Crt_I_and_II,F_IS_NS_55_64_Certi_Level_nfd,F_IS_NS_55_64_Lev_of_ed_NS,F_IS_NS_55_64_Tot,F_IS_NS_65ov_PtgDe_GdDp_GdCt,F_IS_NS_65ov_BDL,F_IS_NS_65ov_AdDip_and_DipL,F_IS_NS_65ov_Ct_III_IV,F_IS_NS_65ov_Ct_I_II,F_IS_NS_65ov_CL_nfd,F_IS_NS_65ov_Lev_of_ed_NS,F_IS_NS_65ov_Tot,F_IS_NS_Tot_PgDe_GdDp_GdCtL,F_IS_NS_Tot_BDL,F_IS_NS_Tot_ADip_DipL,F_IS_NS_Tot_Ct_III_and_IV_L,F_IS_NS_Tot_Ct_I_and_II_L,F_IS_NS_Tot_CL_nfd,F_IS_NS_Tot_Lev_of_ed_NS,F_IS_NS_Tot_Tot,F_T_15_19_PD_GD_GCL,F_T_15_19_BDL,F_T_15_19_ADip_DipL,F_T_15_19_Ct_III_IV,F_T_15_19_Ct_I_II,F_T_15_19_CL_nfd,F_T_15_19_LoE_NS,F_T_15_19_Tot,F_T_20_24_PD_GD_GCL,F_T_20_24_BDL,F_T_20_24_ADip_DipL,F_T_20_24_Ct_III_IV,F_T_20_24_Ct_I_II,F_T_20_24_CL_nfd,F_T_20_24_LoE_NS,F_T_20_24_Tot,F_T_25_34_PD_GD_GCL,F_T_25_34_BDL,F_T_25_34_ADip_DipL,F_T_25_34_Ct_III_IV,F_T_25_34_Ct_I_II,F_T_25_34_CL_nfd,F_T_25_34_LoE_NS,F_T_25_34_Tot,F_T_35_44_PD_GD_GCL,F_T_35_44_BDL,F_T_35_44_ADip_DipL,F_T_35_44_Ct_III_IV,F_T_35_44_Ct_I_II,F_T_35_44_CL_nfd,F_T_35_44_LoE_NS,F_T_35_44_Tot,F_T_45_54_PD_GD_GCL,F_T_45_54_BDL,F_T_45_54_ADip_DipL,F_T_45_54_Ct_III_IV,F_T_45_54_Ct_I_II,F_T_45_54_CL_nfd,F_T_45_54_LoE_NS,F_T_45_54_Tot,F_T_55_64_PD_GD_GCL,F_T_55_64_BDL,F_T_55_64_ADip_DipL,F_T_55_64_Ct_III_IV,F_T_55_64_Ct_I_II,F_T_55_64_CL_nfd,F_T_55_64_LoE_NS,F_T_55_64_Tot,F_T_65ov_PtgdDe_GdDp_GdCt,F_T_65ov_BDL,F_T_65ov_ADip_DipL,F_T_65ov_Ct_III_IV,F_T_65ov_Ct_I_II,F_T_65ov_CL_nfd,F_T_65ov_LoE_NS,F_T_65ov_Tot,F_T_Tot_PD_GD_GCL,F_T_Tot_BDL,F_T_Tot_ADip_DipL,F_T_Tot_Ct_III_IV,F_T_Tot_Ct_I_II,F_T_Tot_CL_nfd,F_T_Tot_LoE_NS,F_T_Tot_Tot,P_Ind_15_19_PD_GD_GCL,P_Ind_15_19_BDL,P_Ind_15_19_ADip_DipL,P_Ind_15_19_Ct_III_IV,P_Ind_15_19_Ct_I_II,P_Ind_15_19_CL_nfd,P_Ind_15_19_LoE_NS,P_Ind_15_19_Tot,P_Ind_20_24_PD_GD_GCL,P_Ind_20_24_BDL,P_Ind_20_24_ADip_DipL,P_Ind_20_24_Ct_III_IV,P_Ind_20_24_Ct_I_II,P_Ind_20_24_CL_nfd,P_Ind_20_24_LoE_NS,P_Ind_20_24_Tot,P_Ind_25_34_PD_GD_GCL,P_Ind_25_34_BDL,P_Ind_25_34_ADip_DipL,P_Ind_25_34_Ct_III_IV,P_Ind_25_34_Ct_I_II,P_Ind_25_34_CL_nfd,P_Ind_25_34_LoE_NS,P_Ind_25_34_Tot,P_Ind_35_44_PD_GD_GCL,P_Ind_35_44_BDL,P_Ind_35_44_ADip_DipL,P_Ind_35_44_Ct_III_IV,P_Ind_35_44_Ct_I_II,P_Ind_35_44_CL_nfd,P_Ind_35_44_LoE_NS,P_Ind_35_44_Tot,P_Ind_45_54_PD_GD_GCL,P_Ind_45_54_BDL,P_Ind_45_54_ADip_DipL,P_Ind_45_54_Ct_III_IV,P_Ind_45_54_Ct_I_II,P_Ind_45_54_CL_nfd,P_Ind_45_54_LoE_NS,P_Ind_45_54_Tot,P_Ind_55_64_PD_GD_GCL,P_Ind_55_64_BDL,P_Ind_55_64_ADip_DipL,P_Ind_55_64_Ct_III_IV,P_Ind_55_64_Ct_I_II,P_Ind_55_64_CL_nfd,P_Ind_55_64_LoE_NS,P_Ind_55_64_Tot,P_Ind_65ov_PtgdDe_GdDp_GdCt,P_Ind_65ov_BDL,P_Ind_65ov_ADip_DipL,P_Ind_65ov_Ct_III_IV,P_Ind_65ov_Ct_I_II,P_Ind_65ov_CL_nfd,P_Ind_65ov_LoE_NS,P_Ind_65ov_Tot,P_Ind_Tot_PD_GD_GCL,P_Ind_Tot_BDL,P_Ind_Tot_ADip_DipL,P_Ind_Tot_Ct_III_IV,P_Ind_Tot_Ct_I_II,P_Ind_Tot_CL_nfd,P_Ind_Tot_LoE_NS,P_Ind_Tot_Tot,P_NonI_15_19_PtgdDe_GdDp_GdCt,P_NonI_15_19_BDL,P_NonI_15_19_ADip_DipL,P_NonI_15_19_Ct_III_IV,P_NonI_15_19_Ct_I_II,P_NonI_15_19_CL_nfd,P_NonI_15_19_LoE_NS,P_NonI_15_19_Tot,P_NonI_20_24_PtgdDe_GdDp_GdCt,P_NonI_20_24_BDL,P_NonI_20_24_ADip_DipL,P_NonI_20_24_Ct_III_IV,P_NonI_20_24_Ct_I_II,P_NonI_20_24_CL_nfd,P_NonI_20_24_LoE_NS,P_NonI_20_24_Tot,P_NonI_25_34_PtgdDe_GdDp_GdCt,P_NonI_25_34_BDL,P_NonI_25_34_ADip_DipL,P_NonI_25_34_Ct_III_IV,P_NonI_25_34_Ct_I_II,P_NonI_25_34_CL_nfd,P_NonI_25_34_LoE_NS,P_NonI_25_34_Tot
ILOC10100101,0,0,0,0,0,0,17,17,0,0,0,0,0,0,14,16,0,0,0,0,0,0,15,18,0,0,0,0,0,0,21,22,0,0,0,0,0,0,19,19,0,0,0,0,0,0,94,95,0,0,0,3,0,0,11,17,0,15,4,11,0,3,6,41,6,29,13,24,3,3,15,101,3,25,11,26,4,3,26,96,4,16,16,21,9,4,24,97,3,9,19,9,3,7,23,65,0,14,10,13,0,0,50,89,21,106,74,105,15,23,154,502,0,0,0,3,0,0,5,8,0,0,3,13,0,0,3,17,0,0,3,21,0,0,9,31,0,3,4,10,0,0,3,19,0,0,0,4,0,0,3,11,0,0,0,3,0,0,0,4,0,0,0,3,0,0,4,8,3,7,6,46,4,3,23,95,0,0,0,10,0,0,6,15,0,11,7,26,3,4,3,54,12,49,15,53,5,9,3,137
ILOC10100201,0,3,0,0,0,0,69,70,0,0,0,0,0,0,47,49,0,0,0,5,7,0,58,74,0,4,0,0,0,0,64,61,0,0,0,0,0,0,109,114,3,6,3,10,6,0,398,426,0,0,6,34,7,3,51,102,7,44,36,109,19,12,46,271,75,239,126,210,30,26,86,784,64,197,107,198,29,18,64,688,60,115,114,185,35,31,96,637,54,110,110,119,11,41,105,547,13,73,48,29,8,45,291,512,264,777,542,890,141,177,743,3542,0,0,0,5,3,0,17,29,0,4,8,54,9,3,7,91,4,19,31,74,14,3,15,161,5,14,23,66,6,8,13,140,5,9,24,47,5,7,16,117,0,5,9,26,0,3,8,61,0,3,0,4,0,5,15,34,15,56,104,280,40,32,95,630,0,0,5,44,7,4,32,92,5,52,36,198,22,10,17,339,107,321,137,519,35,22,32,1174
ILOC10100202,0,0,0,0,0,0,22,22,0,0,0,0,0,0,21,23,0,0,0,0,0,0,12,12,0,0,0,0,0,0,21,21,0,0,0,0,0,0,18,18,0,0,0,0,0,0,119,118,0,0,0,7,3,0,15,23,0,21,8,17,7,3,16,77,35,88,23,51,4,3,26,239,21,23,15,35,3,0,30,127,6,15,24,29,4,4,19,99,11,29,18,36,4,5,30,136,5,15,15,10,3,8,57,109,71,195,114,182,23,30,196,809,0,0,0,3,0,3,4,10,0,3,3,9,4,0,5,20,0,3,3,20,3,0,3,36,0,0,3,6,0,0,8,18,0,0,5,9,0,0,3,19,0,4,3,0,0,0,3,11,0,0,3,6,0,3,3,12,0,9,24,54,8,10,27,127,0,0,3,5,3,0,9,22,3,32,11,43,0,3,3,103,55,138,33,97,3,5,13,341
ILOC10100203,0,3,0,0,0,0,40,36,0,0,0,0,0,0,11,14,0,0,0,3,0,0,16,17,0,0,0,0,0,0,25,29,0,0,0,0,0,0,20,28,0,4,0,4,0,0,120,133,0,0,0,7,6,3,14,25,0,40,22,69,9,0,10,154,59,195,73,115,12,8,49,515,38,141,47,79,13,8,29,348,35,91,57,88,15,22,28,336,36,54,56,52,17,32,47,292,7,53,50,29,3,18,127,291,174,573,310,445,76,89,304,1965,0,0,0,0,0,0,4,6,0,4,3,32,0,0,8,48,0,4,7,35,3,0,9,64,5,8,5,24,3,3,8,49,0,9,9,17,7,0,9,43,3,6,3,6,0,0,9,28,0,3,0,5,0,0,14,17,3,30,27,127,12,6,49,258,0,0,0,17,6,4,13,33,3,59,24,112,10,0,3,211,95,316,97,265,10,14,21,824
ILOC10100204,0,0,0,0,0,0,26,26,0,0,0,0,0,0,35,40,0,0,0,0,0,0,44,52,0,0,0,0,0,0,44,47,0,0,0,0,0,0,28,34,0,3,0,6,0,0,211,223,0,0,0,5,11,0,30,42,0,7,15,44,5,5,20,91,18,105,35,76,15,9,33,292,24,132,56,87,14,14,52,385,29,113,88,99,14,26,74,441,36,70,63,65,17,26,96,356,15,27,56,17,6,7,88,217,121,461,307,390,78,83,382,1827,0,0,0,3,3,0,7,8,0,0,0,13,7,0,3,19,0,6,0,21,3,0,3,32,0,5,6,13,0,0,0,29,4,5,5,16,0,0,3,40,0,3,3,11,0,0,3,24,0,0,0,8,0,0,3,6,3,20,19,83,9,3,22,165,0,0,0,14,8,0,26,49,0,16,14,90,3,5,6,133,30,127,48,208,16,17,11,446
ILOC10100205,0,0,3,0,0,0,47,56,0,0,0,0,0,0,35,33,0,0,0,0,0,0,38,39,0,0,0,0,0,0,18,21,0,0,0,0,0,0,50,58,0,7,3,4,0,0,232,242,0,0,3,8,7,3,30,53,3,22,17,67,11,9,29,153,27,123,72,134,15,9,67,452,31,96,59,105,11,14,47,361,20,51,44,64,10,19,60,275,14,36,45,42,5,23,54,217,6,34,53,25,9,12,139,280,105,363,295,456,71,83,426,1796,0,0,3,4,3,5,10,23,0,0,3,24,3,4,12,38,0,13,17,51,7,3,10,99,5,0,10,36,3,3,12,64,0,6,13,26,3,3,9,61,0,7,7,10,0,0,15,39,0,0,0,4,0,0,11,13,6,22,53,146,19,17,77,353,0,0,3,17,4,0,21,47,3,31,20,118,15,12,6,197,44,171,94,254,12,20,28,615
ILOC10100301,0,4,0,0,0,0,10,17,0,0,0,0,0,0,10,15,0,0,0,0,0,0,14,14,0,0,0,0,0,0,18,15,0,0,0,0,0,0,39,39,0,3,0,0,0,0,105,107,0,0,0,3,0,0,16,23,0,9,6,18,3,4,13,53,8,48,19,49,7,8,21,160,5,37,14,50,9,9,11,137,5,29,35,49,4,5,25,159,3,26,30,40,5,9,39,158,9,25,26,15,3,7,105,184,30,178,127,227,30,41,239,870,0,0,0,0,3,0,4,14,0,0,0,7,0,0,9,15,0,0,3,12,0,0,8,27,0,0,5,21,0,0,8,43,0,0,3,9,0,3,3,25,0,7,6,0,0,3,7,19,0,0,3,0,0,0,5,9,0,16,17,59,11,5,45,151,0,0,0,12,3,0,7,19,0,12,4,37,3,7,5,71,10,60,20,101,9,8,11,223
ILOC10100401,0,0,0,0,0,0,19,19,0,0,0,0,0,0,11,12,0,0,0,0,0,0,18,18,0,0,0,0,0,0,32,32,0,0,0,0,0,0,37,35,0,0,0,0,0,0,125,127,0,0,0,5,0,0,14,22,3,6,10,21,8,6,10,58,6,42,18,47,3,7,27,147,5,32,19,35,0,7,15,115,3,19,16,32,6,5,30,106,9,15,22,36,7,4,46,132,3,19,22,11,4,6,84,153,26,134,101,185,22,39,228,739,0,0,0,3,3,0,8,18,0,0,3,17,5,6,0,34,0,10,6,24,0,3,6,56,0,8,3,18,3,4,0,34,0,4,6,13,0,0,10,25,0,3,3,9,3,0,4,21,0,0,3,3,0,0,12,19,5,20,23,87,19,17,47,214,0,0,0,4,0,0,5,11,0,7,4,41,5,0,3,67,10,47,22,84,7,3,5,174
ILOC10100402,0,0,0,0,0,0,5,5,0,0,0,0,0,0,12,17,0,0,0,0,0,0,19,22,0,0,0,0,0,0,19,17,0,0,0,0,0,0,8,7,0,0,3,0,0,0,71,75,0,0,0,0,0,0,6,9,0,3,6,11,0,0,3,26,4,34,8,18,0,0,6,82,3,45,16,22,3,4,16,105,5,32,24,29,5,0,25,127,7,15,18,9,0,4,27,83,0,10,11,8,3,12,23,64,25,141,85,99,17,24,109,494,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,6,0,0,3,4,0,0,0,8,0,3,3,0,0,0,0,11,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,13,21,3,3,3,52,0,0,0,3,0,0,3,10,0,4,11,23,0,0,0,33,4,46,15,48,7,4,9,122
ILOC10100403,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,7,0,0,0,0,0,0,12,12,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,11,0,3,0,7,3,0,3,15,0,3,8,12,0,0,0,17,3,3,5,6,3,0,3,22,0,0,11,4,0,3,6,23,0,8,4,4,0,0,24,42,4,24,26,33,8,6,42,148,0,0,0,3,0,0,3,4,0,0,0,3,0,0,0,12,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,0,0,0,4,6,0,0,0,3,0,0,3,3,0,3,7,23,6,3,9,48,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,5,0,8,3,0,3,25
