ILOC_CODE_2016,P_NonI_35_44_PtgdDe_GdDp_GdCt,P_NonI_35_44_BDL,P_NonI_35_44_ADip_DipL,P_NonI_35_44_Ct_III_IV,P_NonI_35_44_Ct_I_II,P_NonI_35_44_CL_nfd,P_NonI_35_44_LoE_NS,P_NonI_35_44_Tot,P_NonI_45_54_PtgdDe_GdDp_GdCt,P_NonI_45_54_BDL,P_NonI_45_54_ADip_DipL,P_NonI_45_54_Ct_III_IV,P_NonI_45_54_Ct_I_II,P_NonI_45_54_CL_nfd,P_NonI_45_54_LoE_NS,P_NonI_45_54_Tot,P_NonI_55_64_PtgdDe_GdDp_GdCt,P_NonI_55_64_BDL,P_NonI_55_64_ADip_DipL,P_NonI_55_64_Ct_III_IV,P_NonI_55_64_Ct_I_II,P_NonI_55_64_CL_nfd,P_NonI_55_64_LoE_NS,P_NonI_55_64_Tot,P_NonI_65ov_PtgdDe_GdDp_GdCt,P_NonI_65ov_BDL,P_NonI_65ov_ADip_DipL,P_NonI_65ov_Ct_III_IV,P_NonI_65ov_Ct_I_II,P_NonI_65ov_CL_nfd,P_NonI_65ov_LoE_NS,P_NonI_65ov_Tot,P_NonI_Tot_PtgdDe_GdDp_GdCt,P_NonI_Tot_BDL,P_NonI_Tot_ADip_DipL,P_NonI_Tot_Ct_III_IV,P_NonI_Tot_Ct_I_II,P_NonI_Tot_CL_nfd,P_NonI_Tot_LoE_NS,P_NonI_Tot_Tot,P_IS_NS_15_19_PgdDe_GdDp_GdCt,P_IS_NS_15_19_BDL,P_IS_NS_15_19_ADip_DipL,P_IS_NS_15_19_Ct_III_and_IV_L,P_IS_NS_15_19_Ct_I_II,P_IS_NS_15_19_CL_nfd,P_IS_NS_15_19_LoE_NS,P_IS_NS_15_19_Tot,P_IS_NS_20_24_PgDe_GdDp_GdCtL,P_IS_NS_20_24_BDL,P_IS_NS_20_24_ADip_DipL,P_IS_NS_20_24_Ct_III_and_IV_L,P_IS_NS_20_24_Ct_I_II,P_IS_NS_20_24_CL_nfd,P_IS_NS_20_24_LoE_NS,P_IS_NS_20_24_Tot,P_IS_NS_25_34_PgDe_GdDp_GdCtL,P_IS_NS_25_34_BDL,P_IS_NS_25_34_ADip_DipL,P_IS_NS_25_34_Ct_III_and_IV_L,P_IS_NS_25_34_Ct_I_II,P_IS_NS_25_34_CL_nfd,P_IS_NS_25_34_LoE_NS,P_IS_NS_25_34_Tot,P_IS_NS_35_44_PgDe_GdDp_GdCtL,P_IS_NS_35_44_BDL,P_IS_NS_35_44_ADip_DipL,P_IS_NS_35_44_Ct_III_and_IV_L,P_IS_NS_35_44_Ct_I_II,P_IS_NS_35_44_CL_nfd,P_IS_NS_35_44_LoE_NS,P_IS_NS_35_44_Tot,P_IS_NS_45_54_PgDe_GdDp_GdCtL,P_IS_NS_45_54_BDL,P_IS_NS_45_54_ADip_DipL,P_IS_NS_45_54_Ct_III_and_IV_L,P_IS_NS_45_54_Ct_I_II,P_IS_NS_45_54_CL_nfd,P_IS_NS_45_54_LoE_NS,P_IS_NS_45_54_Tot,P_IS_NS_55_64_PgDe_GdDp_GdCtL,P_IS_NS_55_64_BDL,P_IS_NS_55_64_ADip_DipL,P_IS_NS_55_64_Crt_III_and_IV,P_IS_NS_55_64_Ct_I_II,P_IS_NS_55_64_CL_nfd,P_IS_NS_55_64_LoE_NS,P_IS_NS_55_64_Tot,P_IS_NS_65ov_PgdDe_GdDp_GdCt,P_IS_NS_65ov_BDL,P_IS_NS_65ov_ADip_DipL,P_IS_NS_65ov_Crt_III_and_IV,P_IS_NS_65ov_Ct_I_II,P_IS_NS_65ov_CL_nfd,P_IS_NS_65ov_LoE_NS,P_IS_NS_65ov_Tot,P_IS_NS_TotPdDe_GdDp_GdCt,P_IS_NS_Tot_BDL,P_IS_NS_Tot_ADip_DipL,P_IS_NS_Tot_Ct_III_IV,P_IS_NS_Tot_Ct_I_II,P_IS_NS_Tot_CL_nfd,P_IS_NS_Tot_LoE_NS,P_IS_NS_Tot_Tot,P_Tot_15_19_PgDe_GdDp_GdCtL,P_Tot_15_19_BDL,P_Tot_15_19_ADip_DipL,P_Tot_15_19_Ct_III_and_IV_L,P_Tot_15_19_Ct_I_II,P_Tot_15_19_CL_nfd,P_Tot_15_19_LoE_NS,P_Tot_15_19_Tot,P_Tot_20_24_PgDe_GdDp_GdCtL,P_Tot_20_24_BDL,P_Tot_20_24_ADip_DipL,P_Tot_20_24_Ct_III_and_IV_L,P_Tot_20_24_Ct_I_II,P_Tot_20_24_CL_nfd,P_Tot_20_24_LoE_NS,P_Tot_20_24_Tot,P_Tot_25_34_PgDe_GdDp_GdCtL,P_Tot_25_34_BDL,P_Tot_25_34_ADip_DipL,P_Tot_25_34_Ct_III_and_IV_L,P_Tot_25_34_Ct_I_II,P_Tot_25_34_CL_nfd,P_Tot_25_34_LoE_NS,P_Tot_25_34_Tot,P_Tot_35_44_PgDe_GdDp_GdCtL,P_Tot_35_44_BDL,P_Tot_35_44_ADip_DipL,P_Tot_35_44_Ct_III_and_IV_L,P_Tot_35_44_Ct_I_II,P_Tot_35_44_CL_nfd,P_Tot_35_44_LoE_NS,P_Tot_35_44_Tot,P_Tot_45_54_PgDe_GdDp_GdCtL,P_Tot_45_54_BDL,P_Tot_45_54_ADip_DipL,P_Tot_45_54_Ct_III_and_IV_L,P_Tot_45_54_Ct_I_II,P_Tot_45_54_CL_nfd,P_Tot_45_54_LoE_NS,P_Tot_45_54_Tot,P_Tot_55_64_PgDe_GdDp_GdCtL,P_Tot_55_64_BDL,P_Tot_55_64_ADip_DipL,P_Tot_55_64_Ct_III_and_IV_L,P_Tot_55_64_Ct_I_II,P_Tot_55_64_CL_nfd,P_Tot_55_64_LoE_NS,P_Tot_55_64_Tot,P_Tot_65ov_PtgdDe_GdDp_GdCt,P_Tot_65ov_BDL,P_Tot_65ov_ADip_DipL,P_Tot_65ov_Ct_III_and_IV_L,P_Tot_65ov_Ct_I_II,P_Tot_65ov_CL_nfd,P_Tot_65ov_LoE_NS,P_Tot_65ov_Tot,P_Tot_Tot_PgDe_GdDp_GdCtL,P_Tot_Tot_BDL,P_Tot_Tot_ADip_DipL,P_Tot_Tot_Ct_III_and_IV_L,P_Tot_Tot_Ct_I_II,P_Tot_Tot_CL_nfd,P_Tot_Tot_LoE_NS,P_Tot_Tot_Tot
ILOC10100101,3,35,19,52,4,8,18,131,13,24,28,73,8,8,10,166,3,10,20,43,6,7,9,106,0,14,15,49,0,4,55,141,30,151,102,304,27,37,102,752,0,0,0,0,0,0,15,15,0,0,0,0,0,0,19,19,0,0,0,0,0,0,37,37,0,0,0,0,0,0,29,33,0,0,0,0,0,0,37,42,0,0,0,3,0,0,28,36,0,0,0,0,0,0,38,38,0,0,0,3,0,0,201,211,0,0,0,12,0,0,21,35,0,11,7,42,3,4,21,88,12,49,16,70,8,9,45,204,3,41,18,59,4,6,46,176,10,24,29,73,8,8,54,223,7,11,25,51,6,7,38,145,0,14,14,50,0,4,95,186,38,158,116,358,25,40,329,1061
ILOC10100201,104,271,151,421,31,21,28,1015,100,186,154,393,25,41,38,938,99,159,152,313,10,48,57,837,35,110,81,215,12,58,262,776,446,1100,717,2101,149,205,464,5183,0,0,0,0,0,0,46,54,0,0,0,0,0,0,57,59,0,3,0,5,0,0,145,149,0,0,0,0,0,0,97,101,0,0,0,3,4,0,112,126,0,4,0,3,0,0,108,116,0,0,0,0,0,0,182,181,3,10,3,13,7,3,751,791,0,0,3,53,16,5,97,176,5,55,41,251,33,16,90,487,117,341,168,596,51,31,187,1491,105,284,181,491,39,32,132,1255,102,195,185,450,38,44,167,1187,99,173,163,338,10,52,182,1008,36,119,83,222,11,67,461,993,460,1166,826,2399,197,241,1312,6603
ILOC10100202,31,46,26,70,3,3,14,191,8,20,29,79,5,6,15,170,15,47,21,84,9,6,22,198,5,21,20,77,3,6,39,171,115,304,149,462,29,37,113,1201,0,0,0,0,0,0,15,15,0,0,0,0,0,0,23,23,0,0,0,0,0,0,45,44,0,0,0,0,0,0,47,49,0,0,0,0,0,0,22,22,0,0,0,0,0,0,33,38,0,0,0,3,0,0,44,45,0,0,0,8,0,0,230,240,0,0,3,9,4,3,25,43,3,33,17,54,7,3,32,146,55,142,40,114,10,7,64,422,31,45,30,80,3,5,60,259,8,19,33,95,5,6,42,216,14,45,30,80,9,6,60,251,5,21,20,86,3,10,91,234,118,310,164,524,37,45,377,1572
ILOC10100203,72,203,80,183,13,21,22,596,51,135,83,215,13,30,24,548,50,86,88,158,18,36,35,478,21,77,72,156,3,30,151,517,289,884,452,1105,78,130,267,3195,0,0,0,0,0,0,6,6,0,0,0,0,0,0,20,20,0,3,0,5,0,0,69,74,0,0,0,4,0,0,40,43,0,0,0,0,0,0,36,36,0,3,0,0,0,3,45,52,0,0,0,0,0,0,50,59,0,4,0,12,0,3,267,290,0,0,0,15,6,3,22,51,3,61,25,142,15,0,32,281,95,324,108,309,16,10,94,954,77,210,90,207,9,24,75,687,51,140,90,235,24,31,63,625,54,96,89,171,25,40,84,552,21,78,78,164,3,30,215,590,294,914,475,1243,92,137,594,3747
ILOC10100204,41,180,86,261,21,24,22,633,42,170,126,287,19,37,44,723,47,114,101,243,19,32,75,639,32,50,80,155,5,16,100,445,189,667,458,1259,89,128,284,3069,0,0,0,0,0,0,26,26,0,0,0,0,0,0,26,32,0,0,0,0,0,0,50,50,0,4,0,6,0,0,69,82,0,0,0,3,0,0,95,100,0,0,0,4,0,0,96,98,0,0,3,4,0,0,81,87,0,4,4,19,0,0,441,473,0,0,3,20,6,0,54,87,0,16,17,107,5,5,36,188,30,134,48,231,12,18,62,531,41,192,90,279,18,23,95,741,44,178,132,306,18,34,140,857,49,120,109,260,19,35,171,759,32,57,81,164,5,15,180,536,191,695,477,1363,102,135,742,3708
ILOC10100205,57,146,88,202,9,19,23,543,30,73,63,163,11,23,33,401,30,55,68,117,9,33,31,336,17,64,79,136,11,31,123,457,178,536,410,1005,82,126,263,2599,0,0,0,0,0,0,33,33,0,0,0,3,0,0,40,40,0,0,3,5,0,0,89,99,0,0,0,0,0,0,71,76,0,0,0,3,0,0,74,80,0,0,0,4,0,0,44,48,0,0,0,0,0,0,90,91,0,7,4,19,0,0,439,465,0,0,7,18,7,5,64,105,3,31,20,139,19,14,52,280,42,185,112,305,25,21,131,816,60,147,102,233,10,20,105,680,35,80,73,195,14,26,120,540,30,60,68,133,9,31,93,424,17,64,83,141,11,31,222,568,189,563,468,1172,103,146,781,3411
ILOC10100301,9,45,19,93,5,11,8,197,7,35,50,114,4,9,24,251,11,37,40,99,8,16,32,230,9,25,28,98,4,13,121,303,48,220,160,548,42,65,217,1296,0,0,0,0,0,0,17,17,0,0,0,0,0,0,12,12,0,4,0,0,0,0,30,30,0,4,0,0,0,0,26,31,0,0,0,0,0,0,33,33,0,0,0,0,0,0,43,44,0,0,0,0,0,0,70,74,0,6,0,0,0,0,231,244,0,0,0,9,7,0,34,47,0,16,10,40,3,7,24,102,10,64,27,112,9,9,45,285,9,50,24,121,9,10,39,268,13,38,48,130,7,14,66,312,11,41,41,99,6,18,83,301,9,28,29,100,4,19,202,387,49,233,184,613,51,69,489,1689
ILOC10100401,8,40,26,79,0,4,7,163,14,21,24,78,3,3,14,159,4,17,37,86,9,6,21,178,4,27,32,77,6,16,64,218,40,157,137,442,28,36,122,972,0,0,0,0,0,0,10,10,0,0,0,0,0,0,19,19,0,0,0,0,0,0,31,31,0,0,0,0,0,0,25,24,0,0,0,0,0,0,32,32,0,0,0,0,0,0,57,60,0,0,3,0,0,0,65,68,0,0,3,0,0,0,240,242,0,0,0,10,3,0,26,42,3,10,7,58,11,5,26,113,10,52,25,111,5,4,46,263,8,43,29,94,3,8,30,227,14,26,30,84,4,5,52,215,6,17,36,96,8,6,83,259,5,27,34,77,5,18,141,306,47,179,166,533,44,50,403,1423
ILOC10100402,10,55,20,55,3,9,5,152,3,40,33,59,16,6,9,180,8,24,27,37,0,9,12,119,0,21,13,51,3,14,33,136,34,184,121,277,27,38,70,745,0,0,0,0,0,0,11,11,0,0,0,0,0,0,14,14,0,0,0,0,0,0,14,12,0,0,0,0,0,3,27,33,0,0,0,0,0,0,37,40,0,0,0,0,0,0,33,34,0,0,0,0,0,0,24,32,0,6,3,0,0,3,163,170,0,0,0,4,0,0,13,19,0,5,9,26,6,0,14,58,4,42,15,54,5,4,17,149,10,62,23,55,3,8,35,192,3,39,39,69,16,6,47,231,8,28,27,41,0,9,44,153,7,21,19,49,3,13,56,166,32,198,131,295,32,41,232,963
ILOC10100403,0,4,3,15,0,0,0,24,3,5,7,12,0,0,3,23,0,3,13,7,3,0,3,30,0,11,7,24,0,0,16,62,5,24,33,78,4,5,25,179,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,7,7,0,0,0,0,0,0,30,30,0,0,0,0,0,0,59,59,0,0,0,3,0,0,4,7,0,0,3,14,0,0,3,20,0,8,3,13,6,0,8,35,0,8,8,19,0,3,3,41,3,7,9,15,3,0,10,39,0,3,13,15,0,3,15,51,0,11,7,25,0,0,49,95,4,31,36,99,8,7,98,286
