ILOC_CODE_2016,M_Emp_Worked_FT_A_15_24_y,M_Emp_Worked_FT_A_25_34_y,M_Emp_Worked_FT_A_35_44_y,M_Emp_Worked_FT_A_45_54_y,M_Emp_Worked_FT_A_55_64_y,M_Emp_Worked_FT_A_65_and_over,M_Emp_Worked_FT_Tot,M_Emp_Worked_PT_A_15_24_y,M_Emp_Worked_PT_A_25_34_y,M_Emp_Worked_PT_A_35_44_y,M_Emp_Worked_PT_A_45_54_y,M_Emp_Worked_PT_A_55_64_y,M_Emp_Worked_PT_A_65_and_over,M_Emp_Worked_PT_Tot,M_EAfW_A_15_24_y,M_EAfW_A_25_34_y,M_EAfW_A_35_44_y,M_EAfW_A_45_54_y,M_EAfW_A_55_64_y,M_EAfW_A_65_over,M_EAfW_Tot,M_Emp_Tot_Age_15_24_y,M_Emp_Tot_Age_25_34_y,M_Emp_Tot_Age_35_44_y,M_Emp_Tot_Age_45_54_y,M_Emp_Tot_Age_55_64_y,M_Emp_Tot_A_65_over,M_Emp_Tot_Tot,M_Unemp_A_15_24_y,M_Unemp_A_25_34_y,M_Unemp_A_35_44_y,M_Unemp_A_45_54_y,M_Unemp_A_55_64_y,M_Unemp_A_65_over,M_Unemp_Tot,M_Tot_LF_Ag_15_24_y,M_Tot_LF_Ag_25_34_y,M_Tot_LF_Ag_35_44_y,M_Tot_LF_Ag_45_54_y,M_Tot_LF_Ag_55_64_y,M_Tot_LF_Ag_65_and_over,M_Tot_LF_Tot,M_Not_in_LF_Age_15_24_y,M_Not_in_LF_Age_25_34_y,M_Not_in_LF_Age_35_44_y,M_Not_in_LF_Age_45_54_y,M_Not_in_LF_Age_55_64_y,M_Not_in_LF_A_65and_over,M_Not_In_LF_Tot,M_LF_stat_NS_A_15_24_y,M_LF_stat_NS_A_25_34_y,M_LF_stat_NS_A_35_44_y,M_LF_stat_NS_A_45_54_y,M_LF_stat_NS_A_55_64_y,M_LF_stat_NS_A_65and_over,M_LF_status_NS_Tot,M_Tot_Age_15_24_y,M_Tot_Age_25_34_y,M_Tot_Age_35_44_y,M_Tot_Age_45_54_y,M_Tot_Age_55_64_y,M_Tot_A_65_and_over,M_Tot_Tot,F_Emp_Worked_FT_Age_15_24_y,F_Emp_Worked_FT_Age_25_34_y,F_Emp_Worked_FT_Age_35_44_y,F_Emp_Worked_FT_Age_45_54_y,F_Emp_Worked_FT_Age_55_64_y,F_Emp_Worked_FT_A_65_and_over,F_Emp_Worked_FT_Tot,F_Emp_Worked_PT_Age_15_24_y,F_Emp_Worked_PT_Age_25_34_y,F_Emp_Worked_PT_Age_35_44_y,F_Emp_Worked_PT_Age_45_54_y,F_Emp_Worked_PT_Age_55_64_y,F_Emp_Worked_PT_A_65_and_over,F_Emp_Worked_PT_Tot,F_EAfW_A_15_24_y,F_EAfW_A_25_34_y,F_EAfW_A_35_44_y,F_EAfW_A_45_54_y,F_EAfW_A_55_64_y,F_EAfW_A_65_and_over,F_EAfW_Tot,F_Emp_Tot_A_15_24_y,F_Emp_Tot_A_25_34_y,F_Emp_Tot_A_35_44_y,F_Emp_Tot_A_45_54_y,F_Emp_Tot_A_55_64_y,F_Emp_Tot_A_65_and_over,F_Emp_Tot_Tot,F_Unemp_A_15_24_y,F_Unemp_A_25_34_y,F_Unemp_A_35_44_y,F_Unemp_A_45_54_y,F_Unemp_A_55_64_y,F_Unemp_A_65_and_over,F_Unemp_Tot,F_Tot_LF_A_15_24_y,F_Tot_LF_A_25_34_y,F_Tot_LF_A_35_44_y,F_Tot_LF_A_45_54_y,F_Tot_LF_A_55_64_y,F_Tot_LF_A_65_and_over,F_Tot_LF_Tot,F_Not_in_LF_A_15_24_y,F_Not_in_LF_A_25_34_y,F_Not_in_LF_A_35_44_y,F_Not_in_LF_A_45_54_y,F_Not_in_LF_A_55_64_y,F_Not_in_LF_A_65and_over,F_Not_In_LF_Tot,F_LF_stat_NS_A_15_24_y,F_LF_stat_NS_A_25_34_y,F_LF_stat_NS_A_35_44_y,F_LF_stat_NS_A_45_54_y,F_LF_stat_NS_A_55_64_y,F_LF_stat_NS_A_65over,F_LF_status_NS_Tot,F_Tot_A_15_24_y,F_Tot_A_25_34_y,F_Tot_A_35_44_y,F_Tot_A_45_54_y,F_Tot_A_55_64_y,F_Tot_A_65_over,F_Tot_Tot,P_Emp_Worked_FT_A_15_24_y,P_Emp_Worked_FT_A_25_34_y,P_Emp_Worked_FT_A_35_44_y,P_Emp_Worked_FT_A_45_54_y,P_Emp_Worked_FT_A_55_64_y,P_Emp_Worked_FT_A_65_over,P_Emp_Worked_FT_Tot,P_Emp_Worked_PT_A_15_24_y,P_Emp_Worked_PT_A_25_34_y,P_Emp_Worked_PT_A_35_44_y,P_Emp_Worked_PT_A_45_54_y,P_Emp_Worked_PT_A_55_64_y,P_Emp_Worked_PT_A_65_over,P_Emp_Worked_PT_Tot,P_Emp_Awa_fr_wk_A_15_24_y,P_Emp_Awa_fro_wk_A_25_34_y,P_Emp_Awa_fr_wk_A_35_44_y,P_Emp_Awa_fr_wk_A_45_54_y,P_Emp_Awa_fr_wk_A_55_64_y,P_Emp_Awa_fr_wk_Ag_65_over,P_Emp_Awa_froP_wk_Tot,P_Emp_Tot_A_15_24_y,P_Emp_Tot_A_25_34_y,P_Emp_Tot_A_35_44_y,P_Emp_Tot_A_45_54_y,P_Emp_Tot_A_55_64_y,P_Emp_Tot_A_65_over,P_Emp_Tot_Tot,P_Unemp_A_15_24_y,P_Unemp_A_25_34_y,P_Unemp_A_35_44_y,P_Unemp_A_45_54_y,P_Unemp_A_55_64_y,P_Unemp_A_65_and_over,P_Unemp_Tot,P_Tot_LF_Ag_15_24_y,P_Tot_LF_Ag_25_34_y,P_Tot_LF_Ag_35_44_y,P_Tot_LF_Ag_45_54_y,P_Tot_LF_Ag_55_64_y,P_Tot_LF_Ag_65_and_over,P_Tot_LF_Tot,P_Not_in_LF_Age_15_24_y,P_Not_in_LF_Age_25_34_y,P_Not_in_LF_Age_35_44_y,P_Not_in_LF_Age_45_54_y,P_Not_in_LF_Age_55_64_y,P_Not_in_LF_A_65and_over,P_Not_In_LF_Tot,P_LF_stat_NS_A_15_24_y,P_LF_stat_NS_A_25_34_y,P_LF_stat_NS_A_35_44_y,P_LF_stat_NS_A_45_54_y,P_LF_stat_NS_A_55_64_y,P_LF_stat_NS_A_65and_over,P_LF_status_NS_Tot,P_Tot_Age_15_24_y,P_Tot_Age_25_34_y,P_Tot_Age_35_44_y,P_Tot_Age_45_54_y,P_Tot_Age_55_64_y,P_Tot_A_65_and_over,P_Tot_Tot
ILOC10100101,19,20,8,11,3,0,49,3,3,0,4,0,0,11,3,0,0,0,0,0,5,21,20,6,9,3,0,66,8,3,3,0,0,0,16,27,24,12,15,6,0,83,14,4,0,4,6,13,42,0,0,0,0,0,0,6,40,29,12,17,10,16,127,0,3,11,9,0,0,26,7,14,16,4,3,0,41,0,0,0,0,0,0,0,9,15,18,14,4,0,69,5,0,3,0,0,0,9,11,15,25,16,4,0,76,30,8,5,7,6,11,65,0,0,0,0,0,0,3,41,27,31,23,7,13,145,18,25,16,15,3,0,75,14,13,14,9,7,0,56,4,0,0,0,0,0,9,34,37,27,30,7,3,138,9,5,4,3,0,0,18,44,40,36,26,7,3,156,39,18,5,9,12,23,105,3,0,0,0,0,0,4,82,57,38,35,25,28,269
ILOC10100201,57,75,48,47,21,0,247,39,17,13,11,11,7,97,13,0,5,4,4,0,24,110,93,64,64,32,5,371,37,19,14,10,5,0,81,146,116,81,68,37,5,455,87,25,17,25,25,32,216,3,0,0,3,0,3,12,242,141,94,98,66,44,680,42,46,55,50,21,3,213,63,30,25,30,11,0,164,4,6,5,3,0,0,21,102,83,93,83,35,4,404,30,15,13,6,3,0,75,141,100,108,89,34,4,475,101,69,59,45,47,41,360,5,0,0,0,0,0,13,241,170,166,135,88,49,845,94,119,104,101,43,3,467,97,52,41,40,24,4,261,17,7,11,10,4,0,44,215,180,156,149,68,10,773,70,34,24,11,5,0,153,287,209,184,164,74,14,926,191,97,71,71,73,72,576,12,4,0,4,0,7,23,482,309,257,233,151,91,1528
ILOC10100202,11,15,9,8,7,3,56,5,3,3,0,0,4,13,0,0,0,0,0,0,5,20,20,7,15,8,9,76,7,3,5,4,0,0,15,32,21,12,16,8,9,90,17,12,12,10,19,11,83,0,0,0,0,0,0,5,51,26,30,28,26,21,177,6,6,8,3,4,0,33,10,11,3,4,3,0,28,0,0,0,0,0,0,9,20,19,11,6,9,3,64,4,3,5,3,0,0,15,24,20,15,7,10,3,74,29,17,4,13,15,23,91,0,0,0,0,0,3,3,51,34,18,24,23,26,176,21,20,11,17,16,3,85,16,10,3,3,5,3,41,3,3,0,0,0,0,10,37,32,18,19,20,8,137,12,3,4,4,0,0,32,53,39,23,24,21,8,171,45,25,19,26,27,34,180,3,0,3,0,0,3,11,99,65,42,50,50,48,356
ILOC10100203,26,31,18,18,17,3,117,13,7,0,0,0,0,21,7,3,0,4,0,0,17,46,40,20,27,17,3,150,7,5,6,7,3,0,28,51,47,25,33,19,3,182,20,9,8,13,9,18,84,0,0,0,0,0,4,6,73,58,30,50,26,23,269,10,13,10,11,4,3,55,24,18,16,12,17,0,83,5,4,0,0,0,0,9,38,33,32,19,20,3,145,10,6,0,3,0,0,22,48,43,28,25,20,3,172,46,25,16,12,19,23,145,0,3,3,0,0,3,7,95,64,45,35,41,35,324,40,38,29,34,18,7,168,36,26,15,7,17,0,108,8,3,0,4,4,0,21,86,71,52,45,34,5,302,17,14,3,13,5,0,52,105,84,54,57,41,5,351,68,32,20,29,34,44,226,3,3,3,4,0,9,15,172,125,79,83,73,57,593
ILOC10100204,20,20,17,22,11,0,88,3,3,0,0,3,0,12,3,0,0,0,3,0,9,24,27,19,22,13,3,108,11,5,3,3,0,0,23,31,29,20,30,19,3,130,18,6,3,11,4,17,57,0,0,0,0,0,0,0,54,35,21,37,20,20,191,9,9,13,18,8,0,49,10,11,7,3,6,0,30,3,3,3,3,0,0,16,23,16,16,23,11,0,97,6,0,0,3,0,0,9,32,15,16,27,11,0,100,14,8,4,11,15,5,60,0,0,0,0,0,0,0,47,25,22,32,21,5,167,29,27,26,38,20,0,137,17,9,7,3,8,0,43,6,5,3,3,4,0,25,53,41,34,50,25,3,204,14,11,3,4,0,0,29,63,46,39,51,27,3,232,37,15,10,20,20,26,119,0,0,0,0,0,0,0,103,66,47,69,47,25,354
ILOC10100205,30,43,24,31,18,3,146,19,16,3,10,7,0,47,3,0,3,5,0,0,10,50,63,32,35,23,4,207,20,7,8,0,0,0,43,70,67,43,44,22,4,246,65,23,23,15,12,16,159,4,0,5,3,0,3,16,131,92,71,63,37,27,419,24,25,24,21,10,3,95,32,24,15,10,7,0,90,3,9,0,0,4,0,10,60,53,37,32,15,3,200,16,7,7,11,0,0,40,78,66,43,38,17,3,240,65,52,25,24,34,23,225,3,0,0,3,3,0,15,146,114,65,67,60,31,484,48,67,45,46,23,4,244,54,37,19,21,10,0,135,4,8,6,5,3,0,26,109,116,68,69,42,8,408,35,14,19,14,4,0,81,140,130,88,79,44,8,487,127,70,46,42,49,46,385,5,3,5,7,3,3,29,277,207,137,133,96,53,897
ILOC10100301,7,5,14,11,6,0,45,6,5,0,4,0,3,18,0,0,0,0,0,0,5,16,9,17,17,13,3,73,12,0,3,7,5,0,28,26,11,23,22,13,3,98,27,6,6,0,18,17,77,0,0,0,0,0,3,7,51,22,32,22,26,25,184,3,3,9,3,10,0,26,11,3,9,3,6,0,33,3,0,0,3,0,0,5,16,5,20,15,15,0,64,4,3,0,5,8,0,23,17,7,24,21,16,0,90,37,16,11,9,19,23,118,3,0,0,0,0,0,4,58,30,38,28,34,27,208,11,8,26,13,19,0,74,14,9,11,12,6,3,52,3,0,8,3,0,0,10,26,15,41,29,22,3,140,17,5,7,11,10,0,47,45,22,50,42,33,3,185,62,28,17,12,33,41,193,4,0,3,0,0,3,13,108,50,71,52,67,46,392
ILOC10100401,15,21,14,8,10,0,66,6,3,3,0,3,3,22,3,0,0,3,0,0,7,20,27,16,16,17,3,103,13,11,3,3,0,0,32,38,33,20,22,17,3,129,29,12,3,8,12,24,93,6,0,0,0,0,0,6,73,45,23,24,32,28,224,12,19,8,13,10,0,67,18,10,6,9,8,0,53,0,0,3,3,0,0,13,31,32,28,24,16,3,129,12,4,3,0,0,0,18,45,35,30,32,17,3,151,43,21,19,13,27,22,149,5,0,0,0,0,0,9,95,58,42,48,38,28,307,30,37,23,26,20,3,135,22,14,14,8,8,3,74,4,5,3,4,0,0,23,56,52,44,41,30,7,234,24,20,3,7,0,0,54,77,69,49,48,33,7,286,79,34,22,25,41,49,241,7,0,0,0,0,0,11,162,105,70,71,71,52,537
ILOC10100402,6,10,4,4,3,3,31,0,0,4,0,3,0,11,0,0,0,0,0,0,0,11,10,9,5,3,3,42,0,0,0,3,0,0,9,12,11,7,10,3,3,48,12,0,0,0,0,0,11,0,0,0,0,0,0,0,24,11,7,10,5,3,62,3,0,6,9,0,0,21,3,3,5,3,0,0,13,0,0,0,0,0,0,0,4,3,8,14,0,0,37,0,0,0,0,0,0,0,4,3,13,14,0,0,35,7,0,3,3,9,3,23,0,0,0,0,0,0,0,14,4,18,15,11,3,62,14,6,10,21,7,4,56,3,5,7,3,3,0,21,0,0,0,0,0,0,0,17,13,16,20,6,4,75,0,0,0,3,0,0,8,17,10,21,26,6,4,85,14,0,3,3,12,3,34,0,0,0,0,0,0,0,30,12,24,27,15,7,122
ILOC10100403,4,5,5,3,3,0,15,0,3,3,0,3,0,10,0,0,0,0,0,0,0,6,10,7,3,3,3,26,3,3,0,0,0,0,8,10,12,11,4,3,3,36,13,0,0,3,0,15,26,0,0,0,0,0,3,4,20,8,11,6,6,14,66,3,3,3,4,3,0,18,3,0,3,0,0,0,7,0,0,0,0,0,0,0,5,6,3,3,3,0,31,3,0,0,6,0,0,9,7,6,3,6,3,0,32,9,0,4,3,5,6,35,0,0,0,0,0,0,3,16,12,8,10,10,11,69,3,5,9,5,3,0,31,3,4,3,0,0,0,23,0,0,0,0,0,0,0,10,14,11,6,11,3,58,4,3,0,5,0,0,13,13,14,13,15,11,3,67,17,3,4,7,10,19,64,3,0,0,0,0,4,6,36,19,18,15,15,28,137
